name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom,x_pu_eff,r_pu_eff,s_nom_opt,country
0,0,10,AC,9.840604803742654,1.2015854745651915,8.40457793646303e-05,5140.0,True,5140.0,15405.552702840621,0.6392996108949416,40.0,19.525118625579022,121.34281468760227,8.0,,380.0,6.814823271289927e-05,8.321229048235398e-06,5788.784680377752,DE
1,0,11,AC,257.4936198103574,74.44948798657914,0.0001322720705367094,520.0,True,520.0,1554.6888048738242,0.5,40.0,44.890888360404574,174.04809803800887,2.0,,380.0,0.0017831968130911178,0.0005155781716522102,524.4691191822155,DE
10,1,9,AC,39.949124472929114,4.450672496994884,4.581918732660542e-06,3580.0,True,3580.0,10741.486288219148,0.6999999999999998,40.0,22.559364186201737,317.94466549032364,2.0,,380.0,0.00027665598665463375,3.0821831696640474e-05,3582.6922235427387,DE
11,10,11,AC,8.16932659065638,0.940592447050736,0.00018824820061055046,4100.0,True,4100.0,12296.175093092972,0.6746341463414633,40.0,59.88487400195269,160.35016604914838,4.0,,380.0,5.65742838688115e-05,6.5137981097696396e-06,8273.18530843583,DE
12,10,3,AC,8.56876447472814,1.0021721057669024,0.0003266860568191723,4360.0,True,4360.0,13850.863897966796,0.6642201834862385,39.99999999999999,65.28610004511671,178.09845923070273,5.0,,380.0,5.934047420171842e-05,6.940250039936997e-06,11604.894001932476,DE
13,10,6,AC,1.894555064650968,0.24262909929726498,0.0009473048753699847,14640.0,True,14640.0,50880.72452314333,0.6751366120218578,40.0,25.08625278923802,93.19446265787339,17.0,,380.0,1.3120187428330802e-05,1.6802569203411703e-06,22788.197720948134,DE
14,11,3,AC,22.809513384136018,2.872029188894824,0.00010931169182245442,4620.0,True,4620.0,16960.241507714447,0.7,40.0,85.29513072548292,233.40095214454024,4.0,,380.0,0.00015796061900371204,1.988939881506111e-05,4620.561431091621,DE
15,11,5,AC,11.639960050932718,1.3404757098095195,4.660448617026422e-06,8200.0,True,8200.0,24592.350186185948,0.6746341463414635,40.0,69.78100696690454,195.4063972175852,8.0,,380.0,8.060914162695788e-05,9.2830727826144e-06,8201.376470503643,DE
16,11,7,AC,10.931613516075855,1.713989533777954,0.00023432571048726737,6960.0,True,6960.0,32507.129556452688,0.6775862068965517,40.0,54.39491440837514,158.4443485799463,10.0,,380.0,7.570369470966659e-05,1.1869733613420735e-05,6961.898745987058,DE
17,11,9,AC,692.3142552500784,200.16926580590922,0.00015494755180623117,520.0,True,520.0,1554.6888048738242,0.5,40.0,79.93073838842315,309.9023766156837,2.0,,380.0,0.004794420050208299,0.001386213752118485,520.7915872288236,DE
18,12,13,AC,16.31024591491997,2.082558056996541,0.00031400305403029134,5140.0,True,5140.0,20069.619117462094,0.6595330739299611,40.0,39.58768795864031,174.53174623872667,7.0,,380.0,0.00011295184151606629,1.4422147209117319e-05,5141.632796100655,DE
19,12,2,AC,6.440898592432805,0.7337815981923596,0.0015864821530231696,11780.0,True,11780.0,36888.52527927891,0.6823429541595925,39.99999999999999,79.36665867761374,159.63976681207464,10.0,,380.0,4.460456088942386e-05,5.081590015182545e-06,11780.802747102782,DE
2,0,13,AC,11.99968874422655,3.79564172540785,0.0009231346372485051,3380.0,True,3380.0,13992.199243864416,0.5615384615384615,40.0,42.20196278753585,105.80312475691187,11.0,,380.0,8.310033756389577e-05,2.6285607516674862e-05,6463.175686265873,DE
20,12,43785,AC,8.513684581853248,0.9484966674715474,9.497256977627565e-07,3580.0,True,3580.0,10741.486288219148,0.6999999999999997,40.0,3.0581697189306096,161.50325860870268,2.0,,380.0,5.895903450036875e-05,6.5685364783348155e-06,7967.397462699272,NL
21,12,7,AC,0.013932052631414239,0.0,0.0013112446761899105,20480.0,True,18280.0,inf,0.6455078125,40.0,286.21102589915483,118.58527926717751,28.0,,380.0,9.64823589433119e-08,0.0,26790.06979779051,DE
22,12,9,AC,12.292725724985639,1.392724294470132,0.00011112813942805776,7680.0,True,7680.0,23037.661381312122,0.6864583333333333,40.0,26.291495966827707,201.23181802558244,5.0,,380.0,8.512967953591162e-05,9.644905086358255e-06,7683.282382706184,DE
23,13,43785,AC,5.30024969500187,0.5904924538900765,1.4066613482883345e-06,3580.0,True,3580.0,10741.486288219148,0.7,40.0,2.915416595593082,126.23520926590373,2.0,,380.0,3.670533029779689e-05,4.0892829216764305e-06,10741.463833388249,NL
24,13,7,AC,4.699957833677169,0.5637237587501821,0.0017956108820144474,8720.0,True,8720.0,41552.591693900395,0.6761467889908257,39.99999999999999,60.56313706119067,126.74270152217233,9.0,,380.0,3.2548184443747704e-05,3.903904146469405e-06,11807.19850251674,DE
25,14,4,AC,51.394299075246096,5.725759722195857,0.0009025286713529891,1790.0,True,1790.0,10741.486288219148,0.7,40.0,160.0025294331314,205.0023552337609,1.0,,380.0,0.0003559161985820367,3.965207563847546e-05,1790.620633068367,DE
26,14,8,AC,9.310135277670739,1.4016184710479176,0.003384337510759263,10830.0,True,10830.0,49467.371064167135,0.6471837488457987,40.0,108.86468817367415,183.697148017552,14.0,,380.0,6.447462103650096e-05,9.70649910698004e-06,10831.119590377371,DE
27,14,9,AC,11.397354005370818,1.4645053493504383,0.001431535440322335,7450.0,True,7450.0,30811.105405681246,0.6720805369127517,40.0,67.42511290447068,177.72963308428552,6.0,,380.0,7.892904435852368e-05,1.0142003804365916e-05,7451.2074801848585,DE
28,15,4,AC,5.078029951088336,0.6298573511821837,0.0037720241633417404,11070.0,True,11070.0,58512.833201614834,0.6804878048780487,40.0,74.46784835259687,123.43321763697678,9.0,,380.0,3.516641240365884e-05,4.3618930137270334e-06,11071.058442476977,DE
