name,lifetime,e_cyclic,bus,capital_cost,e_nom,e_initial,e_nom_extendable,carrier,e_nom_max,e_nom_opt
48778 H2_underground,100.0,True,48778,0.10065124614342966,0.0,0.0,True,H2_underground,10427.881927947408,4.9818706797442935
48779 H2_underground,100.0,True,48779,0.10065124614342966,0.0,0.0,True,H2_underground,233794.57472690073,7.491315686515968
48780 H2_underground,100.0,True,48780,0.10065124614342966,0.0,0.0,True,H2_underground,64674.4592045005,6.141393894548862
48781 H2_underground,100.0,True,48781,0.10065124614342966,0.0,0.0,True,H2_underground,233794.57472679912,7.476652133674232
48782 H2_underground,100.0,True,48782,0.10065124614342966,0.0,0.0,True,H2_underground,233794.574726786,7.513241648388863
48783 H2_underground,100.0,True,48783,0.10065124614342966,0.0,0.0,True,H2_underground,49394.28518222402,5.796165851971374
48784 H2_underground,100.0,True,48784,0.10065124614342966,0.0,0.0,True,H2_underground,233794.57472679985,7.27573941556124
48785 H2_underground,100.0,True,48785,0.10065124614342966,0.0,0.0,True,H2_underground,233794.57472680692,7.452689054991614
48786 H2_underground,100.0,True,48786,0.10065124614342966,0.0,0.0,True,H2_underground,233794.57472677072,7.427887762123618
48787 H2_underground,100.0,True,48787,0.10065124614342966,0.0,0.0,True,H2_underground,1814.010992620971,6.621422484703503
48788 H2_underground,100.0,True,48788,0.10065124614342966,0.0,0.0,True,H2_underground,18543.545152674054,5.069566288300525
48798 H2_underground,100.0,True,48798,0.10065124614342966,0.0,0.0,True,H2_underground,229203.21400019978,6.891498946833233
48810 H2_underground,100.0,True,48810,0.10065124614342964,0.0,0.0,True,H2_underground,573737.8430294474,8.338083834842234
48871 H2_overground,30.0,True,48871,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.1534242766374604
48872 H2_overground,30.0,True,48872,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342427772870498
48873 H2_overground,30.0,True,48873,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.1534242745480316
48874 H2_overground,30.0,True,48874,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342427451419566
48875 H2_overground,30.0,True,48875,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342422760453223
48876 H2_overground,30.0,True,48876,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342427673994957
48877 H2_overground,30.0,True,48877,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342427574787026
48878 H2_overground,30.0,True,48878,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15424481276105534
48879 H2_overground,30.0,True,48879,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342431370065207
48880 H2_overground,30.0,True,48880,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342426483572713
48881 H2_overground,30.0,True,48881,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342431320530858
48882 H2_overground,30.0,True,48882,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342432024392105
48883 H2_overground,30.0,True,48883,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15406710425812514
48884 H2_overground,30.0,True,48884,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.153424277785067
48885 H2_overground,30.0,True,48885,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342431322494093
48886 H2_overground,30.0,True,48886,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342402443093067
48887 H2_overground,30.0,True,48887,2.6718614545529116,0.0,0.0,True,H2_overground,inf,0.15342427736085806
