,0,1,10,11,12,13,14,15,2,3,30987,31000,31246,31271,31371,31538,31557,31559,31560,31561,31562,31621,31660,31736,31778,31779,31782,31784,31837,31853,31868,31874,31879,31913,31943,31980,32145,32175,32176,32288,32330,32499,32534,32602,32603,32604,32619,32622,32626,32627,32642,32658,32673,32692,32696,32699,32700,32725,32726,32729,32735,32745,32760,32763,32810,32821,32862,32875,32876,32877,32878,32879,32880,32904,32905,32936,32941,32958,32959,32974,32975,32976,32987,33002,33004,33023,33024,33162,33210,33241,33257,33258,33260,33283,33290,33458,33543,33620,33671,33788,33935,33945,34155,34156,34192,34251,34424,34430,34449,34503,34631,34636,34697,34709,34751,34762,34809,34873,34938,34990,35026,35027,35144,35285,35323,35431,35440,35458,35485,35510,35529,35553,35572,35573,35655,35725,35906,35935,36053,36054,36141,36148,36168,4,43775,43776,43777,43778,43779,43781,43784,43785,43787,5,6,7,8,9
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-523.9499494326022,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-449.84334273916306,,,,,,,
