name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,geom,topo,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime
287,eGon2035,13,41276,dsm,111.6073846561687,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,111.6073846561687,,0.0,
306,eGon2035,13,50380,central_heat_pump,0.20188816251436228,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.20188816251436228,,0.0,inf
307,eGon2035,13,50380,central_resistive_heater,0.03856582094786492,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.03856582094786492,,0.0,inf
308,eGon2035,13,52040,rural_heat_pump,1111.479875889497,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,1111.479875889497,,0.0,
309,eGon2035,13,70512,BEV_charger,2047.1815656423569,False,inf,0.0,0.0,,,,0.9,0.0,0.0,0.0,2047.1815656423569,,0.0,
310,eGon2035,13,77530,central_heat_pump,18.81743477886166,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,18.81743477886166,,0.0,
311,eGon2035,13,77530,central_resistive_heater,14.163793672514336,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,14.163793672514336,,0.0,
312,eGon2035,13,77532,central_heat_pump,2.7730043747083757,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,2.7730043747083757,,0.0,
313,eGon2035,13,77532,central_resistive_heater,0.9905376911561905,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.9905376911561905,,0.0,
315,eGon2035,14,43542,dsm,577.2138095263778,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,577.2138095263778,,0.0,
354,eGon2035,14,49783,central_heat_pump,0.8945586784617195,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.8945586784617195,,0.0,inf
355,eGon2035,14,49783,central_resistive_heater,1.1825847594632708,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,1.1825847594632708,,0.0,inf
356,eGon2035,14,52052,rural_heat_pump,3165.0303171245664,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,3165.0303171245664,,0.0,
357,eGon2035,14,69920,BEV_charger,6361.333857595921,False,inf,0.0,0.0,,,,0.8999999999999999,0.0,0.0,0.0,6361.333857595921,,0.0,
