name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035,0,41516,dsm,53.00124461226693,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,53.00124461226693,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
1,eGon2035,0,43780,DC,600.0,True,2400.0,354.1567166878618,261.74625785534954,,1.0,600.0,-1.0,0.0,600.0000000132198,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
2,eGon2035,0,48679,power_to_H2,0.0,True,inf,82.3614559539973,0.0,,0.6999999999999998,0.0,0.0,0.0,2.8886914343374067e-07,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
3,eGon2035,0,51870,central_resistive_heater,0.29861317540658233,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.29861317540658233,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
4,eGon2035,0,52064,rural_heat_pump,466.41174024603345,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,466.41174024603345,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
5,eGon2035,0,70797,BEV_charger,924.2797721624374,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,924.2797721624374,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
6,eGon2035,0,77545,power_to_H2,0.0,True,25.0,82.36145595399731,0.0,,0.7,0.0,0.0,0.0,5.367434611741397e-07,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
7,eGon2035,0,77562,central_heat_pump,24.85184332249899,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,24.85184332249899,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
8,eGon2035,0,77562,central_resistive_heater,22.7204041742259,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,22.7204041742259,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
9,eGon2035,1,42664,dsm,220.46574049185895,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,220.46574049185895,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
10,eGon2035,1,48701,power_to_H2,0.0,True,inf,82.3614559539973,0.0,,0.6999999999999998,0.0,0.0,0.0,2.9201738984427077e-07,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
11,eGon2035,1,51558,central_heat_pump,1.4249164890725567,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.4249164890725567,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
12,eGon2035,1,51558,central_resistive_heater,2.1159768139018182,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.1159768139018182,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
13,eGon2035,1,52042,rural_heat_pump,2003.969002703858,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2003.969002703858,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
14,eGon2035,1,70372,BEV_charger,3405.7086140215397,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,3405.7086140215397,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
15,eGon2035,1,77545,power_to_H2,0.0,True,inf,82.36145595399731,0.0,,0.7,0.0,0.0,0.0,4.4267968227072846e-07,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
16,eGon2035,1,77558,central_heat_pump,2.7035336505004235,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.7035336505004235,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
17,eGon2035,1,77558,central_resistive_heater,7.617279561998527,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,7.617279561998527,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
18,eGon2035,10,42704,dsm,57.80135629293329,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,57.80135629293329,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
19,eGon2035,10,48707,power_to_H2,0.0,True,inf,82.3614559539973,0.0,,0.7,0.0,0.0,0.0,3.041395903863633e-07,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
20,eGon2035,10,52084,rural_heat_pump,499.7991438440701,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,499.7991438440701,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
21,eGon2035,10,70310,BEV_charger,873.8466955423355,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,873.8466955423355,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
22,eGon2035,10,77545,power_to_H2,0.0,True,inf,82.3614559539973,0.0,,0.7,0.0,0.0,0.0,8207.076142684491,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
23,eGon2035,10,77565,central_heat_pump,2.6511536468868977,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.6511536468868977,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
