,0 battery,1 battery,1 pumped_hydro,10 battery,10 pumped_hydro,11 battery,11 pumped_hydro,12 battery,12 pumped_hydro,13 battery,14 battery,14 pumped_hydro,15 battery,15 pumped_hydro,2 battery,2 pumped_hydro,3 battery,4 battery,4 pumped_hydro,43775 battery,43775 pumped_hydro,43776 battery,43776 pumped_hydro,43777 battery,43777 pumped_hydro,43778 battery,43778 pumped_hydro,43779 battery,43780 battery,43781 battery,43781 pumped_hydro,43782 battery,43783 battery,43783 pumped_hydro,43785 battery,43787 battery,43787 pumped_hydro,43788 battery,5 battery,6 battery,7 battery,7 pumped_hydro,8 battery,8 pumped_hydro,9 battery,9 pumped_hydro
0,647.1531758169257,7094.867687712111,2833.140289236623,316.19938142237453,189.72961692912378,184.65598755181435,170.79213640428162,8139.307635126777,867.4919808809825,6845.701089163531,9.147509128532906,15.155956605685656,9.54993714166223,15.300735568129722,18.138701850926488,18.906712286258205,8993.954286952747,6.786860615701462,9.382716534418151,18.5612904805783,14.181705326120166,3.989540933951501,3.6061456266337517,16.375124136263018,14.082127321836943,24.83788779158824,18.26616246250309,457.43450962365944,332.08032436095493,10.685520676052242,9.165855147076556,1.183119624611546,1.636932923022569,0.2382674578061147,8992.548808814656,2013.3619910768175,4495.646363203894,2994.118492381509,4403.045473827244,913.6967528245261,23.37541105893785,57.428645463584814,7.108654272692739,13.58390748919785,13.570883717170538,20.578680544106618
1,360.6238182306529,1391.8114083028393,1673.6456803630597,379.3154869485156,261.50432864430013,417.4977712976374,377.20319096786426,13466.45401231803,1583.7916149923851,7577.466576089252,5167.758032490154,2810.0982996482553,1405.6050465309584,1366.3215552292354,2646.018452315438,3625.6547672468414,78303.16586114984,334.0669524241306,48.07330587537153,159.26101270809448,160.30196687473386,195.70260429380247,39.72211425461211,955.3414222564409,1076.3891048011678,29.86576776533437,39.46854697633954,569.3059166993423,645.1287539514431,13144.187345224847,2256.7133115054467,837.9255447601003,23409.323055791403,17337.591490432267,11947.41788909979,3728.561528339437,7916.422457874892,6186.363815880294,37549.708498400745,1150.5132498544212,126.03178947780279,219.55896795037063,187.75129487427367,219.42356108853855,11518.085160596363,866.8760742426167
2,395.25765568281986,9503.873445489553,5405.168513082095,1276.4061122844741,325.9217060395536,5842.594313333177,608.2863083658398,13419.569824337343,1645.304585700009,7319.20312321111,6068.964337469023,2990.999781515178,3388.8847717910685,3008.3489351193484,2939.193293333163,4165.776188900351,96741.68642730931,6396.991895423693,75.54828220483205,6166.08984870232,887.3298121144924,218.0623326860262,38.23273178136358,3240.063626538396,10173.54985899321,4298.095699014859,2012.4282405260901,1275.8454858514435,943.1434477034775,18418.401368081693,3630.6753863011672,562.7483537962473,18780.165438913453,13745.60101316201,5738.22864874573,3181.2881564493828,7285.757346016398,7111.566558143481,46798.86769100115,2145.5543645284642,238.8844899701626,278.25567566529423,5295.842481606466,759.8804639417002,11976.919295241943,1210.0682449509002
3,142.58017199864025,11339.276155629008,6901.182667874816,3195.9655958551702,409.86780253083293,17517.857335196197,911.1539557023153,13598.706264259345,1796.154259445983,8410.805758594426,6517.71685977548,3157.2158923076886,6927.962414198652,5324.589703277464,3606.6915818481675,5343.052903666832,98043.15098692357,10860.695704080415,101.90499158359135,10550.204386116302,1578.0021236637117,11.937387438797453,21.11123885284834,6220.378590551701,23603.384529031213,7975.783585426976,3845.951365723114,2197.240229892153,1240.8673678565963,26769.366086035618,5030.992289521703,333.52601896459623,13074.395205002147,9425.019776691517,12141.186527654512,1786.714532214857,3135.328020453835,8489.71468906017,47901.219236352284,2887.3259293766932,59.81067361214379,85.0519367685592,7655.201962466068,1223.723868978286,14747.367188115593,1821.6624377768508
4,9121.533739312037,10476.55551962228,5995.062446553329,3385.376873882255,451.9958439351441,16226.240960912697,871.0423004087578,2555.7667802481787,885.4084216326412,1658.645478121255,1216.7573274791266,3170.1631552207173,4640.439703444057,5322.915380201095,877.5089425370234,5313.244793060855,96397.30526843073,3813.9287621859385,98.63430324172549,2284.2135304101485,1580.8652640187083,1588.878653772656,2029.3371325435965,4209.332633387835,23609.207434745997,1699.9435384184007,3741.9135288821712,3513.355132696915,1751.4953993482611,26749.472224459358,5165.769016848354,0.3285016441444622,0.3467160004288773,0.6961114510414301,9745.334061991654,1844.3933496225436,3601.9674059258427,12470.941511359344,46894.423884047865,3662.70904258689,4844.291943658932,1303.3376457993456,1434.399789792682,1230.5011836611607,5535.462251543095,1802.5181541087127
5,12001.72059649982,11303.537308943645,6841.534398410071,3837.1554040431147,554.1072829929099,17629.378548904962,1132.34823650404,3081.930450675436,806.5457471604354,7862.217910983231,1327.6636341559147,3202.377739678257,5364.663126068798,5352.941536094983,949.336254708756,5311.062741310304,96186.67689146091,4228.243216782071,107.5895049245749,2431.902837021007,1614.0797930564675,1658.84038002132,2237.4475296607607,4653.020610747981,23652.026503085643,1572.8471123575225,3706.369718208433,4301.259849684684,2230.6017602664415,38004.84999123202,6559.077994396484,0.45412720851319727,0.20099811420135288,0.20354555391189902,11971.760004194308,3719.011235812811,7907.63637171283,15418.756378660879,47918.7793618859,4022.8064910652993,11862.950046374503,2455.940055548939,1477.0565103461363,1261.5288361364621,13351.852894046726,1820.649350104436
6,12138.308189127301,11367.21865137776,6981.57614346406,3962.4011630307846,709.9192572076252,17763.05917471821,1314.8426749199566,2516.9341814061945,573.5560058649542,8420.936986054587,1242.2439812668429,3220.0440327193455,6820.253760393766,5424.0003239785365,798.1474110451665,5317.017372325158,98073.13303633305,10622.438137155452,127.55841353592831,10487.901894940618,1731.8750509100807,1752.4483135382204,2496.611380166052,6081.2860430397595,23769.631708932502,8005.567379106126,4112.10496493275,4606.60196103755,2527.932531756613,40534.40803477126,7586.229926846116,837.0999152434941,23406.629001001453,6913.04809450007,4996.078172120834,3742.4636915124506,7930.42612925985,15730.813548582599,47956.01746388523,4331.517967446676,14538.287748735558,3744.272206760548,1781.2184299273788,1319.0306067891393,14686.131923596855,1873.100445464367
7,12143.385431601353,11372.046608657984,6987.749354798284,3968.642216628655,714.1059484053965,17767.02470474485,1319.5043065992122,13602.10573110388,1817.5875452290813,8423.387403782854,6627.615353718122,11467.912650032511,6950.891037733562,5519.637840303072,3619.3689375426225,5459.66591153376,98081.22817716353,10884.675772216719,167.6651135558836,10605.051182821213,1799.5707285995095,8099.77719953694,8369.762025514849,6282.894683888909,23933.676918764646,8021.623733693078,4125.158458943665,4612.692288931284,2533.2909975168036,62594.588118091975,10799.671186139405,0.2660938396028907,23148.30831951245,6675.397799182726,12149.970064819488,3749.562518987366,7938.173940902047,15737.573054088165,47960.78966920282,4340.424399345696,14540.703882871985,3749.4262367546303,7688.325601059233,1511.5766007453335,14763.240763944115,1931.576820318177
8,12142.954931379958,11371.125228205721,6986.066456448903,3968.1868700614705,713.2086363584235,17766.317693781642,1318.4052971780234,13581.22594506958,1814.2019306382908,8426.398489469822,6626.9934809694205,11466.137525657112,6949.577542599894,5517.712332174162,3617.4592298075163,5457.459539820213,98080.44814332337,10883.770588471125,166.24433507275063,10602.602953712234,1797.834251944151,8081.522300089117,8366.548287798782,6279.767217688646,23931.460190639224,8019.663635502624,4123.477650940024,4611.462423513395,2532.488581592779,62589.65150936379,10797.416623618748,13.209515090469877,2945.4644970104337,2037.2164437426584,2846.349264520095,3747.8657650041473,7936.535777319115,15736.816131736688,47960.23810662287,4339.746571268223,14540.419607906715,3748.643846224419,7687.45676743717,1509.9742872542413,14761.749878770792,1929.6523251164801
9,12087.505640672023,11294.096668947117,6984.560734381605,3914.074097087643,711.8503481321517,17706.751801514623,1316.9484971202323,13526.421276042856,1814.0155875526134,8397.615268747015,6555.149501336515,11464.438879263282,6874.573612476104,5516.705281677773,3549.202032334312,5456.661746467436,98025.86595439923,10813.69063289749,165.49967053421292,10499.332959209656,1796.8300445948496,2188.663021666981,8364.90535961637,6169.016879283073,23930.033977630075,7925.021346612891,4122.200131080258,4534.542551328356,2460.3880046262097,62454.09590326691,10796.566437185067,16.870149363017305,220.85759878993616,287.01462854719165,49.579919279573694,3659.245224035148,7934.994434288634,15657.00040697868,47906.894161473254,4240.641496792119,14475.114872163813,3746.8355159955727,7618.611527091918,1508.9934909385252,14696.249599416871,1928.709381670452
