,0 AC,1 AC,10 AC,11 AC,12 AC,13 AC,14 AC,15 AC,2 AC,3 AC,4 AC,43775 AC,43776 AC,43777 AC,43778 AC,43779 AC,43780 AC,43781 AC,43782 AC,43783 AC,43784 AC,43785 AC,43786 AC,43787 AC,43788 AC,5 AC,6 AC,7 AC,8 AC,9 AC
0,731.8678950011946,1148.3986140848162,659.1762245889302,716.2880917949856,3550.52079056602,317.1287089670205,656.6847821276538,635.8765768722345,630.4576902522715,227.75589018740882,1132.0114147372794,5697.625795749882,5758.050051420273,3530.240356539629,4584.365542522619,2018.922778381371,1308.7536137993682,33852.17783974654,837.2094206129116,23171.69178345532,523.9499494326022,6948.352117309254,9091.534397543002,6543.075449089981,8729.136454846488,791.6943942659552,209.20310966339588,1066.3237764078629,993.6849947888861,2682.1741462424834
1,714.5059711761996,1121.1863754524734,626.5883139146754,696.0704389441515,3480.5427954591787,310.96858805701345,626.6352951991049,607.6503206489932,618.0158425874125,218.73161136570192,1069.3576958906674,4125.19036644114,4495.238161798312,3105.3193608494566,3758.044828313909,1632.8630233004887,880.0970327404995,29850.224287471367,566.808265816179,15628.316742208324,449.84334273916306,4649.365567773909,8556.132384944456,6723.315199025606,7446.392708559419,747.2726551117152,201.61467740593994,1028.6848422571827,953.9439312131359,2576.4977471825364
2,1032.344349777177,1787.672134253886,1162.9249803377418,1117.1288641739634,4893.674144222511,412.3669653576689,1107.624348393362,1154.125286723868,875.7013731264187,376.42987994540243,1928.5433446404809,5267.059580869369,5552.495666214625,3452.3355027329812,3862.2072317579045,1948.8183105108653,1146.519640988524,33452.12778115048,699.9808779507154,18594.96299056643,485.62270417770145,6921.887054369918,9696.388165292445,9876.888855147134,9508.381644826566,1482.3836343716416,320.7284786661291,1696.4678622908234,1501.202268603692,3938.998876729437
3,1041.4618613510593,1803.1037301568251,1190.0013969904503,1131.8178755808779,4955.956020770716,413.1999980587619,1119.9837577369906,1174.6874211041586,883.0355684008673,381.075784342846,1963.1637606082534,5030.97400005012,5206.211082534419,3473.305390152098,3965.9036950682435,1879.464433375455,1125.3573683306797,31384.556715597682,677.4138462028985,20167.642570314336,454.9729760099535,6840.5534904743345,9973.787634057546,10083.398178992855,10069.84191714274,1522.6247837982999,324.75501254516104,1713.3579855063908,1518.3126658797044,3973.2633533256117
4,1397.0399800038588,2529.791187904164,1803.9184341285763,1602.2645460959664,6572.624060060455,526.8128377164265,1660.542901080666,1791.1392081386298,1174.230667705167,555.4607084278911,2915.654420643025,5752.888556839759,5460.189271026507,3623.839922585361,4254.49960661275,2003.0818338122886,1274.9190419344632,32724.67597968402,768.8211947203763,19347.37374700957,512.1108839231722,7393.232337106825,9788.797787733412,10166.147772223638,9875.234589565584,2372.2849704804776,455.23877628861857,2470.8617250723437,2136.4900787937004,5475.866868879499
5,759.3643332077626,1206.0545333636758,700.5043483082247,753.5142638225684,3675.6187586069595,326.7194327221115,697.5557217930387,687.141319800141,655.5934537178564,239.61086716378097,1199.3751947477926,7207.829913541594,5389.2143210304785,3564.6794029136427,4732.11213924286,2016.4927189990851,1280.4180404418378,32959.08787842554,796.1676495717065,22996.291401577066,513.6172189086562,7300.038694999517,9603.417513531203,8709.552956625099,11205.379361273193,842.3953233413835,218.5437957835277,1127.055141850797,1040.8734203291071,2784.9178687339963
6,730.8441844409504,1152.7357262955954,656.9299724770051,718.4458677082129,3551.935475142308,316.82637935123284,656.8912864970107,635.5803316427371,631.1863729366943,226.9604629836605,1124.6635712799616,6421.990304874592,4782.497898352664,3236.1472350367744,5217.959957270191,1889.7578220717437,1040.7838045465592,35886.81500217036,613.3095231504035,14308.853666409144,454.1698443274917,6650.5736387268535,11156.46443966837,9770.605728000994,11139.957383891693,788.6890666539715,207.54496544913647,1066.158451417072,991.055298821487,2676.976493021639
7,1091.0489113367623,1927.9502783848895,1261.4974967908033,1200.0226903937228,5163.783887869639,429.4953095631317,1194.8820042759519,1254.3923105461702,922.9909718589658,406.00991522459503,2087.1538264821693,7633.232744903721,5504.711983359632,3554.7249980971646,5373.781350092544,2219.235834115737,1348.6121568262952,38661.49634078642,902.3801420342496,20509.399094675184,537.6323804007939,8401.29871403228,11155.95957090639,11295.027420609033,12199.26346613143,1614.8541378996774,343.4445924792015,1816.2063032776075,1594.3050430576973,4185.837510411315
8,1037.595165419289,1771.9680385037161,1169.8793083489627,1125.7655805989368,4930.991251399405,414.8512385589448,1119.3283731111442,1180.3635274696753,884.6270253184093,372.74646755949664,1964.7711207319978,7409.943564743053,5606.406387796418,3792.228943047512,5410.506544454443,2113.1189257330907,1331.6047738430616,39054.76588991475,911.5512640120137,20742.100335256862,501.19546914618667,8896.556384754851,11225.18090738893,11738.623167925462,12629.545880545216,1475.3461206024401,322.8347578718228,1711.3365085235375,1526.8089198137202,3978.0221825206618
9,1090.8756818729678,1882.2947320447704,1262.0548881787417,1191.5732864352688,5156.375807166784,433.7258569293448,1203.7480363098655,1266.7877389310563,928.4550923289056,402.32600311916923,2114.4593797506427,7635.603843856625,5588.999379353164,3794.4068828352806,4816.548573505658,2131.8367968191183,1380.4152670522053,37376.105474546755,895.599404815038,24442.738896739447,518.7143322129302,7737.787989330539,10662.977409603476,10810.362991173426,11601.177590093004,1607.6062631095697,343.047106903769,1828.3134787079027,1629.4835615770387,4227.8345786671625
