,0,1,10,10866,11,12,13,14,15,15256,15257,15319,15758,15759,16651,16653,2,3,32145,32904,32905,32941,32958,32959,32976,32987,33023,33024,33458,33945,34192,34697,34709,34938,35529,35530,35572,35655,35656,35725,35726,36141,36148,38030,39240,39242,39310,39344,39346,39370,39388,39446,4,40222,41066,41276,41278,41288,41382,41384,41438,41516,41530,41544,42226,42248,42492,42514,42584,42656,42664,42680,42704,42708,42710,42806,42816,43174,43216,43218,43282,43330,43542,43544,43546,43742,43746,43752,43775,43776,43777,43778,43779,43780,43781,43782,43783,43784,43785,43786,43787,43788,48639,48640,48641,48642,48643,48644,48645,48646,48647,48648,48649,48650,48653,48679,48680,48695,48697,48700,48701,48707,48716,48763,48764,48765,48767,48769,48783,48785,48810,49625,49783,5,50209,51119,51558,51742,51841,51870,51917,51963,51971,51986,52002,52010,52014,52016,52040,52041,52042,52043,52044,52046,52047,52052,52053,52055,52058,52059,52061,52064,52069,52070,52072,52084,52086,52141,52189,52205,52213,52526,52548,52665,52943,53195,53265,53551,53610,53783,53913,53962,54255,54354,54574,54578,54621,54633,54910,55034,55155,55464,55542,6,63652,63810,64236,65146,65585,65769,65868,65897,65944,65990,65998,66013,66029,66037,66041,66043,66067,66068,66069,66070,66071,66073,66074,66079,66080,66082,66085,66086,66088,66091,66096,66097,66099,66111,66113,66168,66216,66232,66240,66553,66575,66692,66970,67222,67292,67578,67637,67810,67940,67989,68282,68381,68601,68605,68648,68660,68937,69061,69182,69491,69569,69914,69915,69920,69924,69925,69929,69931,69942,7,70054,70127,70146,70154,70175,70304,70305,70310,70324,70372,70492,70512,70557,70583,70797,70862,70868,71289,71525,71534,71684,71789,72135,72148,72264,72275,72629,73716,75607,75650,75738,76604,76705,76854,76970,76975,77042,77522,77524,77525,77526,77527,77528,77529,77530,77531,77545,77546,77547,77548,77550,77552,77553,77555,77556,77557,77558,77559,77560,77562,77564,77565,77566,77568,77569,77570,77574,77575,77576,77582,77585,77586,77587,77588,77589,77590,77591,77592,77593,77594,77595,77596,77597,77598,77599,77600,77601,77602,77603,77604,77605,77606,77607,77608,77609,8,9,9164,9515
0,5523.435483160851,5953.219668357126,-5551.98402152591,5.955668195117053e-11,-1028.307084015292,-2284.196887630595,3571.8159972040708,-5235.28713087474,-1042.0746050057373,6.050635849784233e-11,5.941136600972276e-11,6.232321295846495e-11,5.924849917840489e-11,6.721695845617761e-11,5.35206331941058e-11,5.458183993028432e-11,-1302.0632687375453,-261.768825328059,-9.323054114806803,192.9792791390272,212.74984944852537,53.646073040517074,74.95144185488611,187.32289482607652,-0.45485515588005826,-0.1386301259093719,-0.09631067895269366,433.848799515752,96.78558952072233,105.28820292963152,237.3200287963401,229.37714849115724,493.69323348526143,32.82063866202299,227.29368234789757,9.363836953551712e-11,29.472823213877483,204.5777546027132,5.853813454387054e-11,-9.190874544241236,5.2026475796237894e-11,370.62614287017936,67.81441909744264,8.076872504148014e-14,8.084505287442312e-14,4.715412088573956e-14,1.6167969740799037e-13,8.084505287442312e-14,1.3476199323125826e-14,1.6167449323756244e-13,8.083908976247445e-14,8.084852232137507e-14,-542.0153947850781,4.715498824747755e-14,2.6946110273651236e-14,3.552713678800501e-13,4.440892098500626e-14,1.7053025658242404e-13,6.661338147750939e-15,1.6153745008296028e-13,1.616777458440799e-13,1.2434497875801753e-14,3.241851231905457e-13,5.3290705182007514e-14,2.6946977635389224e-14,8.084028238486418e-14,4.0523140398818214e-14,1.0658141036401503e-14,8.08385476613882e-14,2.7533531010703882e-14,1.4210854715202004e-14,3.232969447708456e-13,1.5998313784848506e-13,8.526512829121202e-14,8.082770563966335e-14,4.618527782440651e-14,1.509903313490213e-14,8.084158342747116e-14,0.0,8.071321389024888e-14,8.081035840490358e-14,2.6978419498391304e-14,1.4921397450962104e-13,2.842170943040401e-14,7.105427357601002e-15,4.973799150320701e-14,8.083890002709426e-14,8.083811398051921e-14,-398.9454165951343,-8695.995533292282,3175.780120247618,-4621.731592349542,1924.8041358974465,-2377.3436560411274,-22563.575852979244,5.684341886080802e-14,3.637978807091713e-12,-1081.8212594446338,-3378.4319753351456,4219.714212386174,7613.59051343915,-1842.3705563450535,-8.203642209991813e-10,1.8189894035458565e-11,-1.8189894035458565e-12,4.001776687800884e-11,-2.4556356947869062e-11,-1.2696546036750078e-09,-1.4551915228366852e-11,4.547473508864641e-13,-9.822542779147625e-10,4.3655745685100555e-11,-4.69299266114831e-10,2.1373125491663814e-11,2.357804186288807e-14,5.894539959673939e-15,2.357805826753398e-14,1.8862438069582328e-13,1.8862429478815359e-13,2.357809934863192e-14,1.1788964213323794e-14,9.431219958586472e-14,9.431217903208086e-14,1.1788992860242768e-14,1.8862416312746985e-13,4.7155995793168306e-14,2.3578097012673872e-14,9.431223246133099e-14,4.715603125605553e-14,9.431217827769214e-14,4.715606894902168e-14,1.1050872217310825e-08,9.795208200102934e-09,4059.5451716029447,1.0130506211680768e-08,1.0145981832465623e-08,1.0185260634898441e-08,9.902521469484782e-09,1.0712028597481549e-08,9.878842632815577e-09,8.893536573850724e-09,7.114754960581369e-09,7.935666790359619e-09,2.2770880233474733e-13,8.539175588850867e-09,2.6135766727913845e-13,2.6150061933558066e-13,2.613716534871635e-13,4.547473508864641e-13,0.0,8.526512829121202e-14,1.2967404927621828e-13,2.2737367544323206e-13,2.8421709430404007e-13,5.684341886080802e-14,2.8421709430404007e-13,1.2789769243681803e-13,2.5579538487363607e-13,1.7053025658242404e-13,1.4210854715202004e-13,5.506706202140776e-13,4.263256414560601e-14,3.979039320256561e-13,2.5579538487363607e-13,2.6645352591003757e-13,2.7000623958883807e-13,1.1368683772161603e-13,1.305622276959184e-13,1.305622276959184e-13,2.717825964282383e-13,6.394884621840902e-14,2.7403079805310426e-13,1.3225531780847177e-13,1.99854022220336e-13,1.3250511798901243e-13,1.315059172668498e-13,2.7401692026529645e-13,2.740221244357244e-13,2.7450264283856995e-13,1.322830733840874e-13,1.312283615106935e-13,1.3162387846321622e-13,1.3244960683778118e-13,1.341149413747189e-13,1.3244960683778118e-13,1.3183898417423734e-13,1.312283615106935e-13,1.3250164854206048e-13,2.7400304247748863e-13,1.316169395693123e-13,1.9897972158844368e-13,2.733091530870979e-13,1.3322676295501878e-13,4633.690079352688,2.964095560091748e-14,2.964095628913175e-14,2.964095623619219e-14,2.964095639501087e-14,2.964095755968117e-14,2.9640954118609824e-14,2.9640957347922936e-14,2.964095618325263e-14,2.930988785010413e-14,2.964116582390708e-14,2.964095512446145e-14,2.9640623722820836e-14,2.9640956712648225e-14,2.964103029863552e-14,2.964089477336396e-14,2.9629076969683865e-14,5.92819182957359e-14,2.69463838652932e-15,1.3473117817263715e-15,2.9640956606769107e-14,2.9640958089076764e-14,2.6946299161998474e-15,2.964095088929671e-14,2.6946330925733996e-15,2.964094559534079e-14,2.6946330925733996e-15,2.9640952795120844e-14,2.964095321863732e-14,2.694640504111688e-15,1.3473083935945825e-15,2.6946322455404523e-15,2.964095703028558e-14,2.964096168896679e-14,2.9640954065670265e-14,2.964096550061505e-14,2.964096380654916e-14,2.9640951524571423e-14,2.6946400805952144e-15,2.964096507709858e-14,2.9640950254022e-14,2.964095491270321e-14,2.964096041841737e-14,2.964095364215379e-14,2.9640959994900896e-14,2.964094898347258e-14,2.964095448918674e-14,2.9640964653582106e-14,2.964095448918674e-14,2.9640951948087897e-14,2.9640951524571423e-14,2.964095448918674e-14,2.9640956606769107e-14,2.964095491270321e-14,2.964094898347258e-14,2.964095914786795e-14,2.964096550061505e-14,2.964095957138442e-14,2.964095914786795e-14,2.964095914786795e-14,2.9640962112483264e-14,2.964096719468095e-14,-6.394884621840902e-13,-2.1032064978498966e-12,-1.8519892315061172e-12,7.349676423018536e-14,-4.263256414560601e-13,7.602807272633072e-13,-2.386198789923745e-12,1.3078427230084344e-12,-6650.709969418497,2.3159252293680765e-13,9.9084389510503e-14,3.750193820035389e-14,3.197442310920451e-14,5.487047014244884e-13,1.9717984772629586e-13,2.5767551341347034e-13,2.3803181647963356e-13,-3.5624421910128955e-14,-5.719869022868806e-13,1.7541523789077473e-13,5.077675776961061e-13,6.195044477408373e-14,-4.440892098500626e-15,1.1917348262602745e-13,7.960299086562372e-14,4.61262972262233e-14,1.6053824936079764e-13,8.051892486093948e-14,1.50712775592865e-14,1.6119050538776492e-13,8.060219158778636e-14,8.126138650865755e-14,8.079648061709577e-14,-1.0845026265915436e-11,7.982503547054876e-14,4.729550084903167e-14,1.6340748199006327e-13,2.503552920529728e-14,2.643718577388654e-14,8.104628079763643e-14,7.996034390167495e-14,1.6157908344638372e-13,8.221201497349284e-14,2.6373678631633202e-14,8.112260863057941e-14,7.827072323607354e-14,-0.008661274467308359,1663.3092334932226,4320.984250021486,1423.0873375319704,969.7268228977495,4002.3870296541954,443.8495311470872,1280.6979724908415,-1.3387762010097504e-09,9.094947017729282e-13,1.220496415044181e-08,1.0099384439854475e-08,1.0221960332541281e-08,1.2077521205355879e-08,1.0760828672573552e-08,1.0903221436819877e-08,1.199248345074011e-08,8.788927940083738e-09,1.3947555999038741e-08,1.1610886474500148e-08,1.3955286704003811e-08,1.1352227602401399e-08,9.956806934496854e-09,9.084897242264342e-09,9.42801392511683e-09,9.943526890765497e-09,1.0138206718579568e-08,1.0475368128481932e-08,9.661411226602468e-09,9.477184370609848e-09,1.275090221337363e-08,7.1009289723212785e-09,1.0636100000738224e-08,8.801420925408365e-09,2.964095591855484e-14,2.964095697734602e-14,2.964084056325533e-14,2.9640956765587784e-14,2.9640956765587784e-14,2.964095703028558e-14,2.9640957506741613e-14,2.964019004195184e-14,2.964095591855484e-14,1.3473163874680222e-15,2.9640956712648225e-14,2.964095644795043e-14,1.3473149051603645e-15,2.964008162173459e-14,2.9640955389159245e-14,2.964095655382955e-14,2.964095512446145e-14,2.964095575973616e-14,2.9753977059954195e-14,2.964095692440646e-14,2.964105740368983e-14,2.964084056325533e-14,2.964095560091748e-14,2.964095655382955e-14,4888.539214146439,5959.09064072383,5.2683412401956164e-11,5.6580084634725666e-11
1,4618.742342085713,6423.259184309091,-8232.29605747441,6.027833998795229e-11,-3400.0673741009937,-2764.7956367495403,3399.5640402290246,-7500.037018750057,-2689.345242931547,6.08011414586445e-11,5.954284991978417e-11,6.317161207527398e-11,5.961286025707118e-11,6.722635849367748e-11,5.3625903022966973e-11,5.451060874489911e-11,-1670.3299618722715,-591.070633137915,-6.648025836495463,193.13466794668682,211.7177055891904,54.02737550981024,75.1602760066103,187.5439702762701,-0.3200022116851107,-0.13465865770304444,-0.0918244403993525,434.174851762035,96.99121696428895,105.324952915192,236.416874867583,229.4877609603227,493.697106753738,32.82879918950553,226.11792456330022,9.654345622800286e-11,29.47527625495984,205.28902713055228,5.884398813419762e-11,-11.820500623715239,5.199923511488164e-11,370.5709878635038,67.86373903057437,1.3480883076510963e-13,1.3473250293216665e-13,1.0105154560346996e-13,2.694650058643333e-13,1.3473250293216665e-13,6.736625146608333e-14,2.694650058643333e-13,1.3473185241086316e-13,1.3473944182607056e-13,-1446.9043585063744,1.0104590775217304e-13,1.3473163557042867e-13,5.115907697472721e-13,6.039613253960852e-14,2.6556534749033744e-13,3.397282455352979e-14,2.694511280765255e-13,2.6946335245602027e-13,2.5757174171303632e-14,5.422329252269265e-13,2.7000623958883807e-13,1.3473250293216665e-13,1.347299008469527e-13,6.750155989720952e-14,6.927791673660977e-14,1.3473163557042867e-13,1.3433698597964394e-13,2.842170943040401e-14,5.435651928564766e-13,2.6911806116913795e-13,1.2789769243681803e-13,1.346769917809354e-13,2.7355895326763857e-13,6.394884621840902e-14,1.3472729876173872e-13,0.0,1.3489209749195652e-13,1.3473944182607056e-13,1.3475331961387838e-13,2.8421709430404007e-13,2.7000623958883807e-13,6.394884621840902e-14,2.737809978725636e-13,1.3473174399064591e-13,1.3473250293216665e-13,3378.9099095126326,-6549.499163938108,3647.408612492829,-2221.397895696387,2932.5811811343187,-2377.3436559190395,-23543.518440530952,5.598782219472827e-13,3.637978807091713e-12,-928.8102654115493,1084.6918349727284,4777.975783501392,9888.041450057515,-2400.632127582341,4.2746250983327627e-10,-1.2732925824820995e-10,1.8189894035458565e-12,1.6370904631912708e-11,-3.183231456205249e-11,-1.6370904631912708e-10,-4.874891601502895e-10,-2.2737367544323206e-13,1.6443664208054543e-09,0.0,2.000888343900442e-10,-1.0459189070388675e-11,2.3577988109383145e-14,5.894512040673904e-15,2.3578065705542048e-14,1.8862442442389919e-13,1.8862426066199023e-13,2.3578059061627368e-14,1.1789070178468985e-14,9.43120900936214e-14,9.431213731570821e-14,1.1789045958620649e-14,1.886243323884755e-13,4.715620948369903e-14,2.357798610429734e-14,9.431210277264583e-14,4.7156063310958625e-14,9.431205732403425e-14,4.715609837018171e-14,1.107866864913376e-08,9.76133662788925e-09,3886.7398151939606,1.0118895943378448e-08,1.0087120472235256e-08,1.012051598081598e-08,9.841343739935837e-09,1.0718053999880794e-08,9.847223481074252e-09,9.178382498475912e-09,7.098168050079581e-09,7.905189614021424e-09,2.276732676085441e-13,8.512103022439987e-09,2.6141063055526437e-13,2.614261346463309e-13,2.6138466391323334e-13,4.831690603168681e-13,2.2737367544323206e-13,5.684341886080802e-14,1.3500311979441904e-13,2.8421709430404007e-13,2.8421709430404007e-13,8.526512829121202e-14,2.2737367544323206e-13,1.3500311979441904e-13,2.2737367544323206e-13,1.1368683772161603e-13,1.1368683772161603e-13,5.613287612504791e-13,4.973799150320701e-14,2.2737367544323206e-13,3.410605131648481e-13,2.7000623958883807e-13,2.7000623958883807e-13,1.2789769243681803e-13,1.3145040611561853e-13,1.305622276959184e-13,2.753353101070388e-13,6.750155989720952e-14,2.7439162053610744e-13,1.3292145162324687e-13,1.9931278849583123e-13,1.3195000647669985e-13,1.325606291402437e-13,2.7439162053610744e-13,2.744089677708672e-13,2.73225886360251e-13,1.3289369604763124e-13,1.322830733840874e-13,1.318112285986217e-13,1.3211653993039363e-13,1.3344880755994382e-13,1.3200551762793111e-13,1.3133938381315602e-13,1.3145040611561853e-13,1.31939598135844e-13,2.7400304247748863e-13,1.3183898417423734e-13,1.991878884055609e-13,2.7372548672133235e-13,1.3283818489639998e-13,5184.488181881841,5.658728303264057e-14,5.6587281973849386e-14,5.658728162974225e-14,5.658728176209115e-14,5.6587281338574676e-14,5.6587280597420847e-14,5.658727654754457e-14,5.6587279459220324e-14,5.611207219118205e-14,5.6587276097558314e-14,5.65872809150582e-14,5.6587167677341066e-14,5.658727956509944e-14,5.6587276097558314e-14,5.6587276097558314e-14,5.6587547148101436e-14,1.131745583361055e-13,5.65872835090966e-14,5.6587286685470155e-14,5.658729303821726e-14,5.6587277368107735e-14,5.6587274827008894e-14,5.658728033272305e-14,5.6587280120964814e-14,5.658726889777826e-14,5.6587282026788945e-14,5.658727990920658e-14,5.6587282026788945e-14,5.658728287382189e-14,2.8293644825042735e-14,1.1317456384181965e-13,5.6587280756239524e-14,5.6587280756239524e-14,5.658728033272305e-14,5.658728033272305e-14,5.658727525052537e-14,5.658727694459126e-14,5.6587277368107735e-14,5.658727355645947e-14,5.6587276097558314e-14,5.6587281179756e-14,5.6587279485690103e-14,5.6587282026788945e-14,5.658728583843721e-14,5.6587282026788945e-14,5.6587277368107735e-14,5.6587293885250207e-14,5.6587273979975946e-14,5.6587281179756e-14,5.658727652107479e-14,5.658728583843721e-14,5.658728583843721e-14,5.658727694459126e-14,5.6587283297338366e-14,5.658728160327247e-14,5.658727440349242e-14,5.6587273979975946e-14,5.6587283297338366e-14,5.6587278638657156e-14,5.658727525052537e-14,5.6587282026788945e-14,1.0800249583553523e-12,1.2505552149377763e-12,2.0463630789890885e-12,6.750155989720952e-14,-6.821210263296962e-13,-5.400124791776761e-13,3.524291969370097e-12,0.0,-9237.553658177729,-1.1368683772161603e-13,-1.2789769243681803e-13,6.217248937900877e-14,1.4210854715202004e-13,0.0,2.575717417130363e-13,6.252776074688882e-13,1.9895196601282805e-13,5.684341886080801e-13,6.821210263296962e-13,0.0,7.105427357601002e-13,1.3145040611561853e-13,5.115907697472721e-13,-1.1368683772161603e-13,1.3744561044859438e-13,1.0180745135812685e-13,2.7056135110115065e-13,1.3508638652126592e-13,6.439293542825908e-14,2.697286838326818e-13,1.3529455333838314e-13,1.3423984146498924e-13,1.3508638652126592e-13,0.0,1.3211653993039363e-13,1.0080825063596421e-13,2.686739719592879e-13,1.387223669269133e-13,1.359190537897348e-13,1.3683498778505054e-13,1.3444800828210646e-13,2.696211309771712e-13,1.362243651215067e-13,1.3389289676979388e-13,1.3444800828210646e-13,1.4155343563970746e-13,-0.008620568640858146,1540.2718732829615,5005.774197881253,1369.1860696740225,938.0472255760485,3409.9294415136433,330.37245670675964,1236.0333386628358,2.3865140974521637e-09,0.0,1.2401415006024763e-08,1.0059750366053777e-08,1.0260715761095142e-08,1.216903910972178e-08,1.0747896794782719e-08,1.0893415947066387e-08,1.2082409739377908e-08,8.724651969198999e-09,1.4213128451956436e-08,1.1668248589558061e-08,1.4191300579113886e-08,1.1376585007383255e-08,9.908546871884027e-09,9.01431500890124e-09,9.389498956124953e-09,9.848136528489704e-09,1.0049507892517795e-08,1.0460865951245069e-08,9.952628943210584e-09,9.441444959179535e-09,1.307243180723042e-08,7.084107529428153e-09,1.0672614791928936e-08,8.772890858210758e-09,5.658728186797027e-14,5.658728046507195e-14,5.658825187951355e-14,5.658728157680269e-14,5.658727977685768e-14,5.658728038566261e-14,5.658728027978349e-14,5.658738451777556e-14,5.658728038566261e-14,2.8293638816402766e-14,5.6587282026788945e-14,5.6587281338574676e-14,2.829364127809227e-14,5.65865713661462e-14,5.6587280147434594e-14,5.658728035919283e-14,5.658728152386313e-14,5.658728250324498e-14,5.6496007463693606e-14,5.6587281391514235e-14,5.6587547148101436e-14,5.658673399647207e-14,5.65872797503879e-14,5.6587281312104896e-14,4527.608561565843,4743.177109298726,5.271789750456603e-11,5.762519716575394e-11
2,5176.956523106971,5821.350015148267,-5910.216527760501,5.956189447793883e-11,-2981.3918609574307,-4868.97267828963,2834.5071665061278,-6472.782959658096,-1421.133221370756,6.062951327100194e-11,5.938174643992057e-11,6.251231971216753e-11,5.935766000474823e-11,6.721141709327852e-11,5.341485701056013e-11,5.4263897921549044e-11,-3794.8286096867123,-1891.5793477428783,-15.752792042612485,194.04938276024788,210.86831166395655,52.50370943903514,75.05013591438609,186.6661442493298,-0.8577659072737391,0.7169654943065362,-0.42837994791313105,442.30453654542504,99.72462889440578,104.86140131089866,236.44968999518105,233.8531772111337,498.6363922513861,32.973831677772665,232.01095622531247,9.500882048838799e-11,29.26441623049995,210.72884252396076,5.862986819412366e-11,-16.824938410794818,5.197314716609398e-11,370.7237279906206,69.4963594522198,1.3464229731141586e-13,1.347220945913108e-13,1.0104590775217304e-13,2.694788836521411e-13,1.3473250293216665e-13,6.736625146608333e-14,2.694667405878093e-13,1.3473228609173216e-13,1.3473250293216665e-13,-474.7354407434893,1.0103723413479315e-13,1.3473163557042867e-13,5.400124791776761e-13,7.460698725481052e-14,2.5579538487363607e-13,3.3306690738754696e-14,2.69562150378988e-13,2.6946197009825035e-13,2.708944180085382e-14,5.382361223382759e-13,2.575717417130363e-13,1.3473206925129766e-13,1.347359723791186e-13,6.716849298982197e-14,7.038813976123492e-14,1.3473163557042867e-13,1.3633538742396922e-13,4.263256414560601e-14,5.324629626102251e-13,2.7000623958883807e-13,1.2789769243681803e-13,1.3456813788281785e-13,2.6290081223123707e-13,6.572520305780927e-14,1.3472556403826275e-13,1.0587911840678754e-22,1.354472090042691e-13,1.3473944182607056e-13,1.3450351943333771e-13,2.5579538487363607e-13,2.1316282072803006e-13,3.552713678800501e-14,2.6645352591003757e-13,1.347314729401028e-13,1.3473337029390464e-13,6479.647392048193,-9215.662553090222,4532.010101477845,-1514.7620395837523,2839.277939368105,-2377.3436559718134,-20870.006202427623,7.673861546209082e-13,-5.4569682106375694e-12,-1002.685401568119,-3790.531222226834,3413.445314212067,10048.733860003756,-1036.1016582402563,-8.785718819126487e-10,9.822542779147625e-11,-3.637978807091713e-12,1.8189894035458565e-10,-8.776623872108757e-11,2.1718733478337526e-09,5.238689482212067e-10,4.547473508864641e-13,-1.1132215149700642e-09,1.4551915228366852e-11,5.165929906070232e-10,-3.956301952712238e-11,2.357806395191915e-14,5.894448632316868e-15,2.3577914106496824e-14,1.8862440929642014e-13,1.8862423892368374e-13,2.3578001245011273e-14,1.1789057314156098e-14,9.431219147287727e-14,9.431206567524972e-14,1.1789010105304179e-14,1.8862423673992692e-13,4.715610774710113e-14,2.3578086610050488e-14,9.431214872418322e-14,4.715605580677611e-14,9.431220231225202e-14,4.715605967136393e-14,1.1089696272392757e-08,9.764868025285978e-09,2813.457267534904,1.0121084415004589e-08,1.008885419651051e-08,1.0123528682015603e-08,9.836668368734536e-09,1.0703843145165592e-08,9.861022221002713e-09,9.189129457354284e-09,7.103950189386865e-09,7.90720111609744e-09,2.277024597520383e-13,8.517588412360055e-09,2.614104679249385e-13,2.61564993839572e-13,2.611947116926139e-13,5.115907697472721e-13,0.0,0.0,1.3145040611561853e-13,1.1368683772161603e-13,3.410605131648481e-13,1.7053025658242404e-13,3.410605131648481e-13,1.4210854715202004e-13,2.2737367544323206e-13,0.0,2.2737367544323206e-13,5.542233338928781e-13,4.263256414560601e-14,2.2737367544323206e-13,2.8421709430404007e-13,2.8421709430404007e-13,2.7000623958883807e-13,1.4210854715202004e-13,1.3145040611561853e-13,1.3145040611561853e-13,2.7355895326763857e-13,7.105427357601002e-14,2.7489122089718876e-13,1.3217205108162489e-13,1.9964585540321877e-13,1.3225531780847177e-13,1.3211653993039363e-13,2.749189764728044e-13,2.749328542606122e-13,2.753353101070388e-13,1.3211653993039363e-13,1.3167245072054357e-13,1.3211653993039363e-13,1.3233858453531866e-13,1.3233858453531866e-13,1.3211653993039363e-13,1.3211653993039363e-13,1.315059172668498e-13,1.3229695117189522e-13,2.7489122089718876e-13,1.3211653993039363e-13,1.9945156637390937e-13,2.737809978725636e-13,1.3203327320354674e-13,5395.894372077687,5.6587277950442887e-14,5.6587280120964814e-14,5.6587282635593876e-14,5.658727964450878e-14,5.6587280650360406e-14,5.6587281444453794e-14,5.658728123269556e-14,5.658728165621203e-14,5.6776650760821756e-14,5.6587547148101436e-14,5.658728035919283e-14,5.6587167677341066e-14,5.6587281259165337e-14,5.6586517156037575e-14,5.658722188744969e-14,5.658147561593552e-14,1.1317456024192963e-13,5.6587274615250657e-14,5.6587276097558314e-14,5.658728837953605e-14,5.658728647371192e-14,5.6587276097558314e-14,5.6587280756239524e-14,5.6587280756239524e-14,5.658728710898663e-14,5.658727990920658e-14,5.658728287382189e-14,5.658727906217363e-14,5.6587277368107735e-14,2.8293650754273366e-14,1.1317456257127023e-13,5.658728160327247e-14,5.6587272709426525e-14,5.658726508613e-14,5.658727355645947e-14,5.65872875325031e-14,5.6587293461733733e-14,5.6587290073601944e-14,5.658727652107479e-14,5.658728287382189e-14,5.6587281179756e-14,5.658729049711842e-14,5.658728626195368e-14,5.658728499140426e-14,5.6587281179756e-14,5.658728583843721e-14,5.6587284144371313e-14,5.658727821514068e-14,5.6587273979975946e-14,5.6587282026788945e-14,5.658728372085484e-14,5.6587285414920734e-14,5.6587269321294736e-14,5.658727567404184e-14,5.6587288803052523e-14,5.658728160327247e-14,5.6587281179756e-14,5.658727652107479e-14,5.6587282026788945e-14,5.658727821514068e-14,5.658727990920658e-14,3.410605131648481e-13,1.1368683772161603e-13,2.2737367544323206e-13,1.6342482922482304e-13,2.0463630789890885e-12,3.979039320256561e-13,0.0,-5.684341886080801e-13,-8777.346766258293,-5.684341886080801e-13,2.7000623958883807e-13,6.394884621840902e-14,-2.8421709430404007e-13,-2.8421709430404007e-13,2.6290081223123707e-13,6.394884621840902e-13,1.4210854715202004e-13,-2.5579538487363607e-13,2.2737367544323206e-13,-3.268496584496461e-13,7.389644451905042e-13,1.4921397450962104e-13,-5.684341886080801e-13,5.684341886080802e-14,1.3211653993039363e-13,9.969802761133906e-14,2.715605518233133e-13,1.3389289676979388e-13,6.750155989720952e-14,2.7017277304253184e-13,1.343924971308752e-13,1.3511414209688155e-13,1.3355982986240633e-13,8.049116928532385e-14,1.3811174426336947e-13,1.0147438445073931e-13,2.6489921367556235e-13,1.3367085216486885e-13,1.3422596367718143e-13,1.3278267374516872e-13,1.3233858453531866e-13,2.6942337250090986e-13,1.3344880755994382e-13,1.4166445794216997e-13,1.3528067555057532e-13,1.3322676295501878e-13,-0.021072730217080407,1536.8394104360696,5026.420223391898,1369.1860701807934,953.6484477617038,3430.917081056726,298.8834394617386,1285.7048282070177,-1.2223608791828156e-09,9.094947017729282e-13,1.2430632523319218e-08,1.0051451226900099e-08,1.0263235346926348e-08,1.22070105135208e-08,1.075147793017095e-08,1.0896826552198036e-08,1.211208200402325e-08,8.725983561858486e-09,1.4248143997974694e-08,1.1680441502903705e-08,1.4233592082746327e-08,1.1380848263797816e-08,9.902748843160225e-09,9.014040646825212e-09,9.395805022904824e-09,9.840420034379349e-09,1.0056176336092904e-08,1.0460695420988486e-08,9.9709431822248e-09,9.443882120763192e-09,1.3127851675686069e-08,7.087455487894603e-09,1.0672351891116705e-08,8.777010229721327e-09,5.658727889012006e-14,5.6587280782709304e-14,5.65863545257117e-14,5.6587279326871426e-14,5.6587281325339786e-14,5.658728103417221e-14,5.658728119299089e-14,5.658662557625482e-14,5.6587280107729924e-14,2.829364053693844e-14,5.658727898276429e-14,5.658727992244147e-14,2.8293640351649983e-14,5.6588414509839424e-14,5.658728178856093e-14,5.658727967097856e-14,5.658727953862966e-14,5.658727821514068e-14,5.600585486840129e-14,5.658727911511319e-14,5.6586896626797945e-14,5.658630031560308e-14,5.658728237089608e-14,5.658727952539477e-14,2666.1984698532965,7230.004562951124,5.264358732893506e-11,5.670551130793081e-11
