,72 ramp_up,76 ramp_up,83 ramp_up,86 ramp_up,89 ramp_up,90 ramp_up,94 ramp_up,97 ramp_up,98 ramp_up,102 ramp_up,106 ramp_up,109 ramp_up,115 ramp_up,118 ramp_up,123 ramp_up,126 ramp_up,139 ramp_up,142 ramp_up,190 ramp_up,193 ramp_up,196 ramp_up
0,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,141.15393986411254,141.15393986411254,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
1,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,49.40404473804847,49.40404473804847,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
2,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,141.15133450008034,141.15133450008034,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
3,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,141.15426873042452,141.15426873042452,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
4,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,141.1563158366389,141.1563158366389,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
5,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,141.15914038272604,141.15914038272604,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
6,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,105.87156855623107,105.87156855623107,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
7,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,141.0440849354145,141.0440849354145,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
8,104.8739984542699,104.87470293428669,104.87405823914196,104.87351203746584,104.8728603398049,104.8728603398049,104.87419086756745,141.16081473847225,141.16081473847225,104.8749113458689,104.87240524313893,104.87331546975838,104.872487946217,104.87246278916427,104.872487946217,104.87393462166801,104.87402325547737,104.87246278916427,104.87393462166801,104.87402325547737,104.87393462166801
9,104.90066615875003,104.90172304079533,104.90073836038937,104.90026859598584,104.9000457208731,104.9000457208731,104.90094505402885,141.15969558978395,141.15969558978395,104.90192630574711,104.89971026992134,104.89936962588581,104.89984459042171,104.89980491403549,104.89984459042171,104.90064427021571,104.90069981617853,104.89980491403549,104.90064427021571,104.90069981617853,104.90064427021571
