name,max_hours,lifetime,bus,efficiency_dispatch,capital_cost,p_nom,control,p_nom_min,efficiency_store,carrier,p_nom_extendable,p_nom_opt
0 battery,6.0,27.5,0,0.9797958971132713,73.93112615104819,0.0,PV,2484.082205955905,0.9797958971132713,battery,True,2484.0822060463256
0 pumped_hydro,6.0,27.5,0,0.8660254037844386,0.0,303.0,PV,0.0,0.8660254037844386,pumped_hydro,False,303.0
1 battery,6.0,27.5,1,0.9797958971132712,73.93112615104819,0.0,PV,817.7007832648637,0.9797958971132712,battery,True,817.700783336866
1 pumped_hydro,6.0,27.5,1,0.8660254037844386,0.0,1045.2,PV,0.0,0.8660254037844386,pumped_hydro,False,1045.2
10 battery,6.0,27.5,10,0.9797958971132712,73.93112615104819,0.0,PV,820.7826940476423,0.9797958971132712,battery,True,820.7826941201224
10 pumped_hydro,6.0,27.5,10,0.8660254037844386,0.0,39.8,PV,0.0,0.8660254037844386,pumped_hydro,False,39.8
11 battery,6.0,27.5,11,0.9797958971132712,73.93112615104819,0.0,PV,668.7273904229484,0.9797958971132712,battery,True,668.7273904959249
11 pumped_hydro,6.0,27.5,11,0.8660254037844387,0.0,730.0,PV,0.0,0.8660254037844387,pumped_hydro,False,730.0
12 battery,6.0,27.5,12,0.9797958971132711,73.93112615104819,0.0,PV,226.22098852845622,0.9797958971132711,battery,True,226.22098860641748
13 battery,6.0,27.5,13,0.9797958971132711,73.93112615104819,0.0,PV,540.4898267879231,0.9797958971132711,battery,True,540.4898268618276
13 pumped_hydro,6.0,27.5,13,0.8660254037844386,0.0,910.0,PV,0.0,0.8660254037844386,pumped_hydro,False,910.0
14 battery,6.0,27.5,14,0.9797958971132712,73.93112615104819,0.0,PV,1864.1979498588369,0.9797958971132712,battery,True,1864.1979499443273
14 pumped_hydro,6.0,27.5,14,0.8660254037844387,0.0,218.0,PV,0.0,0.8660254037844387,pumped_hydro,False,218.0
15 battery,6.0,27.5,15,0.9797958971132712,73.93112615104819,0.0,PV,511.2582629928771,0.9797958971132712,battery,True,511.2582630714381
2 battery,6.0,27.5,2,0.9797958971132713,73.93112615104819,0.0,PV,978.7212119172258,0.9797958971132713,battery,True,978.721211989888
2 pumped_hydro,6.0,27.5,2,0.8660254037844386,0.0,625.0,PV,0.0,0.8660254037844386,pumped_hydro,False,625.0
3 battery,6.0,27.5,3,0.9797958971132711,73.93112615104819,0.0,PV,1741.5609399118841,0.9797958971132711,battery,True,1741.560939995653
3 pumped_hydro,6.0,27.5,3,0.8660254037844387,0.0,252.0,PV,0.0,0.8660254037844387,pumped_hydro,False,252.0
30981 battery,6.0,27.5,30981,0.9797958971132712,73.93112615104819,0.0,PV,0.0,0.9797958971132712,battery,True,5.722510311788368e-07
30987 battery,6.0,27.5,30987,0.9797958971132712,73.93112615104819,0.0,PV,0.23260521982912297,0.9797958971132712,battery,True,0.23260531331781814
31000 battery,6.0,27.5,31000,0.9797958971132712,73.93112615104819,0.0,PV,4.821832875784191,0.9797958971132712,battery,True,4.821832978778854
31246 battery,6.0,27.5,31246,0.9797958971132712,73.93112615104819,0.0,PV,3.3172297991116415,0.9797958971132712,battery,True,3.3172298992877245
31247 battery,6.0,27.5,31247,0.9797958971132712,73.93112615104819,0.0,PV,0.0,0.9797958971132712,battery,True,5.724609456622118e-07
31271 battery,6.0,27.5,31271,0.9797958971132712,73.93112615104819,0.0,PV,3.7053035172911675,0.9797958971132712,battery,True,3.7053036182181995
31371 battery,6.0,27.5,31371,0.9797958971132712,73.93112615104819,0.0,PV,11.395898605938132,0.9797958971132712,battery,True,11.395898710764653
31372 battery,6.0,27.5,31372,0.9797958971132712,73.93112615104819,0.0,PV,0.0,0.9797958971132712,battery,True,5.728124011008745e-07
31538 battery,6.0,27.5,31538,0.9797958971132712,73.93112615104819,0.0,PV,6.577109814864961,0.9797958971132712,battery,True,6.5771099177627255
31557 battery,6.0,27.5,31557,0.9797958971132712,73.93112615104819,0.0,PV,4.297470402313011,0.9797958971132712,battery,True,4.297470504717845
31559 battery,6.0,27.5,31559,0.9797958971132712,73.93112615104819,0.0,PV,4.590614917690278,0.9797958971132712,battery,True,4.590615021289602
31560 battery,6.0,27.5,31560,0.9797958971132712,73.93112615104819,0.0,PV,1.4385306265232498,0.9797958971132712,battery,True,1.4385307189285288
31561 battery,6.0,27.5,31561,0.9797958971132712,73.93112615104819,0.0,PV,0.41368017819746644,0.9797958971132712,battery,True,0.41368027857490575
31562 battery,6.0,27.5,31562,0.9797958971132712,73.93112615104819,0.0,PV,7.264725271917776,0.9797958971132712,battery,True,7.264725375483888
31621 battery,6.0,27.5,31621,0.9797958971132712,73.93112615104819,0.0,PV,0.1863446276201617,0.9797958971132712,battery,True,0.18634471743282607
31660 battery,6.0,27.5,31660,0.9797958971132712,73.93112615104819,0.0,PV,0.1430890902109476,0.9797958971132712,battery,True,0.1430891764486065
31661 battery,6.0,27.5,31661,0.9797958971132712,73.93112615104819,0.0,PV,0.0,0.9797958971132712,battery,True,5.722940305254359e-07
31736 battery,6.0,27.5,31736,0.9797958971132712,73.93112615104819,0.0,PV,0.8380470909819078,0.9797958971132712,battery,True,0.8380471910417
31778 battery,6.0,27.5,31778,0.9797958971132712,73.93112615104819,0.0,PV,8.36839010363688,0.9797958971132712,battery,True,8.368390206738642
31779 battery,6.0,27.5,31779,0.9797958971132712,73.93112615104819,0.0,PV,2.328297545241332,0.9797958971132712,battery,True,2.328297639881127
31782 battery,6.0,27.5,31782,0.9797958971132712,73.93112615104819,0.0,PV,7.85759748062589,0.9797958971132712,battery,True,7.857597583831571
31784 battery,6.0,27.5,31784,0.9797958971132712,73.93112615104819,0.0,PV,11.650017303459247,0.9797958971132712,battery,True,11.650017409619773
31837 battery,6.0,27.5,31837,0.9797958971132712,73.93112615104819,0.0,PV,7.255486456178155,0.9797958971132712,battery,True,7.255486558808024
31853 battery,6.0,27.5,31853,0.9797958971132712,73.93112615104819,0.0,PV,1.75058138152655,0.9797958971132712,battery,True,1.750581473327026
31868 battery,6.0,27.5,31868,0.9797958971132712,73.93112615104819,0.0,PV,0.8369773717949973,0.9797958971132712,battery,True,0.8369774719923297
31874 battery,6.0,27.5,31874,0.9797958971132712,73.93112615104819,0.0,PV,2.1650466833783875,0.9797958971132712,battery,True,2.1650467769922725
31879 battery,6.0,27.5,31879,0.9797958971132712,73.93112615104819,0.0,PV,4.93726722082319,0.9797958971132712,battery,True,4.937267324299264
31913 battery,6.0,27.5,31913,0.9797958971132712,73.93112615104819,0.0,PV,1.3235610550618224,0.9797958971132712,battery,True,1.3235611473755646
31927 battery,6.0,27.5,31927,0.9797958971132712,73.93112615104819,0.0,PV,0.0,0.9797958971132712,battery,True,5.726562647795301e-07
31943 battery,6.0,27.5,31943,0.9797958971132712,73.93112615104819,0.0,PV,1.8538812512013918,0.9797958971132712,battery,True,1.8538813439636024
31980 battery,6.0,27.5,31980,0.9797958971132712,73.93112615104819,0.0,PV,1.6588306737986536,0.9797958971132712,battery,True,1.6588307666475541
32145 battery,6.0,27.5,32145,0.9797958971132712,73.93112615104819,0.0,PV,8.060750207534015,0.9797958971132712,battery,True,8.06075031073047
32175 battery,6.0,27.5,32175,0.9797958971132712,73.93112615104819,0.0,PV,7.078915594372424,0.9797958971132712,battery,True,7.078915697537215
32176 battery,6.0,27.5,32176,0.9797958971132712,73.93112615104819,0.0,PV,1.7672597898060711,0.9797958971132712,battery,True,1.7672598813968832
32288 battery,6.0,27.5,32288,0.9797958971132712,73.93112615104819,0.0,PV,13.066035382822369,0.9797958971132712,battery,True,13.066035486447431
32330 battery,6.0,27.5,32330,0.9797958971132712,73.93112615104819,0.0,PV,2.6213452797039545,0.9797958971132712,battery,True,2.62134537624469
32499 battery,6.0,27.5,32499,0.9797958971132712,73.93112615104819,0.0,PV,5.793854837323134,0.9797958971132712,battery,True,5.793854939866708
32534 battery,6.0,27.5,32534,0.9797958971132712,73.93112615104819,0.0,PV,6.500292680099525,0.9797958971132712,battery,True,6.50029278283771
32602 battery,6.0,27.5,32602,0.9797958971132712,73.93112615104819,0.0,PV,0.7438569421664445,0.9797958971132712,battery,True,0.7438570434817258
32603 battery,6.0,27.5,32603,0.9797958971132712,73.93112615104819,0.0,PV,1.517980684783799,0.9797958971132712,battery,True,1.517980775291688
32604 battery,6.0,27.5,32604,0.9797958971132712,73.93112615104819,0.0,PV,2.7261702653595536,0.9797958971132712,battery,True,2.726170362139094
32619 battery,6.0,27.5,32619,0.9797958971132712,73.93112615104819,0.0,PV,0.7962544881790785,0.9797958971132712,battery,True,0.796254588757541
32622 battery,6.0,27.5,32622,0.9797958971132712,73.93112615104819,0.0,PV,1.887436562088408,0.9797958971132712,battery,True,1.8874366552889883
32623 battery,6.0,27.5,32623,0.9797958971132712,73.93112615104819,0.0,PV,0.0,0.9797958971132712,battery,True,5.716743828178768e-07
32626 battery,6.0,27.5,32626,0.9797958971132712,73.93112615104819,0.0,PV,2.3384656964522783,0.9797958971132712,battery,True,2.3384657920146803
32627 battery,6.0,27.5,32627,0.9797958971132712,73.93112615104819,0.0,PV,1.1400386621083805,0.9797958971132712,battery,True,1.1400387548857234
32642 battery,6.0,27.5,32642,0.9797958971132712,73.93112615104819,0.0,PV,1.366548885292786,0.9797958971132712,battery,True,1.3665489774377146
32658 battery,6.0,27.5,32658,0.9797958971132712,73.93112615104819,0.0,PV,2.2253480674948185,0.9797958971132712,battery,True,2.225348161690939
32673 battery,6.0,27.5,32673,0.9797958971132712,73.93112615104819,0.0,PV,7.123584053787194,0.9797958971132712,battery,True,7.123584156543968
32692 battery,6.0,27.5,32692,0.9797958971132712,73.93112615104819,0.0,PV,2.1975421217773596,0.9797958971132712,battery,True,2.1975422157718936
32696 battery,6.0,27.5,32696,0.9797958971132712,73.93112615104819,0.0,PV,1.0985972724155308,0.9797958971132712,battery,True,1.0985974006269719
32699 battery,6.0,27.5,32699,0.9797958971132712,73.93112615104819,0.0,PV,0.548916977989789,0.9797958971132712,battery,True,0.5489170817879111
32700 battery,6.0,27.5,32700,0.9797958971132712,73.93112615104819,0.0,PV,6.362161884787778,0.9797958971132712,battery,True,6.362161987392076
32725 battery,6.0,27.5,32725,0.9797958971132712,73.93112615104819,0.0,PV,2.8231690991150495,0.9797958971132712,battery,True,2.8231691971926915
32726 battery,6.0,27.5,32726,0.9797958971132712,73.93112615104819,0.0,PV,1.0662130583252951,0.9797958971132712,battery,True,1.0662131527001926
32729 battery,6.0,27.5,32729,0.9797958971132712,73.93112615104819,0.0,PV,5.027082236598553,0.9797958971132712,battery,True,5.027082339997152
32735 battery,6.0,27.5,32735,0.9797958971132712,73.93112615104819,0.0,PV,4.635989717209751,0.9797958971132712,battery,True,4.63598982043011
32745 battery,6.0,27.5,32745,0.9797958971132712,73.93112615104819,0.0,PV,3.4493793394326127,0.9797958971132712,battery,True,3.449379439625503
32760 battery,6.0,27.5,32760,0.9797958971132712,73.93112615104819,0.0,PV,4.211092919128928,0.9797958971132712,battery,True,4.2110930250684415
32761 battery,6.0,27.5,32761,0.9797958971132712,73.93112615104819,0.0,PV,0.0,0.9797958971132712,battery,True,8.503829428430944e-07
32763 battery,6.0,27.5,32763,0.9797958971132712,73.93112615104819,0.0,PV,11.529184055343261,0.9797958971132712,battery,True,11.529184162360286
32764 battery,6.0,27.5,32764,0.9797958971132712,73.93112615104819,0.0,PV,0.0,0.9797958971132712,battery,True,762.3346754510834
32810 battery,6.0,27.5,32810,0.9797958971132712,73.93112615104819,0.0,PV,1.0187213750093709,0.9797958971132712,battery,True,1.0187214712143566
32821 battery,6.0,27.5,32821,0.9797958971132712,73.93112615104819,0.0,PV,5.47142939168232,0.9797958971132712,battery,True,5.471429495590314
32862 battery,6.0,27.5,32862,0.9797958971132712,73.93112615104819,0.0,PV,1.5620638363038672,0.9797958971132712,battery,True,1.5620639274082069
32875 battery,6.0,27.5,32875,0.9797958971132712,73.93112615104819,0.0,PV,1.3919008182609107,0.9797958971132712,battery,True,1.3919009099722115
32876 battery,6.0,27.5,32876,0.9797958971132712,73.93112615104819,0.0,PV,0.35702791971925546,0.9797958971132712,battery,True,0.35702802134136996
32877 battery,6.0,27.5,32877,0.9797958971132712,73.93112615104819,0.0,PV,3.1514580386888627,0.9797958971132712,battery,True,3.151458137781107
32878 battery,6.0,27.5,32878,0.9797958971132712,73.93112615104819,0.0,PV,4.946565237435582,0.9797958971132712,battery,True,4.946565341554567
32879 battery,6.0,27.5,32879,0.9797958971132712,73.93112615104819,0.0,PV,0.513921984944312,0.9797958971132712,battery,True,0.5139220858641017
32880 battery,6.0,27.5,32880,0.9797958971132712,73.93112615104819,0.0,PV,1.3885784002099242,0.9797958971132712,battery,True,1.3885784909373056
32885 battery,6.0,27.5,32885,0.9797958971132712,73.93112615104819,0.0,PV,0.0,0.9797958971132712,battery,True,5.719771448632952e-07
32904 battery,6.0,27.5,32904,0.9797958971132712,73.93112615104819,0.0,PV,1.1027772619295944,0.9797958971132712,battery,True,1.1027773838375157
32905 battery,6.0,27.5,32905,0.9797958971132712,73.93112615104819,0.0,PV,1.2375258055810536,0.9797958971132712,battery,True,1.237525944925534
32936 battery,6.0,27.5,32936,0.9797958971132712,73.93112615104819,0.0,PV,3.438965222192283,0.9797958971132712,battery,True,3.4389653230382726
32941 battery,6.0,27.5,32941,0.9797958971132712,73.93112615104819,0.0,PV,1.5905116328675761,0.9797958971132712,battery,True,1.5905117243448497
32958 battery,6.0,27.5,32958,0.9797958971132712,73.93112615104819,0.0,PV,0.9137070565671622,0.9797958971132712,battery,True,0.9137071553131327
32959 battery,6.0,27.5,32959,0.9797958971132712,73.93112615104819,0.0,PV,0.9823007129901093,0.9797958971132712,battery,True,0.9823008106401661
32974 battery,6.0,27.5,32974,0.9797958971132712,73.93112615104819,0.0,PV,2.9201765994516222,0.9797958971132712,battery,True,2.9201766971339436
32975 battery,6.0,27.5,32975,0.9797958971132712,73.93112615104819,0.0,PV,1.8925701938220085,0.9797958971132712,battery,True,1.892570286220099
32976 battery,6.0,27.5,32976,0.9797958971132712,73.93112615104819,0.0,PV,0.35656407641126164,0.9797958971132712,battery,True,0.3565641808034475
32987 battery,6.0,27.5,32987,0.9797958971132712,73.93112615104819,0.0,PV,0.16942067670606126,0.9797958971132712,battery,True,0.16942076579537044
33002 battery,6.0,27.5,33002,0.9797958971132712,73.93112615104819,0.0,PV,6.203858494726531,0.9797958971132712,battery,True,6.203858599308673
33004 battery,6.0,27.5,33004,0.9797958971132712,73.93112615104819,0.0,PV,5.622935966931103,0.9797958971132712,battery,True,5.622936070474136
33023 battery,6.0,27.5,33023,0.9797958971132712,73.93112615104819,0.0,PV,0.1243104201790287,0.9797958971132712,battery,True,0.12431050358513533
33024 battery,6.0,27.5,33024,0.9797958971132712,73.93112615104819,0.0,PV,2.707786527479755,0.9797958971132712,battery,True,2.7077866244311033
33162 battery,6.0,27.5,33162,0.9797958971132712,73.93112615104819,0.0,PV,3.094786708522681,0.9797958971132712,battery,True,3.0947868075368135
33210 battery,6.0,27.5,33210,0.9797958971132712,73.93112615104819,0.0,PV,11.842741748854268,0.9797958971132712,battery,True,11.842741853190887
33241 battery,6.0,27.5,33241,0.9797958971132712,73.93112615104819,0.0,PV,4.0002041211289825,0.9797958971132712,battery,True,4.000204223356522
33257 battery,6.0,27.5,33257,0.9797958971132712,73.93112615104819,0.0,PV,7.833153692479983,0.9797958971132712,battery,True,7.833153796821712
33258 battery,6.0,27.5,33258,0.9797958971132712,73.93112615104819,0.0,PV,1.057702379248794,0.9797958971132712,battery,True,1.0577024756519915
33260 battery,6.0,27.5,33260,0.9797958971132712,73.93112615104819,0.0,PV,4.683079298228519,0.9797958971132712,battery,True,4.683079403398009
33283 battery,6.0,27.5,33283,0.9797958971132712,73.93112615104819,0.0,PV,1.945618120601994,0.9797958971132712,battery,True,1.945618212766226
33290 battery,6.0,27.5,33290,0.9797958971132712,73.93112615104819,0.0,PV,1.0279231816163101,0.9797958971132712,battery,True,1.0279232769457207
33458 battery,6.0,27.5,33458,0.9797958971132712,73.93112615104819,0.0,PV,1.1719755669494945,0.9797958971132712,battery,True,1.171975659370954
33543 battery,6.0,27.5,33543,0.9797958971132712,73.93112615104819,0.0,PV,7.400071755374191,0.9797958971132712,battery,True,7.4000718577849005
33620 battery,6.0,27.5,33620,0.9797958971132712,73.93112615104819,0.0,PV,4.348072839806062,0.9797958971132712,battery,True,4.348072943565207
33621 battery,6.0,27.5,33621,0.9797958971132712,73.93112615104819,0.0,PV,0.0,0.9797958971132712,battery,True,5.765518627106346e-07
33671 battery,6.0,27.5,33671,0.9797958971132712,73.93112615104819,0.0,PV,0.0,0.9797958971132712,battery,True,5.718275387835522e-07
33788 battery,6.0,27.5,33788,0.9797958971132712,73.93112615104819,0.0,PV,2.546251239679052,0.9797958971132712,battery,True,2.5462513364299904
33935 battery,6.0,27.5,33935,0.9797958971132712,73.93112615104819,0.0,PV,6.45172110973523,0.9797958971132712,battery,True,6.451721212932434
33945 battery,6.0,27.5,33945,0.9797958971132712,73.93112615104819,0.0,PV,0.4157097448055852,0.9797958971132712,battery,True,0.41570984601945987
34155 battery,6.0,27.5,34155,0.9797958971132712,73.93112615104819,0.0,PV,0.8341108976601035,0.9797958971132712,battery,True,0.8341109977276235
34156 battery,6.0,27.5,34156,0.9797958971132712,73.93112615104819,0.0,PV,1.575490579845484,0.9797958971132712,battery,True,1.57549067206797
34192 battery,6.0,27.5,34192,0.9797958971132712,73.93112615104819,0.0,PV,0.9919220358863018,0.9797958971132712,battery,True,0.9919221511881736
34251 battery,6.0,27.5,34251,0.9797958971132712,73.93112615104819,0.0,PV,2.6761156198355014,0.9797958971132712,battery,True,2.6761157162437623
34251 pumped_hydro,6.0,27.5,34251,0.8660254037844386,0.0,119.1,PV,0.0,0.8660254037844386,pumped_hydro,False,119.1
34424 battery,6.0,27.5,34424,0.9797958971132712,73.93112615104819,0.0,PV,0.2694167954707123,0.9797958971132712,battery,True,0.26941689034312216
34430 battery,6.0,27.5,34430,0.9797958971132712,73.93112615104819,0.0,PV,10.128649419414453,0.9797958971132712,battery,True,10.1286495246169
34449 battery,6.0,27.5,34449,0.9797958971132712,73.93112615104819,0.0,PV,1.5102880547963338,0.9797958971132712,battery,True,1.5102881469499512
34503 battery,6.0,27.5,34503,0.9797958971132712,73.93112615104819,0.0,PV,3.9592554621587355,0.9797958971132712,battery,True,3.959255564765832
34631 battery,6.0,27.5,34631,0.9797958971132712,73.93112615104819,0.0,PV,4.500173172416843,0.9797958971132712,battery,True,4.500173276447142
34636 battery,6.0,27.5,34636,0.9797958971132712,73.93112615104819,0.0,PV,25.88040515724267,0.9797958971132712,battery,True,25.880405243853886
34697 battery,6.0,27.5,34697,0.9797958971132712,73.93112615104819,0.0,PV,0.9404458396656042,0.9797958971132712,battery,True,0.9404459441242712
34709 battery,6.0,27.5,34709,0.9797958971132712,73.93112615104819,0.0,PV,0.8243548150327251,0.9797958971132712,battery,True,0.8243549176412386
34751 battery,6.0,27.5,34751,0.9797958971132712,73.93112615104819,0.0,PV,0.17668202176118908,0.9797958971132712,battery,True,0.17668211119127858
34762 battery,6.0,27.5,34762,0.9797958971132712,73.93112615104819,0.0,PV,1.605252339808938,0.9797958971132712,battery,True,1.6052524306593967
34809 battery,6.0,27.5,34809,0.9797958971132712,73.93112615104819,0.0,PV,0.6851356581205131,0.9797958971132712,battery,True,0.685135759453674
34873 battery,6.0,27.5,34873,0.9797958971132712,73.93112615104819,0.0,PV,0.6660940690662219,0.9797958971132712,battery,True,0.6660941704162067
34938 battery,6.0,27.5,34938,0.9797958971132712,73.93112615104819,0.0,PV,0.3823303068561991,0.9797958971132712,battery,True,0.38233040832472837
34990 battery,6.0,27.5,34990,0.9797958971132712,73.93112615104819,0.0,PV,1.4808511495533916,0.9797958971132712,battery,True,1.480851239619593
35000 battery,6.0,27.5,35000,0.9797958971132712,73.93112615104819,0.0,PV,0.0,0.9797958971132712,battery,True,5.717655745961799e-07
35026 battery,6.0,27.5,35026,0.9797958971132712,73.93112615104819,0.0,PV,0.8475530375565794,0.9797958971132712,battery,True,0.8475531369385155
35144 battery,6.0,27.5,35144,0.9797958971132712,73.93112615104819,0.0,PV,0.7944240660566665,0.9797958971132712,battery,True,0.7944241668802403
35285 battery,6.0,27.5,35285,0.9797958971132712,73.93112615104819,0.0,PV,1.127297453840537,0.9797958971132712,battery,True,1.1272975474988594
