,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,52087 CH4,52101 H2_overground
0,46513644.194924116,3756927.024415001,7547418.5534049,2027957.865772312,50308208.15264489,19481141.733280502,44129215.5764578,17340570.90285455,1491953.4032342446,107927841.56851317,149513.51941783025
1,46496135.77063224,3701517.327263848,7520184.246361707,2024509.8962411548,50101973.15015387,19527247.311802443,44079191.74296839,17302979.681149036,1488926.5480609003,108063570.35878488,163359.82404903052
2,46498464.31228925,3689472.26423654,7519763.168732182,2027668.6579537687,50022454.62959187,19614444.0082017,44094543.550547585,17327229.232341565,1490302.897594192,107961477.17121695,177163.46770912665
3,46499500.62510822,3668246.0094975336,7516235.012949418,2030249.0680955478,49926801.759697974,19715833.753528118,44103165.783913136,17345494.421533074,1491003.2215132418,107884117.98924199,191276.16195571903
4,46500572.919893116,3650380.747694229,7510247.003194729,2032991.1332949633,49832113.187438495,19794230.61936094,44111979.98104877,17363726.095869184,1491476.3091299222,107914986.95022126,205102.21650829804
5,46537773.62718244,3702715.6893413076,7552251.071710776,2044909.2819815348,49973867.83115332,19831939.36421935,44229586.25876086,17490613.700880136,1499827.0717600146,108207163.09964456,219092.72164352625
6,46527273.19167163,3646275.0115844957,7527879.588477433,2033316.2594966025,49781263.39804903,19794107.935608305,44155620.04040082,17447586.16348584,1497344.9966172273,108071596.26483952,232167.63978664816
7,46531820.87563497,3632406.124839661,7521201.996993737,2029157.3340885602,49693141.84393621,19823797.02802141,44143161.62135089,17456842.294090923,1498038.3133784267,108044788.34396663,245235.6199597788
8,46531222.238032825,3596181.0061298534,7507722.676559164,2021376.917406856,49555920.10546658,19752442.527705655,44102135.03755978,17443007.995314285,1497645.2623748863,107855812.2927226,232048.9070107849
9,46549849.45031256,3599144.3898376976,7522737.689589969,2021638.175783774,49539823.44497343,19537096.229028035,44126334.57916272,17489461.758939322,1501309.836934694,107642099.8029274,214687.65093534996
10,46582480.19170881,3644251.6169291455,7557981.056335085,2029823.402966528,49611875.56086528,19503635.611673012,44215460.022538215,17585333.61602631,1507509.7711270552,107787989.76513053,197229.21887674712
11,46540510.54308493,3594024.1919124653,7561602.766288881,2015501.5256678443,49366354.04022735,19299414.35812006,44108417.220846415,17520575.066539068,1504220.828778355,107529927.51968461,172367.7912180214
12,46511237.2849383,3577699.378072265,7574884.236476649,2008594.269355781,49221984.461354084,19133480.087305803,44067495.635212846,17505263.837673023,1502634.8297561898,107463332.55513749,147620.4039537455
13,46470169.41897676,3540016.239231198,7580796.202772917,1996514.2501709952,48986684.43504171,18835091.880888812,43882763.50450937,17446894.42778133,1497834.0978000264,107181237.62481727,122840.3696315208
14,46467742.94374728,3589405.7226106166,7630955.9415180655,2004401.926493451,49038108.01323587,18619526.05172052,43898680.44330895,17530517.92666244,1501112.9471451067,106983515.5544405,98517.80577454757
15,46473879.391567945,3595830.2758045443,7625947.620898758,2011179.250037648,48983903.05533612,18819717.15061335,43914194.39087162,17548067.169917073,1501182.7073783881,107022601.44845763,74105.15222894539
16,46449558.285482354,3542065.1174784214,7583781.012420332,2008025.2042916773,48740477.02208429,18877695.36618243,43836150.14704085,17467284.42558385,1494918.2937237201,106725390.78758569,49192.345187538
17,46435138.35134633,3510714.4760405077,7555156.089909537,2008561.7701029957,48568333.30948784,18978120.91328628,43796586.079414025,17424122.56597716,1491199.4943713897,106654921.0836225,24600.799047164215
