name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,geom,topo,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime
39,eGon2035,0,48988,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0030548515825173043,,0.0,31.0
40,eGon2035,0,49005,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0031205718695736786,,0.0,31.0
41,eGon2035,0,49094,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0030976782509441313,,0.0,31.0
42,eGon2035,0,49102,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003093665381155533,,0.0,31.0
43,eGon2035,0,49107,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0031299474660393713,,0.0,31.0
44,eGon2035,0,49108,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003096530463538266,,0.0,31.0
45,eGon2035,0,49109,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.00284231114221947,,0.0,31.0
46,eGon2035,0,49110,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9983421395878355,,0.0,31.0
47,eGon2035,0,49111,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0031357232161369295,,0.0,31.0
48,eGon2035,0,49112,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0029800735042556604,,0.0,31.0
49,eGon2035,0,49113,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.999731862569949,,0.0,31.0
50,eGon2035,0,49114,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.00627539595999169,,0.0,31.0
51,eGon2035,0,49115,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003151034489634835,,0.0,31.0
52,eGon2035,0,49116,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9992665198053512,,0.0,31.0
53,eGon2035,0,49117,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0030142076929831323,,0.0,31.0
54,eGon2035,0,49118,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0029548715096464357,,0.0,31.0
55,eGon2035,0,49119,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003152463070590977,,0.0,31.0
56,eGon2035,0,49120,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0029967114762309887,,0.0,31.0
57,eGon2035,0,49121,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0031268254032843345,,0.0,31.0
58,eGon2035,0,49122,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003050529943804092,,0.0,31.0
