name,p_set,carrier,bus
47550 rural_gas_boiler,0.0,rural_gas_boiler,47550
47551 CH4_for_industry,0.0,CH4_for_industry,47551
47551 rural_gas_boiler,0.0,rural_gas_boiler,47551
48254 CH4_for_industry,0.0,CH4_for_industry,48254
48254 rural_gas_boiler,0.0,rural_gas_boiler,48254
48639 CH4,0.0,CH4,48639
48640 CH4,0.0,CH4,48640
48641 CH4,0.0,CH4,48641
48642 CH4,0.0,CH4,48642
48643 CH4,0.0,CH4,48643
48644 CH4,0.0,CH4,48644
48645 CH4,0.0,CH4,48645
48646 CH4,0.0,CH4,48646
48647 CH4,0.0,CH4,48647
48648 CH4,0.0,CH4,48648
48649 CH4,0.0,CH4,48649
48650 CH4,0.0,CH4,48650
48875 H2_for_industry,0.0,H2_for_industry,48875
48875 H2_hgv_load,0.0,H2_hgv_load,48875
48878 H2_for_industry,0.0,H2_for_industry,48878
48878 H2_hgv_load,0.0,H2_hgv_load,48878
48882 H2_for_industry,0.0,H2_for_industry,48882
48882 H2_hgv_load,0.0,H2_hgv_load,48882
48886 H2_for_industry,0.0,H2_for_industry,48886
48886 H2_hgv_load,0.0,H2_hgv_load,48886
48888 H2_for_industry,0.0,H2_for_industry,48888
48888 H2_hgv_load,0.0,H2_hgv_load,48888
48890 H2_for_industry,0.0,H2_for_industry,48890
48890 H2_hgv_load,0.0,H2_hgv_load,48890
48893 H2_for_industry,0.0,H2_for_industry,48893
48893 H2_hgv_load,0.0,H2_hgv_load,48893
48894 H2_for_industry,0.0,H2_for_industry,48894
48894 H2_hgv_load,0.0,H2_hgv_load,48894
48895 H2_for_industry,0.0,H2_for_industry,48895
48895 H2_hgv_load,0.0,H2_hgv_load,48895
48896 H2_for_industry,0.0,H2_for_industry,48896
48896 H2_hgv_load,0.0,H2_hgv_load,48896
48898 H2_for_industry,0.0,H2_for_industry,48898
48898 H2_hgv_load,0.0,H2_hgv_load,48898
48899 H2_for_industry,0.0,H2_for_industry,48899
48899 H2_hgv_load,0.0,H2_hgv_load,48899
48900 H2_for_industry,0.0,H2_for_industry,48900
48900 H2_hgv_load,0.0,H2_hgv_load,48900
48901 H2_for_industry,0.0,H2_for_industry,48901
48901 H2_hgv_load,0.0,H2_hgv_load,48901
48902 H2_for_industry,0.0,H2_for_industry,48902
48902 H2_hgv_load,0.0,H2_hgv_load,48902
48904 H2_for_industry,0.0,H2_for_industry,48904
48904 H2_hgv_load,0.0,H2_hgv_load,48904
48905 H2_for_industry,0.0,H2_for_industry,48905
48905 H2_hgv_load,0.0,H2_hgv_load,48905
48908 H2_for_industry,0.0,H2_for_industry,48908
48908 H2_hgv_load,0.0,H2_hgv_load,48908
48911 H2_for_industry,0.0,H2_for_industry,48911
48911 H2_hgv_load,0.0,H2_hgv_load,48911
48912 H2_for_industry,0.0,H2_for_industry,48912
48912 H2_hgv_load,0.0,H2_hgv_load,48912
48914 H2_for_industry,0.0,H2_for_industry,48914
48914 H2_hgv_load,0.0,H2_hgv_load,48914
48916 H2_for_industry,0.0,H2_for_industry,48916
48916 H2_hgv_load,0.0,H2_hgv_load,48916
48917 H2_for_industry,0.0,H2_for_industry,48917
48917 H2_hgv_load,0.0,H2_hgv_load,48917
48919 H2_for_industry,0.0,H2_for_industry,48919
48919 H2_hgv_load,0.0,H2_hgv_load,48919
48922 H2_for_industry,0.0,H2_for_industry,48922
48922 H2_hgv_load,0.0,H2_hgv_load,48922
48926 H2_for_industry,0.0,H2_for_industry,48926
48926 H2_hgv_load,0.0,H2_hgv_load,48926
48928 H2_for_industry,0.0,H2_for_industry,48928
48928 H2_hgv_load,0.0,H2_hgv_load,48928
48930 H2_for_industry,0.0,H2_for_industry,48930
48930 H2_hgv_load,0.0,H2_hgv_load,48930
48931 H2_for_industry,0.0,H2_for_industry,48931
48931 H2_hgv_load,0.0,H2_hgv_load,48931
48932 H2_for_industry,0.0,H2_for_industry,48932
48932 H2_hgv_load,0.0,H2_hgv_load,48932
48934 H2_for_industry,0.0,H2_for_industry,48934
48934 H2_hgv_load,0.0,H2_hgv_load,48934
48935 H2_for_industry,0.0,H2_for_industry,48935
48935 H2_hgv_load,0.0,H2_hgv_load,48935
48936 H2_for_industry,0.0,H2_for_industry,48936
48936 H2_hgv_load,0.0,H2_hgv_load,48936
48937 H2_for_industry,0.0,H2_for_industry,48937
48937 H2_hgv_load,0.0,H2_hgv_load,48937
48938 H2_for_industry,0.0,H2_for_industry,48938
48938 H2_hgv_load,0.0,H2_hgv_load,48938
48939 H2_for_industry,0.0,H2_for_industry,48939
48939 H2_hgv_load,0.0,H2_hgv_load,48939
48940 H2_for_industry,0.0,H2_for_industry,48940
48940 H2_hgv_load,0.0,H2_hgv_load,48940
48945 H2_for_industry,0.0,H2_for_industry,48945
