name,scn_name,bus0,bus1,carrier,p_nom,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
26,eGon2035_lowflex,13,52117,central_resistive_heater,15.086076340216607,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.086076340216607,DE,inf,False,,,0.0,,,1.0,1.0
27,eGon2035_lowflex,12,52046,rural_heat_pump,475.7094947386199,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,475.7094947386199,DE,inf,False,,,0.0,,,1.0,1.0
28,eGon2035_lowflex,12,52101,power_to_H2,1454.6475130068613,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,1454.6475130068613,DE,31.0,False,,,0.0,,,1.0,1.0
29,eGon2035_lowflex,12,52119,central_heat_pump,2.6511536468868977,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.6511536468868977,DE,inf,False,,,0.0,,,1.0,1.0
30,eGon2035_lowflex,12,52119,central_resistive_heater,0.522020698263732,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.522020698263732,DE,inf,False,,,0.0,,,1.0,1.0
31,eGon2035_lowflex,11,50834,central_heat_pump,3.089680913862424,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.089680913862424,DE,inf,False,,,0.0,,,1.0,1.0
32,eGon2035_lowflex,11,50834,central_resistive_heater,3.954551895865889,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.954551895865889,DE,inf,False,,,0.0,,,1.0,1.0
33,eGon2035_lowflex,11,52043,rural_heat_pump,2059.4647771194495,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2059.4647771194495,DE,inf,False,,,0.0,,,1.0,1.0
34,eGon2035_lowflex,11,52101,power_to_H2,1478.3959251893195,inf,461.2241533423849,0.0,0.7,0.0,0.0,1.0,0.0,1478.3959251893195,DE,31.0,False,,,0.0,,,1.0,1.0
35,eGon2035_lowflex,11,52108,central_heat_pump,33.20548898905893,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33.20548898905893,DE,inf,False,,,0.0,,,1.0,1.0
36,eGon2035_lowflex,11,52108,central_resistive_heater,24.337810830898018,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,24.337810830898018,DE,inf,False,,,0.0,,,1.0,1.0
37,eGon2035_lowflex,14,52044,rural_heat_pump,2114.961582291475,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2114.961582291475,DE,inf,False,,,0.0,,,1.0,1.0
38,eGon2035_lowflex,14,52101,power_to_H2,11.178094736264287,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,11.178094736264287,DE,31.0,False,,,0.0,,,1.0,1.0
39,eGon2035_lowflex,14,52103,central_heat_pump,41.02868733750352,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,41.02868733750352,DE,inf,False,,,0.0,,,1.0,1.0
40,eGon2035_lowflex,14,52103,central_resistive_heater,26.22957365149466,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,26.22957365149466,DE,inf,False,,,0.0,,,1.0,1.0
41,eGon2035_lowflex,14,52107,central_heat_pump,21.689546427093443,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21.689546427093443,DE,inf,False,,,0.0,,,1.0,1.0
42,eGon2035_lowflex,14,52107,central_resistive_heater,27.727493703228593,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,27.727493703228593,DE,inf,False,,,0.0,,,1.0,1.0
43,eGon2035_lowflex,13,52040,rural_heat_pump,1209.5511992873674,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1209.5511992873674,DE,inf,False,,,0.0,,,1.0,1.0
44,eGon2035_lowflex,13,52101,power_to_H2,11.624188008169199,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,11.624188008169199,DE,31.0,False,,,0.0,,,1.0,1.0
45,eGon2035_lowflex,13,52109,central_heat_pump,22.912716391801272,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,22.912716391801272,DE,inf,False,,,0.0,,,1.0,1.0
46,eGon2035_lowflex,13,52109,central_resistive_heater,15.405416833173764,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.405416833173764,DE,inf,False,,,0.0,,,1.0,1.0
47,eGon2035_lowflex,11,4,DC,600.0853292133183,2400.0,2716.005547109015,358.44920723568293,1.0,600.0,-1.0,1.0,0.0,600.0853292133183,DK,inf,False,,,0.0,,,1.0,1.0
48,eGon2035_lowflex,11,52043,rural_heat_pump,535.8536509801519,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,535.8536509801519,DE,inf,False,,,0.0,,,1.0,1.0
49,eGon2035_lowflex,11,52101,power_to_H2,25.98619630990723,27.0,461.2241533423849,0.0,0.7,0.0,0.0,1.0,0.0,25.98619630990723,DE,31.0,False,,,0.0,,,1.0,1.0
50,eGon2035_lowflex,11,52120,central_heat_pump,37.15757087730321,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,37.15757087730321,DE,inf,False,,,0.0,,,1.0,1.0
51,eGon2035_lowflex,11,52120,central_resistive_heater,32.42399252108582,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,32.42399252108582,DE,inf,False,,,0.0,,,1.0,1.0
52,eGon2035_lowflex,14,52044,rural_heat_pump,3063.33788523027,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3063.33788523027,DE,inf,False,,,0.0,,,1.0,1.0
53,eGon2035_lowflex,14,52101,power_to_H2,11.178097721283912,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,11.178097721283912,DE,31.0,False,,,0.0,,,1.0,1.0
54,eGon2035_lowflex,14,52102,central_heat_pump,37.48215166254799,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,37.48215166254799,DE,inf,False,,,0.0,,,1.0,1.0
55,eGon2035_lowflex,14,52102,central_resistive_heater,20.393690220271992,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.393690220271992,DE,inf,False,,,0.0,,,1.0,1.0
56,eGon2035_lowflex,14,52105,central_heat_pump,63.62331802825719,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,63.62331802825719,DE,inf,False,,,0.0,,,1.0,1.0
57,eGon2035_lowflex,14,52105,central_resistive_heater,84.28672760004186,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,84.28672760004186,DE,inf,False,,,0.0,,,1.0,1.0
58,eGon2035_lowflex,14,52107,central_heat_pump,5.547228433360994,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.547228433360994,DE,inf,False,,,0.0,,,1.0,1.0
59,eGon2035_lowflex,14,52107,central_resistive_heater,7.075377310722223,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.075377310722223,DE,inf,False,,,0.0,,,1.0,1.0
