name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
29,eGon2035_lowflex,13,52119,central_heat_pump,2.6511536468868977,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.6511536468868977,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
30,eGon2035_lowflex,13,52119,central_resistive_heater,0.522020698263732,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.522020698263732,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
31,eGon2035_lowflex,14,50834,central_heat_pump,3.089680913862424,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,3.089680913862424,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
32,eGon2035_lowflex,14,50834,central_resistive_heater,3.954551895865889,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,3.954551895865889,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
33,eGon2035_lowflex,14,52071,rural_heat_pump,2059.4647771194495,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2059.4647771194495,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
34,eGon2035_lowflex,14,52101,power_to_H2,0.0,True,inf,461.2241533423849,0.0,,0.7,0.0,0.0,0.0,11.608038275489967,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
35,eGon2035_lowflex,14,52108,central_heat_pump,33.20548898905893,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,33.20548898905893,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
36,eGon2035_lowflex,14,52108,central_resistive_heater,24.337810830898018,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,24.337810830898018,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
37,eGon2035_lowflex,15,52055,rural_heat_pump,2114.961582291475,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2114.961582291475,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
38,eGon2035_lowflex,15,52101,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,22.153505140267733,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
