name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom,x_pu_eff,r_pu_eff,s_nom_opt
12790,4176,1907,AC,26.094957199999996,7.544899999999999,5.8022364113573405e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.17757099852193295,11.566245346500487,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a3b753f0>,380.0,,,
12789,4176,31973,AC,0.5549024859999999,0.16043995199999997,1.233830732132964e-07,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.004279400378658986,0.2787425600321962,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a38c2e60>,380.0,,,
12360,4198,3146,AC,22.308356,6.45005198,4.960277519390582e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.15208322670518393,9.906076599227676,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a387df30>,380.0,,,
1049,42,39,AC,0.10946112039999999,0.01219489768,1.91556708e-06,1790.0,True,1790.0,10741.486288219148,1.0,40.0,0.020196898140181562,0.43473635442276215,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a3e3c0a0>,380.0,,,
10444,423,314,AC,1.82874658,0.528748758,4.066243713296399e-07,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.012471259068795554,0.8123265813118794,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6b54334f0>,380.0,,,
28343,423,422,AC,4.74221152,1.3711213199999999,2.636089743767313e-07,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.016137040482819207,1.0511005228573058,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a4412c80>,380.0,,,
28127,4238,31226,AC,1.006521428,0.11213497520000001,7.04565144e-05,3580.0,True,3580.0,10741.486288219148,1.0,40.0,0.37539562985663233,8.080356025830898,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a3c17340>,380.0,,,
28663,4238,31227,AC,1.73304548,0.193075796,3.0328332e-05,1790.0,True,1790.0,10741.486288219148,1.0,40.0,0.3216900832899167,6.924349129888513,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a3c17400>,380.0,,,
3190,4243,4241,AC,0.3135001013333333,0.03492655746666666,4.937613600000001e-05,5370.0,True,5370.0,10741.486288219148,1.0,40.0,0.17351683102116086,3.734933652958048,3.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a4032ec0>,380.0,,,
12804,4244,32777,AC,0.0349385186,0.0038924464,2.445694136e-06,3580.0,True,3580.0,10741.486288219148,1.0,40.0,0.014188488970884159,0.3054059057562934,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a4031330>,380.0,,,
12800,4245,4243,AC,0.49667463,0.0553337912,3.4767188e-05,3580.0,True,3580.0,10741.486288219148,1.0,40.0,0.18313413505566756,3.9419452280186116,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a3f6d420>,380.0,,,
3193,4245,4244,AC,0.225915966,0.025168974149987054,6.32564416e-05,7160.0,True,7160.0,10741.486288219148,1.0,40.0,0.16679227911629654,3.5901882985003124,3.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a40313f0>,380.0,,,
28664,4246,4238,AC,1.6944617999999998,0.188777008,2.96529732e-05,1790.0,True,1790.0,10741.486288219148,1.0,40.0,0.31256059998127705,6.727837850591355,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a3ed3e20>,380.0,,,
12526,4268,3465,AC,0.48381941999999994,0.16786500000000001,5.97904372299169e-07,520.0,True,520.0,6218.755219495297,1.0,40.0,0.023930928672246117,0.5151110144099535,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a423dae0>,380.0,,,
12808,4268,35074,AC,0.4474031839999999,0.15522999999999998,5.529009395013851e-07,520.0,True,520.0,6218.755219495297,1.0,40.0,0.022893664382449958,0.4927839970239638,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a49f6b60>,380.0,,,
24300,4289,32684,AC,0.08363018382178768,0.02418010022862847,4.265347118421053e-08,780.0,True,780.0,3109.3776097476484,1.0,40.0,0.0024759687984447706,0.1612744357550876,3.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a351f790>,380.0,,,
10537,429,32207,AC,0.47835406077828435,0.1383074523423954,1.0636595247229918e-07,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.003739387239221586,0.24356832261135142,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a3630a00>,380.0,,,
26190,429,35412,AC,129.4723612,37.4345448,7.1970755588642656e-06,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.44153166203513816,28.75955856449025,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a394eb60>,380.0,,,
676,430,31716,AC,0.34212207778727605,0.09891804404202242,7.608017200138504e-08,520.0,True,520.0,3109.3776097476484,1.0,40.0,0.004345701930550576,0.28306117074236314,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a433a080>,380.0,,,
26191,430,35412,AC,96.75536439999999,27.975045199999997,5.378407851108034e-06,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.3300592124217708,21.49870114781943,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a48c58d0>,380.0,,,
10547,430,429,AC,226.227148,65.40959,1.2575442853185596e-05,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.7715908744569121,50.25825971230988,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a36a4b50>,380.0,,,
12822,4313,30949,AC,16.351422799999998,5.673259399999999,2.0207175634349032e-05,520.0,True,520.0,6218.755219495297,1.0,40.0,0.8203880668875312,17.658776854504467,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa6a3d60cd0>,380.0,,,
