,43776 coal,43777 nuclear,43778 coal,43778 lignite,43778 nuclear,43779 coal,43780 coal,43781 nuclear,43782 lignite,43783 coal,43783 nuclear,43785 nuclear,43787 coal,43787 lignite,43788 nuclear
137,0.0021154444332952185,0.7884167553871794,0.004897205266937039,0.0008147234181975847,0.9078053052723265,0.0026176294182248695,0.0032522055936089742,0.974672882831441,0.9966147479482994,0.9999377516102257,0.9999721796586567,0.9275468729181444,0.00040106672789292166,0.0007878245037109483,0.002847507899105515
138,0.0021165410134057487,0.7921794989920425,0.004898991149808769,0.0008157823848717837,0.9085889144191474,0.0026184673542731267,0.003253144671602693,0.9751963849508613,0.9967569308719852,0.9999408199934012,0.999973035626769,0.8993057482027965,0.0004020195075789688,0.0007915566969908985,0.002874925467175437
139,0.0021183436860082814,0.7905224599300521,0.004902345833759287,0.0008187584093098613,0.8958518205975742,0.0026204113738757476,0.0032553319303489977,0.9751859712756121,0.996838410225356,0.9999424664813051,0.999973421489428,0.880521204589478,0.0004031665249506058,0.0007967144268615569,0.002939711040052735
140,0.002120380771220706,0.7811052460282757,0.004906054189376794,0.000823137361241061,0.6925597614730942,0.002623255582829698,0.0032582437153609927,0.6049469168031602,0.9968768263906499,0.9999432904972247,0.9999734377376195,0.8650654570390621,0.00040458872138167954,0.0008028903337312231,0.0030662509262224585
141,0.0021226107575960957,0.7626709117066329,0.004909251092213138,0.0008288008042523929,0.5944105244263047,0.0026266689616497242,0.00326150307283894,0.3124092279328221,0.9968759293774302,0.9999435171449246,0.9999731203187628,0.8514662891851972,0.0004063791895574599,0.0008100626097168548,0.0032951467166358185
142,0.0021240413719688573,0.7456134516327929,0.004910910939795536,0.000834909581480736,0.5737780044612228,0.0026297376070192426,0.003264350717513487,0.2750352998640625,0.996829283980549,0.9999429851019546,0.9999724287848247,0.8396253392768849,0.00040817394318344656,0.0008172769708740049,0.0037122720885967853
143,0.002123992911876812,0.734884513998993,0.004909447574357012,0.00084051646756204,0.5680916424418868,0.0026310651394826235,0.003265000850915299,0.24509768172320462,0.9967179685028541,0.9999412595303471,0.9999712168034207,0.8298412964661012,0.00040944293266823896,0.0008234577303477473,0.004746018301876648
144,0.002124307368091457,0.732463972594824,0.004909141364775778,0.0008445387336678341,0.5665592390256444,0.0026329889308397154,0.0032667370602943334,0.24144132363938273,0.9965076400130768,0.9999379106596626,0.9999693151904181,0.8237000796974318,0.0004103983610117299,0.0008273035425356727,0.02305310354697579
145,0.0021239546756387897,0.7347458335201131,0.004908400246430807,0.000845698581815705,0.5662665595442401,0.002633195020253027,0.003267044131089785,0.24083035416932067,0.9961141080289392,0.9999316187881085,0.9999663448774411,0.8202862945131715,0.0004105718313738133,0.0008280767175696951,0.027671783374972395
146,0.00212276212214194,0.7407251138603053,0.0049063818482427655,0.0008436932696238497,0.5668177913095586,0.0026320581082694356,0.0032658502302980626,0.24058213220781863,0.9953220292654967,0.999919911269667,0.9999614906349117,0.8181735179000439,0.00040973130800716587,0.00082473391753073,0.03065452320674715
147,0.002120161012747932,0.750812125070746,0.0049019639467324135,0.0008378132102700131,0.5684464193756529,0.002629106149337713,0.0032624297917745087,0.24054575754940496,0.9932936705871543,0.999894041647217,0.9999520280477576,0.8182279714274999,0.00040811178926959923,0.0008170330724086643,0.034040030686695644
148,0.002116334754976885,0.7669185372813355,0.004893573752150923,0.0008271904453519606,0.5726111362260351,0.002623001598169019,0.00325575461153377,0.2409175387707364,0.9810324067849236,0.9997695576852921,0.999900950408506,0.8224934151655229,0.0004052239095387239,0.000803737207039597,0.03949454665701921
149,0.002110904365639883,0.7948129449141527,0.0048814602143081726,0.0008106324396102455,0.595886548915436,0.002613051693778795,0.003245546258480873,0.2542577767682086,0.11324211728900722,0.0008720903636459755,0.9968689019838274,0.8308304338537792,0.0004024966747773256,0.0007864020707088802,0.05495497636268704
150,0.002102987770273878,0.8454685621491478,0.004865686062249446,0.000786959906471394,0.8554894532644767,0.0025975731907375314,0.0032299851534321024,0.6333323967672303,0.08362814669846654,0.0007555597302853501,0.9956683291804116,0.8436658010742365,0.0003989405120193424,0.0007635998465946624,0.6145679323622559
151,0.0020914480556566434,0.8885277232773658,0.004841200428473594,0.0007571171477731608,0.9563782975649566,0.002572652493337442,0.0032040510668556637,0.9258969719794976,0.07011450572118633,0.0006888917790389349,0.9947817396550312,0.8575211670946264,0.00039374864567979823,0.0007363030033831516,0.8411682619770051
152,0.002079694183433942,0.9154496189205253,0.004814899398529689,0.0007264854280572084,0.977677829139014,0.0025442973244831357,0.0031747810254700963,0.9630406199520994,0.060957358564439096,0.0006395387124217032,0.9940520254140681,0.8696906072604057,0.00038755990326023396,0.0007089689711160224,0.9061596656327561
153,0.0020719484644248602,0.9244395530833,0.004802531357867067,0.0007078113770110364,0.9811120423460024,0.0025297614071688526,0.0031601457260769872,0.9897096274104121,0.053943237003309746,0.000606075870464179,0.9933874703469726,0.8752988793741929,0.0003818151093836354,0.0006877181553069389,0.9307272491875254
154,0.002070448647638739,0.9246809053236963,0.0048010290895798245,0.0007029093423733951,0.9810297531280466,0.0025285971235624594,0.0031583753576484965,0.989353538191515,0.05081048052999878,0.0006021701797403184,0.9927019771049296,0.8742446921225026,0.0003797100943793459,0.0006787617130235487,0.9390144860678233
155,0.0020732834195451993,0.9218618103891081,0.004801878993405721,0.0007046899763373197,0.9801087182905702,0.002531971929588089,0.0031605481663060297,0.9852676298813312,0.05292065722926601,0.0006141383614578671,0.9920730961452859,0.8702196172280912,0.0003794193015375889,0.0006771482190873646,0.9408497358957988
156,0.00208092528818957,0.9159409878862492,0.004806155242032498,0.0007126234165465042,0.9781652351643096,0.002540327902487449,0.0031673284614002783,0.9710154576909298,0.05427066085778413,0.0006230094335069948,0.9915216776755984,0.8636256341488161,0.00038082409483532236,0.0006820809857646517,0.9403081739949849
157,0.0020879696355027713,0.9059784342918937,0.004819486797361639,0.0007298225802011163,0.9741237705902248,0.002557816680199939,0.0031845441239181354,0.9587495138347472,0.055147477556679786,0.0006300850450145905,0.9914435071174874,0.8549107560194013,0.00038573367147734034,0.0006970095472030673,0.9391552440975882
