name,p_nom_max,weight,p_nom,efficiency,p_nom_opt,marginal_cost,e_nom_max,p_max_pu,up_time_before,carrier,bus,control
17604 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.003272275502,0.0,1.0,1,load shedding,17604,PQ
17607 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.00828845991,0.0,1.0,1,load shedding,17607,PQ
186 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.010118728247,0.0,1.0,1,load shedding,186,PQ
19 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.000279080807,0.0,1.0,1,load shedding,19,PQ
1970 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.021994260573,0.0,1.0,1,load shedding,1970,PQ
1972 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.016121303492,0.0,1.0,1,load shedding,1972,PQ
1974 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.026276616596,0.0,1.0,1,load shedding,1974,PQ
2 OCGT,inf,1945.2380952380954,1945.2380952380954,0.42,1945.2380952380954,10.714285714285715,0.0,1.0,1,OCGT,2,PQ
2 biomass,inf,106.83111959856066,106.83111959856066,1.0,106.83111959856066,42.10773457113431,inf,1.0,0,biomass,2,PV
2 central_biomass_CHP,inf,118.8296808818189,118.8296808818189,1.0,118.8296808818189,42.10925320709714,inf,1.0,0,central_biomass_CHP,2,PV
2 central_gas_CHP,inf,2989.546083042018,2989.546083042018,0.43,2989.546083042018,4.130226318110091,0.0,1.0,1,central_gas_CHP,2,PQ
2 industrial_biomass_CHP,inf,581.2716771603982,581.2716771603982,1.0,581.2716771603982,42.10716782324598,inf,1.0,0,industrial_biomass_CHP,2,PV
2 industrial_gas_CHP,inf,1127.4267729810717,1127.4267729810717,0.43,1127.4267729810717,4.15,0.0,1.0,1,industrial_gas_CHP,2,PQ
2 load shedding,inf,76136193.785703,76136193.785703,1.0,76136193.785703,10000.007919060125,0.0,1.0,1,load shedding,2,PQ
2 others,inf,26.33919223521007,26.33919223521007,1.0,26.33919223521007,0.011077249851012822,inf,1.0,0,others,2,PV
2 reservoir,inf,162.67852088078098,162.67852088078098,1.0,162.67852088078098,0.007605829011294858,inf,0.65,0,reservoir,2,PV
2 run_of_river,inf,54.5876836873713,54.5876836873713,1.0,54.5876836873713,0.008308609562381502,inf,0.65,0,run_of_river,2,PV
2 solar,inf,1076.5870491017645,1076.5870491017645,1.0,1076.5870491017645,0.01798126555568658,inf,1.0,0,solar,2,PV
2 solar_rooftop,inf,4897.684064635784,4897.684064635784,1.0,4897.684064635784,0.01877779737467024,inf,1.0,0,solar_rooftop,2,PV
2 wind_offshore,inf,4000.0,4000.0,1.0,4000.0,2.5681327177381137,inf,1.0,0,wind_offshore,2,PV
2 wind_onshore,inf,7322.4031689786225,7322.4031689786225,1.0,7322.4031689786225,1.3085696314317696,inf,1.0,0,wind_onshore,2,PV
20116 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.00830536508,0.0,1.0,1,load shedding,20116,PQ
2109 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.007944258301,0.0,1.0,1,load shedding,2109,PQ
219 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.00899577144,0.0,1.0,1,load shedding,219,PQ
220 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.009459199993,0.0,1.0,1,load shedding,220,PQ
22051 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.0047154093,0.0,1.0,1,load shedding,22051,PQ
22109 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.003015034838,0.0,1.0,1,load shedding,22109,PQ
224 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.009737848224,0.0,1.0,1,load shedding,224,PQ
22983 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.00070325539,0.0,1.0,1,load shedding,22983,PQ
22988 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.000566845949,0.0,1.0,1,load shedding,22988,PQ
22989 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.007969888537,0.0,1.0,1,load shedding,22989,PQ
23013 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.010683570177,0.0,1.0,1,load shedding,23013,PQ
23019 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.008652186785,0.0,1.0,1,load shedding,23019,PQ
23041 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.009017412383,0.0,1.0,1,load shedding,23041,PQ
23123 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.006310738987,0.0,1.0,1,load shedding,23123,PQ
23124 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.009875956423,0.0,1.0,1,load shedding,23124,PQ
23286 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.004208679034,0.0,1.0,1,load shedding,23286,PQ
23312 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.005924992922,0.0,1.0,1,load shedding,23312,PQ
23329 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.001929761129,0.0,1.0,1,load shedding,23329,PQ
23388 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.008333406224,0.0,1.0,1,load shedding,23388,PQ
23487 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.019847349206,0.0,1.0,1,load shedding,23487,PQ
23502 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.010162245391,0.0,1.0,1,load shedding,23502,PQ
23507 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.014154338282,0.0,1.0,1,load shedding,23507,PQ
23545 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.003480753265,0.0,1.0,1,load shedding,23545,PQ
23601 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.000129288268,0.0,1.0,1,load shedding,23601,PQ
23637 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.008930727849,0.0,1.0,1,load shedding,23637,PQ
23638 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.012592709043,0.0,1.0,1,load shedding,23638,PQ
23668 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.00483591494,0.0,1.0,1,load shedding,23668,PQ
23714 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.00248610206,0.0,1.0,1,load shedding,23714,PQ
23725 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.005788433278,0.0,1.0,1,load shedding,23725,PQ
23773 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.005820225282,0.0,1.0,1,load shedding,23773,PQ
23776 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.012343050961,0.0,1.0,1,load shedding,23776,PQ
23965 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.022221315116,0.0,1.0,1,load shedding,23965,PQ
24156 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.001271472203,0.0,1.0,1,load shedding,24156,PQ
24638 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.001388728995,0.0,1.0,1,load shedding,24638,PQ
