name,e_nom_extendable,e_cyclic,capital_cost,e_nom,e_nom_max,e_initial,carrier,bus,lifetime,e_nom_opt
39108 dsm,False,False,0.0,1.0741644807499537,inf,0.0,dsm,39108,inf,1.0741644807499537
39178 dsm,False,False,0.0,0.30687091664956745,inf,0.0,dsm,39178,inf,0.30687091664956745
39202 dsm,False,False,0.0,0.3173348433678771,inf,0.0,dsm,39202,inf,0.3173348433678771
39204 dsm,False,False,0.0,0.8404504359362317,inf,0.0,dsm,39204,inf,0.8404504359362317
39206 dsm,False,False,0.0,1.1291125797731458,inf,0.0,dsm,39206,inf,1.1291125797731458
39208 dsm,False,False,0.0,0.1523026523776397,inf,0.0,dsm,39208,inf,0.1523026523776397
39210 dsm,False,False,0.0,0.13703892170852355,inf,0.0,dsm,39210,inf,0.13703892170852355
39240 dsm,False,False,0.0,0.18876178748504002,inf,0.0,dsm,39240,inf,0.18876178748504002
39242 dsm,False,False,0.0,0.1323252919043061,inf,0.0,dsm,39242,inf,0.1323252919043061
39300 dsm,False,False,0.0,0.9110994559401618,inf,0.0,dsm,39300,inf,0.9110994559401618
39310 dsm,False,False,0.0,0.44699218663258256,inf,0.0,dsm,39310,inf,0.44699218663258256
39344 dsm,False,False,0.0,0.17784744727459073,inf,0.0,dsm,39344,inf,0.17784744727459073
39346 dsm,False,False,0.0,0.1520720720167589,inf,0.0,dsm,39346,inf,0.1520720720167589
39366 dsm,False,False,0.0,0.8307439685351314,inf,0.0,dsm,39366,inf,0.8307439685351314
39368 dsm,False,False,0.0,0.06390040062222598,inf,0.0,dsm,39368,inf,0.06390040062222598
39370 dsm,False,False,0.0,0.10207896444845323,inf,0.0,dsm,39370,inf,0.10207896444845323
39388 dsm,False,False,0.0,0.021448604798159857,inf,0.0,dsm,39388,inf,0.021448604798159857
39412 dsm,False,False,0.0,1.3884979794420098,inf,0.0,dsm,39412,inf,1.3884979794420098
39416 dsm,False,False,0.0,1.42961261944596,inf,0.0,dsm,39416,inf,1.42961261944596
39446 dsm,False,False,0.0,0.4739863416019181,inf,0.0,dsm,39446,inf,0.4739863416019181
39690 dsm,False,False,0.0,0.5118870925807015,inf,0.0,dsm,39690,inf,0.5118870925807015
39778 dsm,False,False,0.0,3.515855159654353,inf,0.0,dsm,39778,inf,3.515855159654353
39832 dsm,False,False,0.0,1.076680599887974,inf,0.0,dsm,39832,inf,1.076680599887974
39862 dsm,False,False,0.0,1.965850159347606,inf,0.0,dsm,39862,inf,1.965850159347606
39864 dsm,False,False,0.0,0.05252426974083518,inf,0.0,dsm,39864,inf,0.05252426974083518
39868 dsm,False,False,0.0,1.1064444348963367,inf,0.0,dsm,39868,inf,1.1064444348963367
39910 dsm,False,False,0.0,0.38956012360488995,inf,0.0,dsm,39910,inf,0.38956012360488995
39924 dsm,False,False,0.0,0.3339625214258168,inf,0.0,dsm,39924,inf,0.3339625214258168
40222 dsm,False,False,0.0,0.14723079756424304,inf,0.0,dsm,40222,inf,0.14723079756424304
40374 dsm,False,False,0.0,3.109374144200899,inf,0.0,dsm,40374,inf,3.109374144200899
40512 dsm,False,False,0.0,0.7724217729791324,inf,0.0,dsm,40512,inf,0.7724217729791324
40798 dsm,False,False,0.0,0.8507078967530969,inf,0.0,dsm,40798,inf,0.8507078967530969
41046 dsm,False,False,0.0,2.0272264774539455,inf,0.0,dsm,41046,inf,2.0272264774539455
41066 dsm,False,False,0.0,0.02964273962195872,inf,0.0,dsm,41066,inf,0.02964273962195872
41276 dsm,False,False,0.0,135.79026403204034,inf,0.0,dsm,41276,inf,135.79026403204034
41380 dsm,False,False,0.0,0.03809059319216991,inf,0.0,dsm,41380,inf,0.03809059319216991
41382 dsm,False,False,0.0,0.1873979519770434,inf,0.0,dsm,41382,inf,0.1873979519770434
41438 dsm,False,False,0.0,0.01740257784904596,inf,0.0,dsm,41438,inf,0.01740257784904596
41526 dsm,False,False,0.0,243.39392010952082,inf,0.0,dsm,41526,inf,243.39392010952082
41530 dsm,False,False,0.0,0.3374998222741325,inf,0.0,dsm,41530,inf,0.3374998222741325
41538 dsm,False,False,0.0,54.585997436386776,inf,0.0,dsm,41538,inf,54.585997436386776
41544 dsm,False,False,0.0,252.99036807648625,inf,0.0,dsm,41544,inf,252.99036807648625
41828 dsm,False,False,0.0,0.021562744220913588,inf,0.0,dsm,41828,inf,0.021562744220913588
41838 dsm,False,False,0.0,1.9782205873322702,inf,0.0,dsm,41838,inf,1.9782205873322702
41870 dsm,False,False,0.0,0.41605258376879806,inf,0.0,dsm,41870,inf,0.41605258376879806
41956 dsm,False,False,0.0,0.8199664108408321,inf,0.0,dsm,41956,inf,0.8199664108408321
42128 dsm,False,False,0.0,1.1680986352681193,inf,0.0,dsm,42128,inf,1.1680986352681193
42138 dsm,False,False,0.0,7.0176634648909815,inf,0.0,dsm,42138,inf,7.0176634648909815
42226 dsm,False,False,0.0,0.031342445323461816,inf,0.0,dsm,42226,inf,0.031342445323461816
42248 dsm,False,False,0.0,0.07873283356315355,inf,0.0,dsm,42248,inf,0.07873283356315355
42316 dsm,False,False,0.0,0.021124380617628905,inf,0.0,dsm,42316,inf,0.021124380617628905
42328 dsm,False,False,0.0,0.32462046768068,inf,0.0,dsm,42328,inf,0.32462046768068
42388 dsm,False,False,0.0,0.11194198939981602,inf,0.0,dsm,42388,inf,0.11194198939981602
42484 dsm,False,False,0.0,0.09642928120616105,inf,0.0,dsm,42484,inf,0.09642928120616105
42514 dsm,False,False,0.0,69.13119395406068,inf,0.0,dsm,42514,inf,69.13119395406068
42584 dsm,False,False,0.0,0.05373337817716692,inf,0.0,dsm,42584,inf,0.05373337817716692
42656 dsm,False,False,0.0,0.2521570813789037,inf,0.0,dsm,42656,inf,0.2521570813789037
42658 dsm,False,False,0.0,533.1122797919131,inf,0.0,dsm,42658,inf,533.1122797919131
42664 dsm,False,False,0.0,345.985498159723,inf,0.0,dsm,42664,inf,345.985498159723
42704 dsm,False,False,0.0,63.590692338670415,inf,0.0,dsm,42704,inf,63.590692338670415
42708 dsm,False,False,0.0,209.30993592650879,inf,0.0,dsm,42708,inf,209.30993592650879
42710 dsm,False,False,0.0,0.20176288807420853,inf,0.0,dsm,42710,inf,0.20176288807420853
42816 dsm,False,False,0.0,276.13499140727225,inf,0.0,dsm,42816,inf,276.13499140727225
42836 dsm,False,False,0.0,113.50639400924751,inf,0.0,dsm,42836,inf,113.50639400924751
42870 dsm,False,False,0.0,0.11456907607406361,inf,0.0,dsm,42870,inf,0.11456907607406361
42988 dsm,False,False,0.0,0.0851529776730382,inf,0.0,dsm,42988,inf,0.0851529776730382
43008 dsm,False,False,0.0,1.0247350126799382,inf,0.0,dsm,43008,inf,1.0247350126799382
43072 dsm,False,False,0.0,0.016787251910935025,inf,0.0,dsm,43072,inf,0.016787251910935025
43084 dsm,False,False,0.0,1.9394919078430617,inf,0.0,dsm,43084,inf,1.9394919078430617
43104 dsm,False,False,0.0,0.008531693791311724,inf,0.0,dsm,43104,inf,0.008531693791311724
43128 dsm,False,False,0.0,0.0474589864607396,inf,0.0,dsm,43128,inf,0.0474589864607396
43154 dsm,False,False,0.0,0.09259027939803766,inf,0.0,dsm,43154,inf,0.09259027939803766
43174 dsm,False,False,0.0,0.25607374184371234,inf,0.0,dsm,43174,inf,0.25607374184371234
43196 dsm,False,False,0.0,0.0958178290602819,inf,0.0,dsm,43196,inf,0.0958178290602819
43216 dsm,False,False,0.0,0.0008397606054347909,inf,0.0,dsm,43216,inf,0.0008397606054347909
43218 dsm,False,False,0.0,0.01729904377274463,inf,0.0,dsm,43218,inf,0.01729904377274463
43282 dsm,False,False,0.0,0.7156331030442231,inf,0.0,dsm,43282,inf,0.7156331030442231
