name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,x_pu_eff,r_pu_eff,s_nom_opt,country,v_nom
1,0,12,AC,17.21511068582361,2.239473443710636,0.0004124336319527098,5436.966686325035,True,4620.0,23178.996727209742,0.9999999999999999,40.0,4.935465451820789,173.43028597818414,4.0,0.00011921821804586988,1.5508818862262023e-05,5436.966686325035,DE,380.0
2,0,13,AC,7.265089822890022,0.8276206916892811,0.0017894456826713738,11780.000001394705,True,11780.0,36888.52527927891,0.9999999999999999,40.0,5.327505196621356,180.0263811573701,9.0,5.031225639120514e-05,5.731445233305271e-06,11780.000001394705,DE,380.0
3,0,2,AC,4.361882326509982,0.5167658146836658,0.0018708072431049807,13620.000001842944,True,13620.0,41552.59169390039,0.9999999999999999,40.0,3.06847502248799,128.2141555737414,17.0,3.0206941319321205e-05,3.5787106280032257e-06,13620.000001842944,DE,380.0
4,0,43785,AC,19.995971519598566,2.2277208142783573,3.9266482856464827e-07,3580.0000445936967,True,3580.0,10741.486288219148,0.9999999999999999,40.0,0.17938110103173147,159.1496444614628,2.0,0.0001384762570609319,1.5427429461761478e-05,3580.0000445936967,NL,380.0
5,0,7,AC,13.058817000106984,1.479519847752058,0.0001179011870693314,7680.0000041245485,True,7680.0,23037.661381312122,1.0,40.0,1.6614256286511107,213.63457458583204,5.0,9.043502077636416e-05,1.0245982325152756e-05,7680.0000041245485,DE,380.0
6,1,10,AC,3.8696853931157644,0.4421275276917649,0.002393246581685067,15880.000001826565,True,15880.0,69112.98414393635,1.0,40.0,3.966764188834981,128.24270564693737,12.0,2.6798375298585625e-05,3.061824984014992e-06,15880.000001826565,DE,380.0
7,1,43778,AC,19.912816696461288,2.218457069612144,0.0002000992668723065,6155.373938483884,True,3580.0,14320.0,1.0,40.0,2.796742604295109,250.13570070701053,2.0,0.00013790039263477345,1.5363276105347256e-05,6155.373938483884,CZ,380.0
8,1,5,AC,3.8345027187619887,0.4796001653165685,0.0018237540573909287,14660.000003595424,True,14660.0,58512.83320161483,1.0,40.0,2.108703125495457,111.68962956789133,18.0,2.6554727969265848e-05,3.321330784740779e-06,14660.000003595424,DE,380.0
9,1,8,AC,17.11421689240046,1.9066724022249366,0.0019195496686175081,5636.438996763135,True,3580.0,10741.486288219148,1.0,40.0,8.001167232107713,172.22438066829307,2.0,0.00011851950756510013,1.320410250848294e-05,5636.438996763135,DE,380.0
10,10,4,AC,139.4583114606902,40.32178279975934,9.69116749125562e-05,1560.0000037461618,True,1560.0,4664.066414621473,1.0,40.0,1.9008148787701886,185.71690841243174,6.0,0.0009657777801986856,0.00027923672299002314,1560.0000037461618,DE,380.0
11,10,43787,AC,10.23587670642258,1.1597558216271349,5.450534928510045e-08,11781.486288218854,True,3840.0,11781.486288219148,1.0,40.0,0.032014224115115585,256.16242246416374,3.0,7.088557275915915e-05,8.031550011268246e-06,11781.486288218854,PL,380.0
12,10,8,AC,9.141991259408163,1.0357707639676816,0.00014903507235630945,10348.198678857452,True,7680.0,23037.661381312122,1.0,40.0,4.687501428923422,206.53782908995882,6.0,6.331018877706484e-05,7.172927728308045e-06,10348.198678857452,DE,380.0
13,10,9,AC,14.944705005092983,2.0771417405015002,0.00025957400897680004,6921.333543180823,True,6180.0,21624.307922335916,1.0,40.0,2.1445108042750514,170.76793161546857,10.0,0.00010349518701587938,1.4384638092115653e-05,6921.333543180823,DE,380.0
14,10866,32958,AC,57.712476600959754,16.686514640539073,3.208105102388776e-06,260.0000534377489,True,260.0,1554.6888048738242,1.0,40.0,0.19685915248083927,12.822596455784979,1.0,0.00039967089058836393,0.00011555758061315148,260.0000534377489,DE,380.0
15,10866,32959,AC,0.7683942264924873,0.22216718097983762,1.7085320090391585e-07,520.0030464287775,True,520.0,1554.6888048738242,1.0,40.0,0.0055886567760705065,0.36402214307214037,2.0,5.321289657150189e-06,1.5385538849019226e-06,520.0030464287775,DE,380.0
16,10866,35511,AC,17.63050888646523,5.097530411420624,8.913455924332129e-07,482.7066252615652,True,260.0,1554.6888048738242,1.0,40.0,0.058287094324243956,7.59316373845306,1.0,0.00012209493688687833,3.53014571428021e-05,482.7066252615652,DE,380.0
17,11,14,AC,10.449035568013748,1.257088380190437,0.0008643513517067822,10959.858967896274,True,6410.0,29256.416600807417,1.0,40.0,4.363783698529477,140.94431105513596,5.0,7.236174216076003e-05,8.705598200764799e-06,10959.858967896274,DE,380.0
