name,efficiency_store,p_nom,efficiency_dispatch,p_nom_min,capital_cost,carrier,bus,control,p_nom_extendable,max_hours,lifetime,p_nom_opt
0 battery,0.9797958971132713,0.0,0.9797958971132713,2484.082205955905,73.93112615104819,battery,0,PV,True,6.0,27.5,2484.082206036188
0 pumped_hydro,0.8660254037844386,303.0,0.8660254037844386,0.0,0.0,pumped_hydro,0,PV,False,6.0,27.5,303.0
1 battery,0.9797958971132712,0.0,0.9797958971132712,817.7007832648637,73.93112615104819,battery,1,PV,True,6.0,27.5,817.7007833472627
1 pumped_hydro,0.8660254037844386,1045.2,0.8660254037844386,0.0,0.0,pumped_hydro,1,PV,False,6.0,27.5,1045.2
10 battery,0.9797958971132712,0.0,0.9797958971132712,820.7826940476423,73.93112615104819,battery,10,PV,True,6.0,27.5,3870.4673321028413
10 pumped_hydro,0.8660254037844386,39.8,0.8660254037844386,0.0,0.0,pumped_hydro,10,PV,False,6.0,27.5,39.8
11 battery,0.9797958971132712,0.0,0.9797958971132712,668.7273904229484,73.93112615104819,battery,11,PV,True,6.0,27.5,668.7273905061444
11 pumped_hydro,0.8660254037844387,730.0,0.8660254037844387,0.0,0.0,pumped_hydro,11,PV,False,6.0,27.5,730.0
12 battery,0.9797958971132711,0.0,0.9797958971132711,226.22098852845622,73.93112615104819,battery,12,PV,True,6.0,27.5,226.22098861386442
13 battery,0.9797958971132711,0.0,0.9797958971132711,540.4898267879231,73.93112615104819,battery,13,PV,True,6.0,27.5,540.489826869865
13 pumped_hydro,0.8660254037844386,910.0,0.8660254037844386,0.0,0.0,pumped_hydro,13,PV,False,6.0,27.5,910.0
14 battery,0.9797958971132712,0.0,0.9797958971132712,1864.1979498588369,73.93112615104819,battery,14,PV,True,6.0,27.5,1864.1979499770903
14 pumped_hydro,0.8660254037844387,218.0,0.8660254037844387,0.0,0.0,pumped_hydro,14,PV,False,6.0,27.5,218.0
15 battery,0.9797958971132712,0.0,0.9797958971132712,511.2582629928771,73.93112615104819,battery,15,PV,True,6.0,27.5,511.25826307437006
2 battery,0.9797958971132713,0.0,0.9797958971132713,978.7212119172258,73.93112615104819,battery,2,PV,True,6.0,27.5,978.7212120001842
2 pumped_hydro,0.8660254037844386,625.0,0.8660254037844386,0.0,0.0,pumped_hydro,2,PV,False,6.0,27.5,625.0
3 battery,0.9797958971132711,0.0,0.9797958971132711,1741.5609399118841,73.93112615104819,battery,3,PV,True,6.0,27.5,1741.5609400319408
3 pumped_hydro,0.8660254037844387,252.0,0.8660254037844387,0.0,0.0,pumped_hydro,3,PV,False,6.0,27.5,252.0
30981 battery,0.9797958971132712,0.0,0.9797958971132712,0.0,73.93112615104819,battery,30981,PV,True,6.0,27.5,5.880389885249721e-07
30987 battery,0.9797958971132712,0.0,0.9797958971132712,0.23260521982912297,73.93112615104819,battery,30987,PV,True,6.0,27.5,0.23260534849718098
31000 battery,0.9797958971132712,0.0,0.9797958971132712,4.821832875784191,73.93112615104819,battery,31000,PV,True,6.0,27.5,4.821832987472107
31246 battery,0.9797958971132712,0.0,0.9797958971132712,3.3172297991116415,73.93112615104819,battery,31246,PV,True,6.0,27.5,3.317229908646985
31247 battery,0.9797958971132712,0.0,0.9797958971132712,0.0,73.93112615104819,battery,31247,PV,True,6.0,27.5,5.884864408014612e-07
31271 battery,0.9797958971132712,0.0,0.9797958971132712,3.7053035172911675,73.93112615104819,battery,31271,PV,True,6.0,27.5,3.7053036283469902
31371 battery,0.9797958971132712,0.0,0.9797958971132712,11.395898605938132,73.93112615104819,battery,31371,PV,True,6.0,27.5,11.395898702820695
31372 battery,0.9797958971132712,0.0,0.9797958971132712,0.0,73.93112615104819,battery,31372,PV,True,6.0,27.5,5.886570274970737e-07
31538 battery,0.9797958971132712,0.0,0.9797958971132712,6.577109814864961,73.93112615104819,battery,31538,PV,True,6.0,27.5,6.577109921082558
31557 battery,0.9797958971132712,0.0,0.9797958971132712,4.297470402313011,73.93112615104819,battery,31557,PV,True,6.0,27.5,4.297470514533067
