line_key,s_nom_extendable,s_nom,p,loading_old,s_nom_opt,loading_new,dif
5370,True,26.0,15.5366433915,59.76,26.0,59.76,0.0
5377,True,26.0,12.7479195673,49.03,26.0,49.03,0.0
6085,True,179.0,0.0,0.0,179.0,0.0,0.0
6087,True,179.0,0.0,0.0,179.0,0.0,0.0
6088,True,179.0,0.0,0.0,179.0,0.0,0.0
6089,True,179.0,0.0,0.0,179.0,0.0,0.0
6091,True,179.0,0.0,0.0,179.0,0.0,0.0
6092,True,179.0,0.0,0.0,179.0,0.0,0.0
6206,True,28.0,49.422146976,176.51,49.422146976,100.0,21.422146976
6386,True,26.0,49.422146976,190.09,49.422146976,100.0,23.422146976
6387,True,26.0,16.1346655575,62.06,26.0,62.06,0.0
6388,True,26.0,16.4408300402,63.23,26.0,63.23,0.0
6389,True,26.0,49.422146976,190.09,49.422146976,100.0,23.422146976
6475,True,28.0,14.2552583157,50.91,28.0,50.91,0.0
6544,True,26.0,35.0202104166,134.69,35.0202104166,100.0,9.0202104166
6545,True,28.0,35.0202104166,125.07,35.0202104166,100.0,7.0202104166
6648,True,28.0,32.8650893707,117.38,32.8650893707,100.0,4.8650893707
6585,True,26.0,14.9984542323,57.69,26.0,57.69,0.0
6625,True,28.0,41.340793079,147.65,41.340793079,100.0,13.340793079
6669,True,28.0,34.3328300691,122.62,34.3328300691,100.0,6.3328300691
6780,True,28.0,37.1738931965,132.76,37.1738931965,100.0,9.1738931965
6781,True,28.0,37.1738931965,132.76,37.1738931965,100.0,9.1738931965
6782,True,26.0,37.1738931965,142.98,37.1738931965,100.0,11.1738931965
6799,True,26.0,70.4063592862,270.79,70.4063592862,100.0,44.4063592862
6800,True,26.0,73.8998820343,284.23,73.8998820343,100.0,47.8998820343
6801,True,26.0,76.3333032951,293.59,76.3333032951,100.0,50.3333032951
6806,True,26.0,75.2228499894,289.32,75.2228499894,100.0,49.2228499894
6857,True,26.0,11.6804960447,44.92,26.0,44.92,0.0
6858,True,26.0,34.4019767204,132.32,34.4019767204,100.0,8.4019767204
6913,True,26.0,49.56487304,190.63,49.56487304,100.0,23.56487304
6912,True,26.0,54.4112408067,209.27,54.4112408067,100.0,28.4112408067
6996,True,52.0,15.3853795676,29.59,52.0,29.59,0.0
6997,True,52.0,15.2645547855,29.35,52.0,29.35,0.0
7070,True,26.0,26.0033153122,100.01,26.0033153122,100.0,0.0033153122
7071,True,26.0,26.0,100.0,26.0,100.0,0.0
7072,True,26.0,2.6929143378,10.36,26.0,10.36,0.0
7073,True,26.0,17.09308854,65.74,26.0,65.74,0.0
7080,True,52.0,7.55250411856,14.52,52.0,14.52,0.0
7082,True,52.0,16.9508409034,32.6,52.0,32.6,0.0
7093,True,26.0,26.0,100.0,26.0,100.0,0.0
7102,True,26.0,26.1552767452,100.6,26.1552767452,100.0,0.1552767452
7219,True,26.0,26.0,100.0,26.0,100.0,0.0
7220,True,26.0,28.5238088834,109.71,28.5238088834,100.0,2.5238088834
7221,True,26.0,20.0186406846,76.99,26.0,76.99,0.0
7231,True,26.0,57.2769183036,220.3,57.2769183036,100.0,31.2769183036
7232,True,26.0,25.8166720537,99.29,26.0,99.29,0.0
7233,True,26.0,25.9083360269,99.65,26.0,99.65,0.0
7235,True,26.0,40.0709018743,154.12,40.0709018743,100.0,14.0709018743
7236,True,26.0,40.0709018743,154.12,40.0709018743,100.0,14.0709018743
7325,True,26.0,32.9925882436,126.89,32.9925882436,100.0,6.9925882436
7326,True,26.0,30.9830453132,119.17,30.9830453132,100.0,4.9830453132
7327,True,26.0,32.9925882436,126.89,32.9925882436,100.0,6.9925882436
7328,True,26.0,26.0,100.0,26.0,100.0,0.0
7333,True,52.0,15.3938497206,29.6,52.0,29.6,0.0
7334,True,52.0,15.3938497206,29.6,52.0,29.6,0.0
7335,True,52.0,15.3938497206,29.6,52.0,29.6,0.0
7336,True,52.0,15.3938497206,29.6,52.0,29.6,0.0
7350,True,26.0,26.8552831564,103.29,26.8552831564,100.0,0.8552831564
7351,True,26.0,24.4335452791,93.98,26.0,93.98,0.0
7368,True,26.0,6.55102909837,25.2,26.0,25.2,0.0
7439,True,26.0,34.6512676648,133.27,34.6512676648,100.0,8.6512676648
7468,True,26.0,12.5006067065,48.08,26.0,48.08,0.0
7469,True,26.0,46.2923836945,178.05,46.2923836945,100.0,20.2923836945
7458,True,26.0,2.2261734112,8.56,26.0,8.56,0.0
7470,True,26.0,46.2923836945,178.05,46.2923836945,100.0,20.2923836945
7471,True,26.0,38.1682576085,146.8,38.1682576085,100.0,12.1682576085
7472,True,26.0,37.628046696,144.72,37.628046696,100.0,11.628046696
7473,True,26.0,37.628046696,144.72,37.628046696,100.0,11.628046696
7491,True,26.0,36.9618229329,142.16,36.9618229329,100.0,10.9618229329
7508,True,26.0,70.415863111,270.83,70.415863111,100.0,44.415863111
7547,True,26.0,3.6654258178,14.1,26.0,14.1,0.0
7590,True,52.0,58.2663348375,112.05,58.2663348375,100.0,6.2663348375
7591,True,52.0,58.2663348375,112.05,58.2663348375,100.0,6.2663348375
7592,True,52.0,58.2810372298,112.08,58.2810372298,100.0,6.2810372298
7593,True,52.0,57.8552363622,111.26,57.8552363622,100.0,5.8552363622
7594,True,52.0,58.2663348375,112.05,58.2663348375,100.0,6.2663348375
7615,True,358.0,12.072150752,3.37,358.0,3.37,0.0
7617,True,26.0,9.82131033673,37.77,26.0,37.77,0.0
7655,True,28.0,5.09413954004,18.19,28.0,18.19,0.0
