bus_id,cluster,medoid_idx
47369,0,47589
47372,0,47589
47373,0,47589
47374,0,47589
47375,0,47589
47376,0,47589
47377,0,47589
47378,0,47589
47379,0,47589
47380,0,47589
47381,0,47589
47382,0,47589
47383,0,47589
47384,0,47589
47385,0,47589
47386,0,47589
47387,0,47589
47388,0,47589
47389,0,47589
47390,0,47589
47391,0,47589
47392,0,47589
47393,0,47589
47394,0,47589
47395,0,47589
47396,0,47589
47397,0,47589
47398,0,47589
47399,0,47589
47400,0,47589
47401,0,47589
47402,0,47589
47403,0,47589
47404,0,47589
47405,0,47589
47406,0,47589
47407,0,47589
47408,0,47589
47409,0,47589
47410,0,47589
47411,0,47589
47412,0,47589
47413,0,47589
47414,0,47589
47415,0,47589
47416,0,47589
47417,0,47589
47418,0,47589
47419,0,47589
47420,0,47589
47421,0,47589
47422,0,47589
47423,0,47589
47424,0,47589
47425,0,47589
47426,0,47589
47427,0,47589
47428,0,47589
47429,0,47589
47430,0,47589
47431,0,47589
47432,0,47589
47433,0,47589
47434,0,47589
47435,0,47589
47436,0,47589
47437,0,47589
47438,0,47589
47439,0,47589
47440,0,47589
47441,0,47589
47442,0,47589
47443,0,47589
47444,0,47589
47445,0,47589
47446,0,47589
47447,0,47589
47448,0,47589
47449,0,47589
47450,0,47589
47451,0,47589
47452,0,47589
47453,0,47589
47454,0,47589
47455,0,47589
47456,0,47589
47457,0,47589
47458,0,47589
47459,0,47589
47460,0,47589
47461,0,47589
47462,0,47589
47463,0,47589
47464,0,47589
47465,0,47589
47466,0,47589
47467,0,47589
47468,0,47589
47469,0,47589
47470,0,47589
47471,0,47589
47472,0,47589
47473,0,47589
47474,0,47589
47475,0,47589
47476,0,47589
47477,0,47589
47478,0,47589
47479,0,47589
47480,0,47589
47481,0,47589
47482,0,47589
47483,0,47589
47484,0,47589
47485,0,47589
47486,0,47589
47487,0,47589
47488,0,47589
47489,0,47589
47490,0,47589
47491,0,47589
47492,0,47589
47493,0,47589
47494,0,47589
47495,0,47589
47496,0,47589
47497,0,47589
47498,0,47589
47499,0,47589
47500,0,47589
47501,0,47589
47502,0,47589
47503,0,47589
47504,0,47589
47505,0,47589
47506,0,47589
47507,0,47589
47508,0,47589
47509,0,47589
47510,0,47589
47511,0,47589
47512,0,47589
47513,0,47589
47514,0,47589
47515,0,47589
47516,0,47589
47517,0,47589
47518,0,47589
47519,0,47589
47520,0,47589
47521,0,47589
47522,0,47589
47523,0,47589
47524,0,47589
47525,0,47589
47526,0,47589
47527,0,47589
47528,0,47589
47529,0,47589
47530,0,47589
47531,0,47589
47532,0,47589
47533,0,47589
47534,0,47589
47535,0,47589
47536,0,47589
47537,0,47589
47538,0,47589
47539,0,47589
47540,0,47589
47541,0,47589
47542,0,47589
47543,0,47589
47544,0,47589
47545,0,47589
47546,0,47589
47547,0,47589
47548,0,47589
47549,0,47589
47550,0,47589
47551,0,47589
47552,0,47589
47553,0,47589
47554,0,47589
47555,0,47589
47556,0,47589
47557,0,47589
47558,0,47589
47559,0,47589
47560,0,47589
47561,0,47589
47562,0,47589
47563,0,47589
47564,0,47589
47565,0,47589
47566,0,47589
47567,0,47589
47568,0,47589
47569,0,47589
47570,0,47589
47571,0,47589
47572,0,47589
47573,0,47589
47574,0,47589
47575,0,47589
47576,0,47589
47577,0,47589
47578,0,47589
47579,0,47589
47580,0,47589
47581,0,47589
47582,0,47589
47583,0,47589
47584,0,47589
47585,0,47589
47586,0,47589
47587,0,47589
47588,0,47589
47589,0,47589
47590,0,47589
47591,0,47589
47592,0,47589
47593,0,47589
47594,0,47589
47595,0,47589
47596,0,47589
47597,0,47589
47598,0,47589
47599,0,47589
47600,0,47589
47601,0,47589
47602,0,47589
47603,0,47589
47604,0,47589
47605,0,47589
47606,0,47589
47607,0,47589
47608,0,47589
47609,0,47589
47610,0,47589
47611,0,47589
47612,0,47589
47613,0,47589
47614,0,47589
47615,0,47589
47616,0,47589
47617,0,47589
47618,0,47589
47619,0,47589
47620,0,47589
47621,0,47589
47622,0,47589
47623,0,47589
47624,0,47589
47625,0,47589
47626,0,47589
47627,0,47589
47628,0,47589
47629,0,47589
47630,0,47589
47631,0,47589
47632,0,47589
47633,0,47589
47634,0,47589
47635,0,47589
47636,0,47589
47637,0,47589
47638,0,47589
47639,0,47589
47640,0,47589
47641,0,47589
47642,0,47589
47643,0,47589
47644,0,47589
47645,0,47589
47646,0,47589
47647,0,47589
47648,0,47589
47649,0,47589
47650,0,47589
47651,0,47589
47652,0,47589
47653,0,47589
47654,0,47589
47655,0,47589
47656,0,47589
47657,0,47589
47658,0,47589
47659,0,47589
47660,0,47589
47661,0,47589
47662,0,47589
47663,0,47589
47664,0,47589
47665,0,47589
47666,0,47589
47667,0,47589
47668,0,47589
47669,0,47589
47670,0,47589
47671,0,47589
47672,0,47589
47673,0,47589
47674,0,47589
47675,0,47589
47676,0,47589
47677,0,47589
47678,0,47589
47679,0,47589
47680,0,47589
47681,0,47589
47682,0,47589
47683,0,47589
47684,0,47589
47685,0,47589
47686,0,47589
47687,0,47589
47688,0,47589
47689,0,47589
47690,0,47589
47691,0,47589
47692,0,47589
47693,0,47589
47694,0,47589
47695,0,47589
47696,0,47589
47697,0,47589
47698,0,47589
47699,0,47589
47700,0,47589
47701,0,47589
47702,0,47589
47703,0,47589
47704,0,47589
47705,0,47589
47706,0,47589
47707,0,47589
47708,0,47589
47709,0,47589
47710,0,47589
47711,0,47589
47712,0,47589
47713,0,47589
47714,0,47589
47715,0,47589
47716,0,47589
47717,0,47589
47718,0,47589
47719,0,47589
47720,0,47589
47721,0,47589
47722,0,47589
47723,0,47589
47724,0,47589
47725,0,47589
47726,0,47589
47727,0,47589
47728,0,47589
47729,0,47589
47730,0,47589
47731,0,47589
47732,0,47589
47733,0,47589
47734,0,47589
47735,0,47589
47736,0,47589
47737,0,47589
47738,0,47589
47739,0,47589
47740,0,47589
47741,0,47589
47742,0,47589
47743,0,47589
47744,0,47589
47745,0,47589
47746,0,47589
47747,0,47589
47748,0,47589
47749,0,47589
47750,0,47589
47751,0,47589
47752,0,47589
47753,0,47589
47754,0,47589
47755,0,47589
47756,0,47589
47757,0,47589
47758,0,47589
47759,0,47589
47760,0,47589
47761,0,47589
47762,0,47589
47763,0,47589
47764,0,47589
47765,0,47589
47766,0,47589
47767,0,47589
47768,0,47589
47769,0,47589
47770,0,47589
47771,0,47589
47772,0,47589
47773,0,47589
47774,0,47589
47775,0,47589
47776,0,47589
47777,0,47589
47778,0,47589
47779,0,47589
47780,0,47589
47781,0,47589
47782,0,47589
47783,0,47589
47784,0,47589
47785,0,47589
47786,0,47589
47787,0,47589
47788,0,47589
47789,0,47589
47790,0,47589
47791,0,47589
47792,0,47589
