bus,cluster,foreign,medoid_idx
1,227,,
1000,199,,
10001,27,,
10020,285,,
10025,285,,
1003,52,,
1004,199,,
10058,2,,
10064,78,,
10071,63,,
10073,63,,
10086,33,,
10087,33,,
10101,75,,
10103,75,,
10135,217,,
10136,217,,
10169,155,,
1018,114,,
10181,167,,
1019,114,,
10209,110,,
10210,110,,
10212,110,,
10213,110,,
1023,131,,
10236,155,,
1024,131,,
10245,198,,
10246,198,,
10261,118,,
10266,118,,
10272,282,,
10276,97,,
1029,84,,
10294,11,,
1030,84,,
10304,217,,
10305,217,,
10306,217,,
10307,217,,
10310,217,,
10321,191,,
10374,135,,
1038,177,,
10385,63,,
1039,177,,
10392,261,,261
10398,164,,
1040,177,,
1043,177,,
10443,77,,
10467,77,,
10468,77,,
10490,179,,
10493,179,,
10495,179,,
105,24,,
10500,179,,
10504,11,,11
10520,282,,
10522,282,,
10555,62,,
10557,62,,
10559,62,,
10566,225,,
106,24,,
10648,282,,
10660,78,,
10720,285,,
10721,285,,
10727,33,,
10736,274,,
1074,177,,
10743,136,,
10746,136,,
10748,77,,
1079,177,,
10854,131,,
10855,131,,
10866,268,,
1088,177,,
10892,198,,
109,24,,
10941,136,,
10951,78,,
10955,78,,
10986,165,,
10993,30,,
10998,114,,
11000,56,,
11008,24,,
11014,32,,
11015,32,,
11017,32,,32
11022,248,,
11023,190,,
11028,190,,
1103,177,,
11031,248,,
11043,247,,
11047,247,,
11048,247,,
11066,177,,
11067,84,,
11073,177,,177
11077,136,,
11078,136,,
1108,177,,
11085,27,,
11087,35,,
11094,210,,
11100,150,,
11117,78,,
11124,228,,
11131,173,,
11139,173,,
11157,161,,
11161,161,,
11163,161,,
11169,161,,
11174,78,,
11175,256,,
11177,78,,
11181,78,,
11182,256,,
11183,256,,
11199,217,,
112,227,,
11200,217,,
1121,24,,
11222,113,,
11232,227,,
11238,78,,
11239,78,,
1124,24,,
11244,42,,
11246,42,,
11247,42,,
1125,2,,
11253,42,,
11276,173,,
11287,42,,
11290,19,,19
113,104,,
11318,276,,
11319,276,,
11320,276,,
11337,19,,
11355,126,,
11420,248,,
11421,248,,
11433,27,,
11437,1,,
11454,195,,
11473,27,,
11474,27,,
11476,27,,
11478,27,,
11495,68,,
11503,39,,
11509,39,,
11510,39,,
11513,42,,
11516,42,,
11517,42,,
11522,146,,
11523,146,,146
11528,146,,
11545,127,,
11546,11,,
11547,30,,
11549,11,,
11571,56,,
11581,42,,
11582,12,,
11603,126,,
11604,126,,
11606,126,,
11620,136,,
11621,136,,
11637,42,,
11638,42,,
11639,42,,
