bus_id,cluster,medoid_idx
47369,1,47616
47372,1,47616
47373,1,47616
47374,1,47616
47375,1,47616
47376,1,47616
47377,1,47616
47378,1,47616
47379,1,47616
47380,1,47616
47381,1,47616
47382,1,47616
47383,1,47616
47384,1,47616
47385,1,47616
47386,1,47616
47387,1,47616
47388,1,47616
47389,1,47616
47390,1,47616
47391,1,47616
47392,1,47616
47393,1,47616
47394,1,47616
47395,1,47616
47396,1,47616
47397,1,47616
47398,1,47616
47399,1,47616
47400,1,47616
47401,1,47616
47402,1,47616
47403,1,47616
47404,1,47616
47405,1,47616
47406,1,47616
47407,1,47616
47408,1,47616
47409,1,47616
47410,1,47616
47411,1,47616
47412,1,47616
47413,1,47616
47414,3,47574
47415,3,47574
47416,3,47574
47417,1,47616
47418,3,47574
47419,3,47574
47420,3,47574
47421,3,47574
47422,3,47574
47423,3,47574
47424,1,47616
47425,1,47616
47426,1,47616
47427,1,47616
47428,0,47781
47429,0,47781
47430,0,47781
47431,0,47781
47432,0,47781
47433,0,47781
47434,0,47781
47435,0,47781
47436,0,47781
47437,0,47781
47438,0,47781
47439,0,47781
47440,0,47781
47441,0,47781
47442,0,47781
47443,0,47781
47444,0,47781
47445,0,47781
47446,0,47781
47447,0,47781
47448,0,47781
47449,0,47781
47450,0,47781
47451,0,47781
47452,0,47781
47453,2,47758
47454,3,47574
47455,2,47758
47456,2,47758
47457,2,47758
47458,2,47758
47459,2,47758
47460,2,47758
47461,2,47758
47462,2,47758
47463,2,47758
47464,2,47758
47465,2,47758
47466,2,47758
47467,2,47758
47468,2,47758
47469,2,47758
47470,0,47781
47471,0,47781
47472,0,47781
47473,3,47574
47474,3,47574
47475,3,47574
47476,3,47574
47477,3,47574
47478,0,47781
47479,0,47781
47480,0,47781
47481,0,47781
47482,3,47574
47483,3,47574
47484,3,47574
47485,1,47616
47486,1,47616
47487,1,47616
47488,1,47616
47489,0,47781
47490,0,47781
47491,0,47781
47492,0,47781
47493,0,47781
47494,0,47781
47495,0,47781
47496,0,47781
47497,0,47781
47498,0,47781
47499,0,47781
47500,0,47781
47501,0,47781
47502,0,47781
47503,0,47781
47504,0,47781
47505,1,47616
47506,1,47616
47507,1,47616
47508,1,47616
47509,1,47616
47510,1,47616
47511,1,47616
47512,0,47781
47513,0,47781
47514,0,47781
47515,0,47781
47516,0,47781
47517,0,47781
47518,0,47781
47519,0,47781
47520,0,47781
47521,0,47781
47522,0,47781
47523,0,47781
47524,0,47781
47525,0,47781
47526,0,47781
47527,3,47574
47528,3,47574
47529,3,47574
47530,3,47574
47531,2,47758
47532,3,47574
47533,3,47574
47534,3,47574
47535,3,47574
47536,3,47574
47537,3,47574
47538,3,47574
47543,3,47574
47544,3,47574
47545,3,47574
47546,3,47574
47547,3,47574
47552,3,47574
47553,3,47574
47554,3,47574
47555,3,47574
47556,3,47574
47557,3,47574
47558,3,47574
47559,2,47758
47560,3,47574
47561,3,47574
47562,3,47574
47563,3,47574
47564,1,47616
47565,1,47616
47566,1,47616
47567,3,47574
47568,3,47574
47569,3,47574
47570,3,47574
47571,3,47574
47572,3,47574
47573,3,47574
47574,3,47574
47575,3,47574
47576,3,47574
47577,3,47574
47578,3,47574
47579,3,47574
47580,3,47574
47581,3,47574
47582,1,47616
47583,3,47574
47584,3,47574
47585,3,47574
47586,3,47574
47587,0,47781
47588,0,47781
47589,0,47781
47590,0,47781
47591,1,47616
47592,1,47616
47593,0,47781
47594,1,47616
47595,1,47616
47596,1,47616
47597,1,47616
47598,1,47616
47599,1,47616
47600,1,47616
47601,1,47616
47602,1,47616
47603,1,47616
47604,1,47616
47605,1,47616
47606,1,47616
47607,1,47616
47608,1,47616
47609,1,47616
47610,1,47616
47611,1,47616
47612,1,47616
47613,1,47616
47614,1,47616
47615,1,47616
47616,1,47616
47617,1,47616
47618,1,47616
47619,1,47616
47620,1,47616
47621,1,47616
47622,1,47616
47623,1,47616
47624,1,47616
47625,1,47616
47626,1,47616
47627,1,47616
47628,1,47616
47629,1,47616
47630,1,47616
47631,1,47616
47632,1,47616
47633,0,47781
47634,1,47616
47635,1,47616
47636,1,47616
47637,1,47616
47638,3,47574
47639,3,47574
47640,3,47574
47641,1,47616
47642,3,47574
47643,3,47574
47644,0,47781
47645,1,47616
47646,2,47758
47647,2,47758
47648,2,47758
47649,2,47758
47650,2,47758
47651,2,47758
47652,2,47758
47653,2,47758
47654,2,47758
47655,2,47758
47656,2,47758
47657,2,47758
47658,2,47758
47659,2,47758
47660,2,47758
47661,2,47758
47662,2,47758
47663,2,47758
47664,2,47758
47665,2,47758
47666,2,47758
47667,2,47758
47668,2,47758
47669,2,47758
47670,2,47758
47671,2,47758
47672,2,47758
47673,2,47758
47674,2,47758
47675,2,47758
47676,2,47758
47677,2,47758
47678,2,47758
47679,2,47758
47680,2,47758
47681,2,47758
47682,2,47758
47683,2,47758
47684,2,47758
47685,2,47758
47686,2,47758
47687,2,47758
47688,2,47758
47689,2,47758
47690,2,47758
47691,2,47758
47692,2,47758
47693,2,47758
47694,2,47758
47695,2,47758
47696,2,47758
47697,2,47758
47698,2,47758
47699,2,47758
47700,2,47758
47701,2,47758
47702,2,47758
47703,2,47758
47704,2,47758
47705,2,47758
47706,2,47758
47707,2,47758
47708,2,47758
47709,2,47758
47710,2,47758
47711,2,47758
47712,2,47758
47713,2,47758
47714,2,47758
47715,2,47758
47716,2,47758
47717,2,47758
47718,2,47758
47719,2,47758
47720,2,47758
47721,2,47758
47722,2,47758
47723,2,47758
47724,2,47758
47725,2,47758
47726,2,47758
47727,2,47758
47728,2,47758
47729,2,47758
47730,2,47758
47731,2,47758
47732,2,47758
47733,2,47758
47734,2,47758
47735,2,47758
47736,2,47758
47737,2,47758
47738,2,47758
47739,2,47758
47740,2,47758
47741,2,47758
47742,2,47758
47743,2,47758
47744,2,47758
47745,2,47758
47746,2,47758
47747,2,47758
47748,2,47758
47749,2,47758
47750,2,47758
47751,2,47758
47752,2,47758
47753,2,47758
47754,2,47758
47755,2,47758
47756,2,47758
47757,2,47758
47758,2,47758
47759,2,47758
47760,2,47758
47761,2,47758
47762,2,47758
47763,2,47758
47764,0,47781
47765,0,47781
47766,0,47781
47767,0,47781
47768,0,47781
47769,0,47781
47770,0,47781
47771,0,47781
47772,0,47781
47773,0,47781
47774,0,47781
47775,0,47781
47776,0,47781
47777,0,47781
47778,0,47781
47779,0,47781
47780,0,47781
47781,0,47781
47782,0,47781
47783,0,47781
47784,0,47781
47785,0,47781
47786,0,47781
47787,0,47781
47788,0,47781
47789,0,47781
47790,0,47781
47791,0,47781
47792,0,47781
47793,0,47781
47794,0,47781
47795,0,47781
47796,0,47781
47797,0,47781
47798,0,47781
47799,0,47781
47800,0,47781
47801,0,47781
47802,0,47781
47804,1,47616
47805,1,47616
47806,1,47616
47807,1,47616
47808,3,47574
47809,3,47574
47810,3,47574
47811,3,47574
