,0 solar,0 solar_rooftop,0 wind_offshore,0 wind_onshore,1 solar,1 solar_rooftop,1 wind_onshore,10 solar,10 solar_rooftop,10 wind_onshore,11 solar,11 solar_rooftop,11 wind_onshore,12 solar,12 solar_rooftop,12 wind_offshore,12 wind_onshore,13 solar,13 solar_rooftop,13 wind_onshore,14 solar,14 solar_rooftop,14 wind_offshore,14 wind_onshore,15 solar,15 solar_rooftop,15 wind_onshore,2 solar,2 solar_rooftop,2 wind_onshore,3 solar,3 solar_rooftop,3 wind_onshore,4 solar,4 solar_rooftop,4 wind_onshore,43775 solar,43775 wind_onshore,43776 solar,43776 wind_offshore,43776 wind_onshore,43777 solar,43777 wind_onshore,43778 solar,43778 wind_onshore,43779 solar,43779 wind_offshore,43779 wind_onshore,43780 solar,43780 wind_onshore,43781 solar,43781 wind_offshore,43781 wind_onshore,43782 solar,43782 wind_onshore,43783 solar,43783 wind_offshore,43783 wind_onshore,43785 solar,43785 wind_offshore,43785 wind_onshore,43786 solar,43786 wind_onshore,43787 solar,43787 wind_onshore,43788 solar,43788 wind_offshore,43788 wind_onshore,5 solar,5 solar_rooftop,5 wind_onshore,6 solar,6 solar_rooftop,6 wind_offshore,6 wind_onshore,7 solar,7 solar_rooftop,7 wind_onshore,70813 solar_thermal_collector,70814 solar_thermal_collector,70815 solar_thermal_collector,70816 solar_thermal_collector,70817 solar_thermal_collector,70818 solar_thermal_collector,70819 solar_thermal_collector,70820 solar_thermal_collector,70821 solar_thermal_collector,70822 solar_thermal_collector,70824 solar_thermal_collector,70826 solar_thermal_collector,70828 solar_thermal_collector,70829 solar_thermal_collector,70830 solar_thermal_collector,70831 solar_thermal_collector,70832 solar_thermal_collector,8 solar,8 solar_rooftop,8 wind_offshore,8 wind_onshore,9 solar,9 solar_rooftop,9 wind_onshore
0,0.0,0.0,1.0,0.48637285168546235,0.0,0.0,0.4680015828981994,0.0,0.0,0.9009266441485934,0.0,0.0,0.033894277318023296,0.0,0.0,1.0,0.25366246860439534,0.0,0.0,0.018643864235963748,0.0,0.0,0.9999999999999494,0.7165387509430816,0.0,0.0,0.5665240835565837,0.0,0.0,0.005638972772890707,0.0,0.0,0.8190992224835499,0.0,0.0,0.9993535239261272,0.0,0.06328523216430669,0.0,0.14389639746832933,0.02765406283394632,0.0,0.0,0.0,0.19710966208762665,0.0,1.0,0.9999999999999999,0.0,0.9999999999999997,0.0,0.08528633323599079,0.03786492533629155,0.0,0.20734492841322755,0.0,0.34503677708228064,0.2553606168862889,0.0,0.6326727795952669,0.5205892822761927,0.0,0.5558633554251331,0.0,0.6663656725976709,0.0,0.7504405988479582,0.4736278064088194,0.0,0.0,0.017008497047954218,0.0,0.0,0.9999999999999998,0.8673490760123717,0.0,0.0,0.05153889706414854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999928186,0.8551250155547595,0.0,0.0,0.9968037566616761
1,0.0,0.0,1.0,0.5586507451567964,0.0,0.0,0.5330449744843526,0.0,0.0,0.9328859348795662,0.0,0.0,0.039771686108410094,0.0,0.0,1.0,0.3188223797988223,0.0,0.0,0.020279977849412757,0.0,0.0,0.9999999999999034,0.7729671694615535,0.0,0.0,0.6169566664141998,0.0,0.0,0.006036796550279227,0.0,0.0,0.8706398455548652,0.0,0.0,0.9997196248055646,0.0,0.06440416211814774,0.0,0.19113905810424967,0.03739248461157575,0.0,0.0,0.0,0.2165469873290312,0.0,1.0,0.9999999999999999,0.0,0.9999999999999997,0.0,0.0794137202979216,0.03349067254181468,0.0,0.21729387699973363,0.0,0.3338553079706468,0.25000522244141815,0.0,0.6969247239430691,0.5741872097520999,0.0,0.5503740646898987,0.0,0.7591297242358597,0.0,0.735333574139009,0.5114978763833788,0.0,0.0,0.019749681905729653,0.0,0.0,0.9999999999999998,0.9032902787384423,0.0,0.0,0.05271738312707395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999955975,0.8896333054122116,0.0,0.0,0.999099027791328
2,0.0,0.0,1.0,0.6190752523668036,0.0,0.0,0.5843288261073004,0.0,0.0,0.9523417915514018,0.0,0.0,0.047673827012450834,0.0,0.0,1.0,0.37033501005366914,0.0,0.0,0.020433155959176424,0.0,0.0,0.9999999999997389,0.7871438494220632,0.0,0.0,0.6742184658812734,0.0,0.0,0.004997737494563377,0.0,0.0,0.9107062920019748,0.0,0.0,0.999761751982733,0.0,0.0722486346113671,0.0,0.23855277579943507,0.050017010970760195,0.0,0.0,0.0,0.24392200258588792,0.0,1.0,0.9999999999999999,0.0,0.9999999999999997,0.0,0.07563998264460658,0.029160011280540493,0.0,0.24411802553449924,0.0,0.330852746742532,0.2493171762909212,0.0,0.7427284997168254,0.5983215538879862,0.0,0.536354224162316,0.0,0.8289809606029411,0.0,0.7292314275865418,0.5549980004111604,0.0,0.0,0.02222278291398376,0.0,0.0,0.9999999999999998,0.9335278990001014,0.0,0.0,0.0592465828880837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999952216,0.9004607792832601,0.0,0.0,0.9996297714220408
3,0.0,0.0,1.0,0.6543603264174338,0.0,0.0,0.6517369287853123,0.0,0.0,0.9643576795059505,0.0,0.0,0.054733340844087076,0.0,0.0,1.0,0.4130074681919044,0.0,0.0,0.017952324628732405,0.0,0.0,0.9999999999995999,0.7752834594436275,0.0,0.0,0.7602452839990265,0.0,0.0,0.0030048132058831892,0.0,0.0,0.9492305991854079,0.0,0.0,0.9999345111358436,0.0,0.0772989345732826,0.0,0.2929866887432759,0.06479725711239231,0.0,0.0,0.0,0.27139626330534433,0.0,1.0,0.9999999999999999,0.0,0.9999999999999997,0.0,0.07636354442835791,0.027771432377665224,0.0,0.2545112565823444,0.0,0.33473781944364506,0.24402112533860756,0.0,0.7717644883294306,0.6045507919465388,0.0,0.5151596062458303,0.0,0.8931864013127128,0.0,0.791903629854156,0.58504125018252,0.0,0.0,0.030466956041827593,0.0,0.0,0.9999999999999998,0.9613523507751425,0.0,0.0,0.06224331988342373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999962672,0.8992936528373897,0.0,0.0,0.9999648279829635
4,0.0,0.0,1.0,0.6579527669934621,0.0,0.0,0.7016873283260219,0.0,0.0,0.9710914539613578,0.0,0.0,0.06583141158770418,0.0,0.0,1.0,0.4432625530808815,0.0,0.0,0.025989434300158095,0.0,0.0,0.9999999999996556,0.7642539298326813,0.0,0.0,0.8119431194143047,0.0,0.0,0.0028801242616857702,0.0,0.0,0.9700362767892763,0.0,0.0,0.9999625650262108,0.0,0.09485383231465419,0.0,0.33310953082416356,0.07992801203965269,0.0,0.0,0.0,0.30307407361651123,0.0,1.0,0.9999999999999999,0.0,0.9999999999999997,0.0,0.07386193259980404,0.026312587535607734,0.0,0.2692516288886528,0.0,0.3520831607105254,0.24680247537612343,0.0,0.7728217473626565,0.5846394684675428,0.0,0.48952819890139865,0.0,0.9335827737532204,0.0,0.8233845082531733,0.6033456347911265,0.0,0.0,0.04189265580713797,0.0,0.0,0.9999999999999998,0.9774368878015077,0.0,0.0,0.07980253163934392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999970108,0.9022073679692251,0.0,0.0,0.9999880293958333
5,0.0,0.0,0.9999999999990661,0.7034179290887334,0.0,0.0,0.749230361451112,0.0,0.0,0.9733082678420852,0.0,0.0,0.07783471607795724,0.0,0.0,1.0,0.46624262882793727,0.0,0.0,0.0350707232049439,0.0,0.0,0.999999999999547,0.8031151861208056,0.0,0.0,0.8503184619042623,0.0,0.0,0.003188351630884993,0.0,0.0,0.9795019239319731,0.0,0.0,0.9983494818289944,0.0,0.10577984055883148,0.0,0.34920982784349053,0.0847932791051686,0.0,0.0,0.0,0.354157592377809,0.0,1.0,0.9999866016096878,0.0,0.9999999999999997,0.0,0.07586629267501785,0.028127907185952355,0.0,0.27560493972099825,0.0,0.3674252854449783,0.24882730178965998,0.0,0.7432286920980984,0.5786818801254113,0.0,0.4704314699174932,0.0,0.9607397848638156,0.0,0.8392280793955137,0.617014523048195,0.0,0.0,0.047578297203189346,0.0,0.0,0.9999999999999998,0.9844195919657229,0.0,0.0,0.09379295570355932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999967626,0.9196099154166191,0.0,0.0,0.9999995243731654
6,0.0,0.0,0.9999999999918423,0.7434902864658973,0.0,0.0,0.783567644059565,0.0,0.0,0.9662977999139666,0.0,0.0,0.10804526725414146,0.0,0.0,0.9999999999934539,0.5021714496241877,0.0,0.0,0.05141316151404038,0.0,0.0,0.9999636363964559,0.8335166806569619,0.0,0.0,0.8743219804208268,0.0,0.0,0.0041268174200704355,0.0,0.0,0.9864623648248332,0.0,0.0,0.9968839861709664,0.0,0.10920986663287865,0.0,0.35961990382785036,0.09018142964373682,0.0,0.0,0.0,0.4200589847876667,0.0,1.0,0.9998815918343463,0.0,0.9999999999999997,0.0,0.08396949594930266,0.029874551341271236,0.0,0.27377618736388937,0.0,0.3756956218795002,0.24541045468605655,0.0,0.7280560344836648,0.5940076359282092,0.0,0.4549505469380295,0.0,0.9699869513245992,0.0,0.8463683086844169,0.6218385502476016,0.0,0.0,0.056281478042525944,0.0,0.0,0.9999999999999998,0.9887738362249726,0.0,0.0,0.11236337931865018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999874264,0.9132354778458769,0.0,0.0,0.9999999999999999
7,0.0,0.0,0.9998446151062124,0.7427040896402793,0.0,0.0,0.7973284337226446,0.0,0.0,0.9542937131821991,0.0,0.0,0.15157159662659225,0.0,0.0,0.9996892302248473,0.5336638770335753,0.0,0.0,0.0794755576031619,0.0,0.0,0.9995075172619766,0.8024464190474462,0.0,0.0,0.8943064817134578,0.0,0.0,0.005706485483697197,0.0,0.0,0.9919264827191411,0.0,0.0,0.9971896725567461,0.0,0.12994707618285967,0.0,0.37033193610164067,0.10797879667356902,0.0,0.0,0.0,0.47589790576750907,0.0,0.9999901180910873,0.999315577028605,0.0,0.9999999999999997,0.0,0.0982699602445951,0.03120396552947174,0.0,0.2513917955287989,0.0,0.36642288217288177,0.23435364406592618,0.0,0.7162537163508974,0.5922625717982397,0.0,0.4442336423561903,0.0,0.9750020917454545,0.0,0.8526787508253724,0.6230712030821066,0.0,0.0,0.08166212432152906,0.0,0.0,0.9999999999999998,0.9890287209818686,0.0,0.0,0.15101224542217792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998617044735598,0.8679140186634117,0.0,0.0,0.9999990284242276
8,0.0,0.0,0.9997181469881755,0.7178385846700198,0.0010369383253672879,0.0011738542974621847,0.7991888968754225,1.4891916247948453e-06,5.778806672624008e-06,0.9464496433626819,0.0017427432916869209,0.0012470523234923499,0.19157697847509977,0.0,0.0,0.9994362939904562,0.5475781387317268,0.020864055904662084,0.019355716375216128,0.10579331163040175,0.0,0.0,0.9988393119025137,0.7148977962151881,0.0022211830370306896,0.002721278095928332,0.9023311460522037,0.010809722689479922,0.005896703730889379,0.008954329210060508,0.0009869371684649117,0.000859926230085882,0.9926682859509257,1.8377881979865425e-06,2.283422320311927e-06,0.9978944062565175,0.06152118474578927,0.14450064612625568,0.0,0.34701821893159057,0.1349710315763404,0.03354678911986954,0.0,0.02525624561534172,0.4890318237996949,0.0,0.9999579807093346,0.9973358359221617,0.0,0.9999999999999997,0.0,0.10678917404196361,0.03049740136992049,0.0,0.2444909135971832,0.0,0.3484174484695514,0.22133349756980394,0.0,0.6950871005488272,0.5471310196904349,0.0,0.4275128528227987,0.015742905048566305,0.9805070651650416,0.0,0.8561245676156237,0.6094441257529863,0.0002923972981558159,0.0003945136707167013,0.13132886944752425,7.652921281351628e-05,0.00027656446900393197,0.9999999999999998,0.983371769453153,0.009661713513137044,0.014407362371619997,0.1888355195566185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999749145438227,0.8121788606628213,0.0007850231861663502,0.0012567746862198784,0.9999686383024544
9,0.0060053253325151575,0.004694570041228418,0.9995560441545028,0.6914853151674304,0.01691012139051562,0.020195817897096895,0.8099936987975903,0.04832233371842455,0.02791016756240989,0.9399984650623741,0.038211802693413385,0.047660179533709504,0.2332682470359367,0.008072647985165615,0.006132075357933779,0.9994447626230125,0.5485163793697637,0.11522440882731592,0.10338476280880662,0.11945703250402122,0.008580284522195114,0.006178563547140207,0.9988995274104605,0.6155282194494774,0.02083757965708747,0.02444263312408462,0.9046837499230412,0.10519307623865123,0.0719910274229308,0.01259408006015723,0.01628021586748452,0.016204314591145567,0.9913710413482645,0.09036883309449113,0.09212567944156315,0.9978959280150465,0.20514084277438613,0.156446689461228,0.0,0.2955650369882725,0.1462025809948842,0.19815395037766032,0.0,0.09843916569271143,0.5286289434520786,0.05509687723943958,0.9997582928525877,0.9896643321505718,0.08993489423274942,0.9999999999999997,0.04650910384069622,0.10945621295746127,0.02863642377743015,0.0,0.23949556160881239,0.0,0.326047309210086,0.2047092899856466,0.0,0.6580700743370377,0.4777353816792416,0.0,0.4113815617977926,0.06850226531310394,0.9838106884975354,0.029257518154985066,0.8521240560523073,0.5827751616165732,0.0638634578978289,0.06344183082658932,0.1652224066497997,0.028851340087850133,0.04015564211327873,0.9999999999999998,0.9747725589125569,0.04415065462608453,0.06198932635751605,0.20263007769250438,0.0,1.8472237437034806e-12,2.710785635154391e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02499376099002124,0.017576130171874274,0.9997529140619488,0.7748936422002712,0.05962734025166072,0.07313531704248032,0.9997512241692738
