,4 AC,43775 AC,43775 H2_for_industry,43776 AC,43776 H2_for_industry,43777 AC,43778 AC,43778 H2_for_industry,43779 AC,43779 H2_for_industry,43780 AC,43780 H2_for_industry,43781 AC,43781 H2_for_industry,43782 AC,43782 H2_for_industry,43783 AC,43783 H2_for_industry,43784 AC,43785 AC,43785 H2_for_industry,43786 AC,43787 AC,43787 H2_for_industry,43788 AC,43788 H2_for_industry,48639 CH4,48640 CH4,48641 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48646 CH4,48647 CH4,48648 CH4,48649 CH4,48650 CH4,50808 central_heat,50920 central_heat,51841 central_heat,52040 rural_heat,69914 land_transport_EV,70798 CH4_for_industry,70798 rural_gas_boiler,70812 H2_for_industry,70812 H2_hgv_load,70813 central_heat,70814 central_heat,70815 central_heat,70816 central_heat,70817 central_heat,70818 central_heat,70819 central_heat,70820 central_heat,70821 central_heat,70822 central_heat,70824 central_heat,70826 central_heat,70827 central_heat,70828 central_heat,70829 central_heat,70830 central_heat,70831 central_heat,70832 central_heat
0,33344.022375264176,11764.125029266226,415.02148427083335,11888.885503890073,1598.13083625,7289.034139215115,9465.530267418686,517.5741359166666,4168.553857473203,764.9263341666666,2702.2380368897866,764.9263341666666,69896.0,1651.7463891666666,1728.6211226993307,863.4360502083332,47843.55607971482,863.4360502083332,1081.8212594447177,14346.55170165217,1694.1099472916665,18771.669322396054,13509.760103310902,609.9109516041666,18023.411212603933,1201.6882454166666,8503.305628890123,18269.741009396,2572.438941289337,12654.469027225568,3539.139888041372,56055.715195693716,41723.69298523488,1035.281623128097,30425.419133406867,2665.7073055136084,28282.58509254435,2095.847434981333,19.57790738050641,157.4441601506731,366.95285712612,3636.640244742177,118.73115446203155,18066.1701112333,52572.25280825037,1716.3558564339999,3019.572749592712,224.63846869089534,581.9360032956673,465.6917469955293,517.8784419674668,995.5998911639526,290.4609324290149,226.06604850873597,516.5885941499548,1488.7764118200173,337.48377702532,1445.4940488400255,468.03767436678237,141.1955228609201,143.91750659440768,228.9375877909351,17.808869092064715,99.05166469863784,286.5745415209166
1,33260.39129781201,11472.04399739999,415.02148427083335,11438.987951047122,1598.13083625,7198.304188973033,9523.086327608846,517.5741359166666,4105.526895973651,764.9263341666666,2631.5919098120125,764.9263341666666,68086.0,1651.7463891666666,1692.7211418438933,863.4360502083332,45715.93712312668,863.4360502083332,1065.6648338635607,13913.967998036242,1694.1099472916665,18596.051319425438,13128.217606763666,609.9109516041666,17794.71165918023,1201.6882454166666,8428.99449717326,18090.199371035887,2550.621943301794,12529.215055913113,3505.316791950488,55448.81985813825,42804.31180803855,1024.963731721691,30119.92756611202,2641.0798488813803,27986.41222293006,2075.842426469843,19.348223761378932,155.39634929037447,355.8469445997043,3582.002798365087,205.66061207579332,17579.3154023049,51735.839163146025,1681.0044965606,3019.572749592712,223.01090520274553,576.2531286190446,462.60398037472055,506.0796334988444,980.3490078369297,289.71769131840176,225.29549588052134,510.5889669046981,1461.0090489498841,336.29733756549797,1409.8708054095193,460.2935835497582,138.77540536529597,140.45284884070833,225.46319937638555,17.63772380502745,96.95302605117352,280.03056720192905
2,32638.024252698782,10784.204059447296,415.02148427083335,10560.369448277532,1598.13083625,7131.261763056052,9262.717923744869,517.5741359166666,3902.2927625741468,764.9263341666666,2419.3339685172155,764.9263341666666,65191.0,1651.7463891666666,1656.3407325248659,863.4360502083332,44602.4153287801,863.4360502083332,1022.2194481003207,12797.082449073056,1694.1099472916665,18212.942766658707,12793.714489434116,609.9109516041666,17157.742083040794,1201.6882454166666,8990.595963673353,19447.07343648615,2715.502463640488,13475.81366568872,3760.932605185411,60035.391260143675,42518.49770392372,1102.9405140845868,32428.65989507027,2827.200224675474,30224.71911006876,2227.0289561032005,19.241875306023786,155.06694597161115,346.4540591085073,3536.083640464495,195.93527984523098,17982.697962699,51091.94015142457,1729.0511307338,3019.572749592712,220.2956199528812,568.7900905053659,456.1306093982415,499.97737386432607,967.7055837688742,285.81403097234966,221.76388049605828,504.35654429894356,1440.5001701891697,331.57417536038975,1384.9447802273928,454.24103430694794,137.189620827638,137.57190188175258,220.85210710648354,17.15398652537302,95.76072408339421,273.6181541148706
3,32131.118660121803,10217.734791618182,415.02148427083335,9820.43870925765,1598.13083625,6811.331782745379,8857.229621744078,517.5741359166666,3753.6242291174453,764.9263341666666,2260.652646220082,764.9263341666666,62676.0,1651.7463891666666,1472.1967029940533,863.4360502083332,39584.70124967143,863.4360502083332,992.615761711625,11755.642086979598,1694.1099472916665,17948.51758956244,12746.58346733665,609.9109516041666,16472.087239555476,1201.6882454166666,11369.198934696533,25193.96847844159,3413.8362802979996,17485.030877336267,4843.56605447145,79461.32408686694,44678.51890544275,1433.2028393507549,42207.04884975159,3615.493178379345,39704.82863504781,2867.3633391412286,21.742879138033306,175.83572809406925,418.77832323430545,4171.107917465451,191.47979008909897,18339.6704060267,60437.097833354266,1758.9244775852999,3019.572749592712,251.9847013304404,652.5651925742629,520.9372984424153,587.7953470404085,1134.6827434070287,324.0825409286194,252.88480696416588,585.2104969688601,1704.3511181393508,379.01170964208825,1659.2680898735518,532.9930407144188,162.35842883067704,162.90352940592223,259.90721933939295,19.559946066752588,113.03858892815316,323.8082139840456
4,31877.661209260456,9120.675695477148,415.02148427083335,9361.735519602906,1598.13083625,6643.272573849215,8187.5122119839725,517.5741359166666,3534.586828220291,764.9263341666666,2024.4477304536713,764.9263341666666,61363.0,1651.7463891666666,1305.0567130646382,863.4360502083332,35332.09018272803,863.4360502083332,964.8195507564124,10649.661373420333,1694.1099472916665,17650.62288415325,12865.040710784022,609.9109516041666,15426.010306275068,1201.6882454166666,16013.318544063206,36414.53293684582,4777.302908117754,25312.854392924277,6957.361123609357,117389.61925418433,53827.0577784362,2078.025770999528,61298.93112084607,5154.6011374713735,58214.333197282715,4117.5885768316575,22.766908729209405,184.20545235548187,472.3302180849224,4461.11425896585,126.67789281842124,18327.1342079379,64482.19405703346,1723.0030127997,3019.572749592712,269.48824767230656,703.7803580228493,559.3656162784113,624.465040437228,1208.9540306914078,343.8312100218547,277.11013091717166,621.889441441088,1821.975650995381,411.26417848141665,1831.4182945136242,573.6270494227385,172.00266225099926,181.61871668611923,287.3971450242623,23.301945982428688,119.84132839714148,361.45890031211155
5,32206.391048552836,8517.452177455794,415.02148427083335,9281.505256307235,1598.13083625,6411.682080645678,7759.391509854944,517.5741359166666,3371.440219205273,764.9263341666666,1817.17295979119,764.9263341666666,61633.0,1651.7463891666666,1170.3126083950724,863.4360502083332,32268.43579117779,863.4360502083332,928.8102654116258,9599.738523870354,1694.1099472916665,17666.202511671414,13881.908613848054,609.9109516041666,15374.876831303036,1201.6882454166666,17177.037732127203,39226.171580867434,5118.959112208316,27274.34315550819,7487.033933204865,126893.65630950501,71689.1849575871,2239.6049036622385,66082.95728811382,5540.269383587382,62852.427697947016,4430.868858323079,25.136713779583527,200.73231655707514,507.66927449610625,4974.6498154499,544.9782358118828,19578.7144391753,71917.15716642457,1774.7633921966,3019.572749592712,304.26402223784066,796.2247716219804,635.4239536012957,707.0015191069025,1371.2050816287447,382.5013162532101,313.18371910261055,695.3899570193306,2055.177142597525,467.4975703473499,2011.1201806617296,647.5776345486828,194.72161018022965,198.69313014074996,322.74942042180567,24.991116878940296,138.44717212876174,396.8311677433814
6,33383.94956740373,8825.680235721069,415.02148427083335,9780.932114177242,1598.13083625,6533.5743536871305,7706.264595622143,517.5741359166666,3501.362908279035,764.9263341666666,1809.8627375853207,764.9263341666666,61900.0,1651.7463891666666,1030.6748764065546,863.4360502083332,28188.139020831946,863.4360502083332,902.9749793773747,10500.573245272331,1694.1099472916665,18250.686459399672,16906.98888618415,609.9109516041666,16722.082494901777,1201.6882454166666,16315.353316306559,37144.273106285196,4865.977267745436,25821.944401700806,7094.833812940727,119856.32230148192,76165.06023351522,2119.9624487080473,62540.58999238257,5254.698499508456,59418.11657605626,4198.898174060187,39.02866344472199,316.0959809278929,856.8969262143148,8000.184171462361,1171.8296551531967,19943.015951636,117779.33589156346,1784.23687841,3019.572749592712,433.96176367996844,1141.125215955344,876.4873141946447,1197.4346076561023,2220.316759018989,546.2755868117977,408.05784128376916,1115.649124740547,3417.9715294222456,638.529480328097,3431.213122671028,1035.8329437773461,333.7984673611479,303.9760139422863,509.78600460985984,25.74124318014046,233.60575561292063,607.8790524359994
7,35705.73106996876,9487.158849643729,415.02148427083335,10138.303769238006,1598.13083625,6797.306711592553,7669.370520046088,517.5741359166666,3687.1254212094773,764.9263341666666,1862.4994815096043,764.9263341666666,63511.0,1651.7463891666666,1060.0854215559696,863.4360502083332,28276.7085901565,863.4360502083332,912.5235165836159,11676.766147107424,1694.1099472916665,18790.062909084365,18607.46679032298,609.9109516041666,17591.640762739815,1201.6882454166666,15731.944905795026,35734.71171977031,4694.694448819434,24838.589436901188,6829.29245630865,115091.65466623244,72850.86552745345,2038.957833569399,60142.20975536464,5061.351083087805,57092.896395630705,4041.841082500514,37.04944290043304,299.27082841779895,796.9023396778587,7494.32084972029,2182.14095973043,19789.8765819547,110117.92531571827,1779.2868799792,3019.572749592712,413.2809827770103,1088.9897917767553,841.8961092358878,1123.4273573151809,2093.758955398032,523.7133747906722,392.840641079304,1057.4006437259623,3201.806352978347,614.1198330959576,3193.0389510753694,974.0796406030073,313.00730760816145,286.67773449261585,483.85682616611837,25.144789484771515,217.10137586009026,571.7864971101228
8,46922.44573012696,10359.649589916637,415.02148427083335,10929.739923052437,1598.13083625,6841.499844556762,7978.223672270271,517.5741359166666,3905.0612590869623,764.9263341666666,2115.5494105879725,764.9263341666666,65877.0,1651.7463891666666,1139.6095367980085,863.4360502083332,29412.209892512255,863.4360502083332,953.6389784527313,13308.49757765923,1694.1099472916665,19460.51756764615,19617.343002433285,609.9109516041666,18564.45111315961,1201.6882454166666,15128.468861404008,34276.665324596695,4517.519975199874,23821.409784195766,6554.617212285264,110163.0956575662,70606.97086011425,1955.1668839695703,57661.33187924331,4861.353050916052,54687.695079470344,3879.3816618780274,34.798407059509145,283.98813017824654,747.8604782644398,7039.9886207205,4857.4381606248935,19792.6700674908,103193.98535395719,1785.1696198595,3019.572749592712,391.0154959992881,1026.7098959497512,796.4105588432802,1049.3924262854214,1954.77933734156,497.4124246767546,374.5950398721203,987.7066587223512,2992.27164960952,581.5455090672918,2986.799535913274,914.384859936276,290.5877244550247,269.7070168133838,451.83241635470546,25.054992368422955,202.75996779931347,539.2849057672141
9,55600.5649592007,10679.753572125921,415.02148427083335,11122.437068428135,1598.13083625,6815.07273431853,7979.785314362918,517.5741359166666,3964.0622746640283,764.9263341666666,2267.203267843192,764.9263341666666,67804.0,1651.7463891666666,1360.3007545945536,863.4360502083332,34805.77159572151,863.4360502083332,983.9251386371793,13862.277557486854,1694.1099472916665,19861.223850025875,20224.456857062643,609.9109516041666,19269.193070805515,1201.6882454166666,14519.069516037256,32804.30776046207,4338.606480218619,22794.246203734856,6277.245947175283,105186.16134277752,68285.89242950226,1870.5535007070714,55156.10343199178,4659.391977211633,52258.88598063941,3715.3276526158847,36.75189024459397,297.22346343822454,786.4531593706391,7365.03031966073,7377.119403862307,19699.5509346446,108270.13091422987,1793.4036193238,3019.572749592712,402.2766519419274,1059.1373766700412,811.3695833169555,1101.0594994121325,2051.568979460628,510.40611698276547,382.2580333878354,1031.8023084959998,3148.7740175932754,594.9536247990802,3156.033878219548,951.2479467793449,307.50883273684974,279.0646270825393,471.994565853783,24.091223251276578,212.42140064549397,559.8360728822682
