,0 AC,1 AC,10 AC,11 AC,12 AC,13 AC,2 AC,3 AC,4 AC,5 AC,6 AC,7 AC,8 AC,9 AC
0,5697.625795749882,5758.050051420273,8729.136454846488,11214.99933929964,2633.664030015527,2824.5336806658343,3530.240356539629,4584.365542522619,3327.676392180739,33852.17783974654,24008.901204068232,6948.352117309254,9091.534397543002,6543.075449089981
1,5556.164495613214,5540.1547216659765,8618.372205756845,11177.750309306273,2628.125241167232,2818.9922060018835,3486.29783606655,4612.241214740092,3262.9355605607925,32975.554829990026,22961.061158429,6738.842267455434,9006.478716696853,6358.285984077134
2,5223.028409072428,5114.620359055126,8309.873759923317,10963.97958484273,2581.6183362916845,2756.802157391676,3453.827707233002,4486.139041347418,3061.7035644014018,31573.442336484444,22404.138102791992,6197.909907518603,8820.930776039486,6196.278730217263
3,4948.674820951474,4756.25554609879,7977.79596293424,10788.251268372898,2546.1564977168086,2708.149009182687,3298.8785457682047,4289.752093435269,2912.847235341094,30355.372242817244,19884.763234547863,5693.517319286405,8692.863817696101,6173.452134391859
4,4417.344850376937,4534.095451789366,7471.157780785547,10696.247389021117,2527.6566218346866,2682.43539893224,3217.48375597823,3965.3931478936993,2692.363318323336,29719.457319165147,17744.1800998239,5157.866412185311,8548.586826952269,6230.82359587158
5,4125.19036644114,4495.238161798312,7446.392708559419,10784.53651797827,2549.74798949798,2713.8259371289955,3105.3193608494566,3758.044828313909,2512.960056040988,29850.224287471367,16195.125008024503,4649.365567773909,8556.132384944456,6723.315199025606
6,4274.4720283902625,4737.121628814469,8098.874191203037,11136.134916273311,2636.444402063503,2833.336146576845,3164.354483092363,3732.314289389139,2572.3439840738074,29979.53828946307,14151.317447576048,5085.659736154335,8839.210880752144,8188.428443826888
7,4594.840742990511,4910.204621002885,8520.020481761512,11836.016894098946,2821.6648792718224,3077.348363476626,3292.085893786967,3714.445673050097,2687.8060139454683,30759.781200356854,14208.457824947092,5655.31595806645,9100.442818163403,9012.007481589664
8,5017.407294771021,5293.514644863065,8991.174038284877,15206.119643871067,3711.882597386516,4269.443876197058,3313.4896049635718,3864.030081821119,2915.9148319461974,31905.687300403213,14796.921492629546,6445.5995590413795,9425.15882959639,9501.112854264606
9,5172.4407292016,5386.842131907669,9332.496146579491,17734.251174837944,4413.580747295039,5257.287423228489,3300.6903713082093,3864.7864196064334,3017.93964335068,32838.975996425754,17516.028284423137,6713.807444488559,9619.22973970029,9795.15151421492
10,5267.059580869369,5552.495666214625,9508.381644826566,16474.335860514933,4045.49363831268,4754.109996964292,3452.3355027329812,3862.2072317579045,3095.3379514993894,33452.12778115048,19294.943868517144,6921.887054369918,9696.388165292445,9876.888855147134
11,5347.746626991944,5477.109116076807,9543.696714372152,17544.29139306316,4329.8843664587275,5150.057422310054,3387.015045111806,3884.2877131244563,3101.1403949154383,34303.56604145542,20836.896421045156,6832.026474917433,9695.694351803439,9994.217034645175
12,5323.09391034377,5424.654945209314,9547.908642576087,22296.231258027437,5582.791838989038,6817.898439490416,3392.040207639409,3924.7621563480043,3083.6149258782816,33208.029440312195,21730.171677393468,6812.6576962615145,9719.377013566864,10081.047282954438
13,5206.914757953886,5346.56549956571,9608.502616832136,20150.254839774498,5038.609110699012,6104.21885269562,3359.581970005454,3910.352643456237,3083.1410170094823,31960.41569824989,22222.95027654032,6775.886386356675,9776.661702092426,10208.941472482977
14,5051.252349711907,5171.2387413072565,9776.052988873254,15620.449029917283,3816.740644804415,4439.31901270897,3363.314626821075,3888.2070146502538,2986.899652028569,31259.601612549515,22307.866997804584,6530.323618381911,9811.370318940884,10069.838720312264
15,5030.97400005012,5206.211082534419,10069.84191714274,16636.749751605657,4101.23614452631,4826.788056034961,3473.305390152098,3965.9036950682435,3004.8218017061345,31384.556715597682,20845.056416517233,6840.5534904743345,9973.787634057546,10083.398178992855
16,5051.405643348844,5568.550849093452,10344.592245893778,16620.329274105436,4065.0362096810227,4731.908644867577,3633.6198962355124,4064.441569569734,3107.301076875211,33339.765052828094,20600.74683339682,7659.497436006459,10035.046258682762,10583.384941741253
17,5234.327927701541,5809.77846474459,10290.242940246577,17063.07645364528,4187.42581563332,4920.519387571268,3837.3245443970486,4068.1393634981087,3281.34782026675,34745.267801067544,20366.196631632756,7755.143889285919,9995.58185144299,10534.803864865706
18,5622.993452869424,5945.223567416272,10263.343323349025,21303.248428225186,5380.4373294272755,6612.8070259852575,3809.888259700556,4168.567203305981,3393.3089466464294,34933.66909984947,20285.731651193353,8019.2226410978465,10011.614920931472,10455.033561742166
19,5742.78312505547,5732.979026903028,10058.640814060904,23166.901899376215,5876.387102923478,7300.376959073504,3668.8911868376354,4208.342921000692,3314.055771627388,34008.61387960917,21092.418710074286,7720.955905565612,9905.059078652626,10474.025601155014
20,5752.888556839759,5460.189271026507,9875.234589565584,23048.977913215993,5785.274574233446,7118.079767893199,3623.839922585361,4254.49960661275,3278.0008757467517,32724.67597968402,20116.194941729947,7393.232337106825,9788.797787733412,10166.147772223638
21,5669.374703869959,5688.476469194862,9585.85426343064,17682.18898982844,4326.099215517963,5100.430313625779,3675.3172419672883,4367.122569657861,3261.0111048351564,33732.55027985159,19886.24789741334,7037.659759093769,9596.666582359594,9426.698440932798
22,5917.258291425334,6315.050773043353,9604.758508643532,15723.907307595971,3798.133933215047,4368.233811902394,3585.91815130361,4665.976026210025,3479.9298583417744,34233.82365835877,20659.272951235907,7554.668235992204,9618.24890189626,8850.320928249297
23,5913.254268128854,6014.003214049874,9339.151022132035,14457.316065904113,3467.14946338602,3907.732254588658,3543.7302576952625,4664.884905573076,3396.2305259204154,34001.3490480366,24734.489774782505,7209.814325045918,9410.412500038898,8150.993919819125
24,7377.203967339849,5547.301092975322,11284.754866276146,12715.29095335664,3019.272572089538,3320.802558863722,3620.753985741896,4776.088709363991,3372.8964375806427,33737.877823004805,25129.366619178116,7477.135283159963,9675.683374334732,8971.53018592536
25,7207.829913541594,5389.2143210304785,11205.379361273193,11684.192376695306,2758.646173844195,2985.616445661879,3564.6794029136427,4732.11213924286,3296.910759440923,32959.08787842554,23792.459051148773,7300.038694999517,9603.417513531203,8709.552956625099
26,6854.151113364634,5024.712115606792,10952.656713605093,11147.295574738995,2629.888298870349,2818.3444829313166,3513.670552672031,4599.71071242836,3096.413451348254,31965.743241403106,23398.645164356672,6797.337823184939,9458.66009275436,8459.127267088887
27,6593.616211556913,4760.285616695421,10787.60304847183,10752.2985212389,2536.726262013511,2695.279117890831,3348.380421148967,4597.617952908717,2959.601127814107,31315.782976710707,20991.799983591354,6375.863957949625,9426.415777909844,8391.355779679638
28,6151.315220881337,4667.649443825173,10673.018872202854,10718.471089329329,2534.9863525693027,2692.422605056101,3263.3578124901537,4848.266678607858,2769.5986937638418,31656.26141641172,18568.402106021025,6155.651438163777,9605.261589468864,8326.750715782313
29,6047.631298055967,4620.646741348568,10801.734379046078,10797.379118013367,2552.5057195629265,2717.5997749698918,3151.8460533554953,5099.510688785444,2678.2575426880194,33903.51598285935,16882.291962986426,5952.48821811187,10298.744572933898,8589.972248377728
30,6421.990304874592,4782.497898352664,11139.957383891693,11131.725838589391,2630.5913694265378,2825.276542430238,3236.1472350367744,5217.959957270191,2930.541626618303,35886.81500217036,14922.163189559547,6650.5736387268535,11156.46443966837,9770.605728000994
31,6893.141438468303,4940.196883782649,11359.992120814031,11892.270881891605,2826.4649956528706,3083.683296607905,3398.061520551613,5239.536516640321,3222.532111893687,37268.10164516792,14858.51972212284,7283.593318525323,11368.941175998774,10468.34423028046
32,7349.369574913603,5287.420826826436,11759.663543996352,15230.579216164144,3706.7071313742185,4262.480292973698,3444.4839028130255,5352.166720142807,3468.220923581768,38072.07633919875,15708.396981449707,8038.993597395863,11400.4647748058,10863.408754163911
33,7498.70135102836,5401.835505306027,12033.80823732993,17762.466283644637,4410.707264247036,5254.017764698729,3450.1212762130313,5353.676236145453,3534.114978271303,38351.53019369019,18556.30228617099,8296.040867172822,11348.535349331722,11097.566013012187
34,7582.706737340302,5509.899060828278,12173.42840309892,16558.081870034675,4059.9046425421307,4774.1711028687805,3614.212719808094,5371.303565526768,3593.068822687431,38467.76749885127,19956.028828611237,8474.99731481015,11254.61551717766,11167.313561730212
35,7633.232744903721,5504.711983359632,12199.26346613143,17562.30223390436,4325.509000563621,5143.696335785114,3554.7249980971646,5373.781350092544,3567.847990942032,38661.49634078642,21411.779236709433,8401.29871403228,11155.95957090639,11295.027420609033
36,7600.325536582647,5469.953999703327,12204.93107498663,22368.08906426045,5592.793574776045,6830.687448990765,3559.2109295225,5360.308855249061,3511.0484607644144,38134.069568618,22059.10835350527,8405.866530568675,11112.084122049104,11405.358638649159
37,7479.453956735378,5421.541981838475,12242.300082543512,20194.536318545528,5039.659605344405,6104.527365876402,3522.313769099577,5363.33817288631,3499.333312367365,37535.44744703841,22477.493214702976,8372.862460199625,11124.323678442624,11531.697241978793
38,7334.168068079664,5249.811757662471,12300.085835778138,15631.071212020634,3806.638170019602,4425.20441360768,3522.029199172545,5313.916385270863,3371.1381642406827,36883.54989392666,22813.344116980406,8099.1505949652055,11092.187349506852,11391.813716012519
39,7329.73672985725,5311.892843807691,12538.172058713848,16692.6839209537,4105.50592820256,4832.080243674525,3633.601622822096,5342.671940718369,3346.6693789317997,37113.1185716198,21552.653816838116,8338.10453066079,11203.333346753168,11339.520255045518
40,7409.943564743053,5606.406387796418,12629.545880545216,16678.116004923595,4070.926050797956,4739.3889997767965,3792.228943047512,5410.506544454443,3444.7236995761523,39054.76588991475,21653.651599268876,8896.556384754851,11225.18090738893,11738.623167925462
41,7661.228206845613,5720.884926595552,12452.899402141618,17082.636074181886,4184.994034344929,4918.00478720295,3983.906175643203,5406.663396795547,3681.3220467523015,40353.71777508988,22027.39721554435,8739.180687123426,11188.74923827534,11679.434420883337
42,7992.308949845212,5824.108201530327,12375.511481028494,21323.236746323513,5382.22883689307,6614.540899120577,3940.8657884057543,5437.819872228351,3794.4142965888987,39677.604116736235,23769.41594134229,8771.380796106794,11241.723595623895,11645.740315122737
43,7945.668990937351,5644.308445595174,12120.287522826979,23127.6789397717,5861.483543113407,7282.766038697389,3801.526450093163,5240.426387270332,3684.5250477356576,37865.27080043299,26638.574640560088,8402.399521756386,11134.772819166958,11743.695416959932
44,7813.3398982367125,5464.374903533317,11904.706159237196,22978.95722193186,5764.65407629787,7091.236699554665,3754.8178857319717,4987.11656315267,3593.4998251261013,36447.65999957259,26377.224559667597,8095.956828126004,10974.124595315508,11517.36729898504
45,7635.603843856625,5588.999379353164,11601.177590093004,17670.423969342424,4321.276820320092,5095.9750345833745,3794.4068828352806,4816.548573505658,3512.2520638713236,37376.105474546755,25338.338301554486,7737.787989330539,10662.977409603476,10810.362991173426
46,7802.441899936972,6110.358968780863,11673.303136485021,15613.233146513503,3768.4047894537853,4330.594719524921,3701.622394469473,4889.891230555085,3648.1370437110345,37653.622040618844,24287.67847946709,8186.8910314595905,10517.349269041799,10289.011554547242
47,7739.538817109296,5848.5923568978715,11471.667537777337,14359.06712929008,3439.8574284563024,3874.1353144981613,3651.853813001108,4786.771137290325,3488.6318286201868,36664.63630253995,26878.191127611743,7797.206253026504,10193.220437872344,9638.005970017062
48,7501.534984665304,5617.635284568107,11325.767274649485,14665.722786934053,3290.2738972531015,3773.8147782179067,3873.3352097553084,4791.776826775112,3493.7686765457365,36356.607443863075,25238.39873386674,7548.41107767442,10193.12888425086,9326.402035065525
