name,scn_name,bus0,bus1,carrier,p_nom,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035,4,41276,dsm,365.22235420916206,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,365.22235420916206,DE,inf,False,,,,0.0,,,1.0,1.0
1,eGon2035,4,48653,power_to_H2,1.8311109474386582e-08,inf,27.45381865133243,0.0,0.7,0.0,0.0,1.0,0.0,1.8311109474386582e-08,DE,31.0,False,,,,0.0,,,1.0,1.0
2,eGon2035,4,52040,rural_heat_pump,3159.7684412343287,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3159.7684412343287,DE,inf,False,,,,0.0,,,1.0,1.0
3,eGon2035,4,69914,BEV_charger,5371.374979764223,inf,0.0,0.0,0.9000000000000001,0.0,0.0,1.0,0.0,5371.374979764223,DE,inf,False,,,,0.0,,,1.0,1.0
4,eGon2035,4,70812,power_to_H2,483.88140564484524,inf,27.45381865133243,0.0,0.7,0.0,0.0,1.0,0.0,483.88140564484524,DE,31.0,False,,,,0.0,,,1.0,1.0
5,eGon2035,4,70822,central_heat_pump,8.11657181250032,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.11657181250032,DE,inf,False,,,,0.0,,,1.0,1.0
6,eGon2035,4,70822,central_resistive_heater,14.800535649825676,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14.800535649825676,DE,inf,False,,,,0.0,,,1.0,1.0
7,eGon2035,4,70827,central_heat_pump,1.584932339691605,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.584932339691605,DE,inf,False,,,,0.0,,,1.0,1.0
8,eGon2035,4,70827,central_resistive_heater,3.381852528356746,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.381852528356746,DE,inf,False,,,,0.0,,,1.0,1.0
9,eGon2035,4,41276,dsm,161.71865762765782,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,161.71865762765782,DE,inf,False,,,,0.0,,,1.0,1.0
10,eGon2035,4,48653,power_to_H2,1.8311109474384888e-08,inf,27.45381865133243,0.0,0.7,0.0,0.0,1.0,0.0,1.8311109474384888e-08,DE,31.0,False,,,,0.0,,,1.0,1.0
11,eGon2035,4,50808,central_heat_pump,1.4129549718397316,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.4129549718397316,DE,inf,False,,,,0.0,,,1.0,1.0
12,eGon2035,4,50808,central_resistive_heater,1.83421570005984,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.83421570005984,DE,inf,False,,,,0.0,,,1.0,1.0
13,eGon2035,4,52040,rural_heat_pump,1535.9060998265397,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1535.9060998265397,DE,inf,False,,,,0.0,,,1.0,1.0
14,eGon2035,4,69914,BEV_charger,2568.179854929447,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,2568.179854929447,DE,inf,False,,,,0.0,,,1.0,1.0
15,eGon2035,4,70812,power_to_H2,483.88139868186414,inf,27.453818651332433,0.0,0.7,0.0,0.0,1.0,0.0,483.88139868186414,DE,31.0,False,,,,0.0,,,1.0,1.0
16,eGon2035,4,70818,central_heat_pump,37.209915378922425,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,37.209915378922425,DE,inf,False,,,,0.0,,,1.0,1.0
17,eGon2035,4,70818,central_resistive_heater,24.496692362775967,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,24.496692362775967,DE,inf,False,,,,0.0,,,1.0,1.0
18,eGon2035,4,41276,dsm,278.7699941198027,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,278.7699941198027,DE,inf,False,,,,0.0,,,1.0,1.0
19,eGon2035,4,43788,DC,600.0000000000875,2400.0,430.30751269262754,1167.5122488499676,1.0,600.0,0.0,1.0,0.0,600.0000000000875,SE,inf,False,,,,0.0,,,1.0,1.0
20,eGon2035,4,48653,power_to_H2,1.8311109474386582e-08,inf,27.45381865133243,0.0,0.7,0.0,0.0,1.0,0.0,1.8311109474386582e-08,DE,31.0,False,,,,0.0,,,1.0,1.0
21,eGon2035,4,51841,central_heat_pump,1.0481979662387282,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0481979662387282,DE,inf,False,,,,0.0,,,1.0,1.0
22,eGon2035,4,51841,central_resistive_heater,1.4130513814471992,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.4130513814471992,DE,inf,False,,,,0.0,,,1.0,1.0
23,eGon2035,4,52040,rural_heat_pump,2222.6934228253717,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2222.6934228253717,DE,inf,False,,,,0.0,,,1.0,1.0
24,eGon2035,4,69914,BEV_charger,3910.550163716078,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,3910.550163716078,DE,inf,False,,,,0.0,,,1.0,1.0
25,eGon2035,4,70812,power_to_H2,483.88140564484524,inf,27.45381865133243,0.0,0.7,0.0,0.0,1.0,0.0,483.88140564484524,DE,31.0,False,,,,0.0,,,1.0,1.0
26,eGon2035,4,70826,central_heat_pump,34.17728680564908,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.17728680564908,DE,inf,False,,,,0.0,,,1.0,1.0
27,eGon2035,4,70826,central_resistive_heater,39.957610736469334,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,39.957610736469334,DE,inf,False,,,,0.0,,,1.0,1.0
28,eGon2035,4,41276,dsm,1068.057259479387,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1068.057259479387,DE,inf,False,,,,0.0,,,1.0,1.0
29,eGon2035,4,52040,rural_heat_pump,5025.375241432294,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5025.375241432294,DE,inf,False,,,,0.0,,,1.0,1.0
30,eGon2035,4,69914,BEV_charger,9265.293284237385,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,9265.293284237385,DE,inf,False,,,,0.0,,,1.0,1.0
31,eGon2035,4,70812,power_to_H2,483.8814056433189,inf,27.45381865133243,0.0,0.7,0.0,0.0,1.0,0.0,483.8814056433189,DE,31.0,False,,,,0.0,,,1.0,1.0
32,eGon2035,4,70817,central_heat_pump,123.2201035891643,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,123.2201035891643,DE,inf,False,,,,0.0,,,1.0,1.0
33,eGon2035,4,70817,central_resistive_heater,115.98653411195465,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,115.98653411195465,DE,inf,False,,,,0.0,,,1.0,1.0
34,eGon2035,4,41276,dsm,782.864404901083,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,782.864404901083,DE,inf,False,,,,0.0,,,1.0,1.0
35,eGon2035,4,48653,power_to_H2,1.8311109474384888e-08,inf,27.45381865133243,0.0,0.7,0.0,0.0,1.0,0.0,1.8311109474384888e-08,DE,31.0,False,,,,0.0,,,1.0,1.0
36,eGon2035,4,52040,rural_heat_pump,5356.270366588951,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5356.270366588951,DE,inf,False,,,,0.0,,,1.0,1.0
37,eGon2035,4,69914,BEV_charger,9901.309492647648,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,9901.309492647648,DE,inf,False,,,,0.0,,,1.0,1.0
38,eGon2035,4,70812,power_to_H2,483.88140564484524,inf,27.45381865133243,0.0,0.7,0.0,0.0,1.0,0.0,483.88140564484524,DE,31.0,False,,,,0.0,,,1.0,1.0
39,eGon2035,4,70821,central_heat_pump,214.42758490394272,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,214.42758490394272,DE,inf,False,,,,0.0,,,1.0,1.0
40,eGon2035,4,70821,central_resistive_heater,238.7741633709262,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,238.7741633709262,DE,inf,False,,,,0.0,,,1.0,1.0
41,eGon2035,4,70827,central_heat_pump,10.86857209129434,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.86857209129434,DE,inf,False,,,,0.0,,,1.0,1.0
42,eGon2035,4,70827,central_resistive_heater,15.086076340216607,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.086076340216607,DE,inf,False,,,,0.0,,,1.0,1.0
43,eGon2035,4,41276,dsm,500.72082215752454,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,500.72082215752454,DE,inf,False,,,,0.0,,,1.0,1.0
44,eGon2035,4,52040,rural_heat_pump,2560.73251327933,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2560.73251327933,DE,inf,False,,,,0.0,,,1.0,1.0
45,eGon2035,4,69914,BEV_charger,5189.7908291220665,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,5189.7908291220665,DE,inf,False,,,,0.0,,,1.0,1.0
46,eGon2035,4,70812,power_to_H2,483.8814056433189,inf,27.45381865133243,0.0,0.7,0.0,0.0,1.0,0.0,483.8814056433189,DE,31.0,False,,,,0.0,,,1.0,1.0
47,eGon2035,4,70813,central_heat_pump,29.469154377995906,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,29.469154377995906,DE,inf,False,,,,0.0,,,1.0,1.0
48,eGon2035,4,70813,central_resistive_heater,15.544002473994775,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.544002473994775,DE,inf,False,,,,0.0,,,1.0,1.0
49,eGon2035,4,70816,central_heat_pump,63.06647299762646,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,63.06647299762646,DE,inf,False,,,,0.0,,,1.0,1.0
50,eGon2035,4,70816,central_resistive_heater,83.54913033860684,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,83.54913033860684,DE,inf,False,,,,0.0,,,1.0,1.0
51,eGon2035,4,41276,dsm,53.81107061792041,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,53.81107061792041,DE,inf,False,,,,0.0,,,1.0,1.0
52,eGon2035,4,48653,power_to_H2,1.8311109474386582e-08,inf,27.453818651332433,0.0,0.7,0.0,0.0,1.0,0.0,1.8311109474386582e-08,DE,31.0,False,,,,0.0,,,1.0,1.0
