bus,cluster,foreign,medoid_idx
1,61,,
1000,84,,
10001,11,,
10020,64,,
10025,64,,
10027,11,,
1003,84,,
1004,84,,
10058,48,,
10064,63,,
10071,60,,
10073,60,,
10086,67,,
10087,67,,
10101,15,,
10103,15,,
10135,36,,
10136,36,,
10169,67,,
1018,12,,
10181,43,,
10188,63,,
10189,63,,
1019,12,,12
10209,85,,
10210,85,,
10212,85,,
10213,85,,
1023,29,,
10236,67,,
1024,29,,
10245,67,,
10246,67,,
10261,27,,
10266,27,,
10272,65,,
10276,46,,
1029,28,,
10294,45,,
1030,28,,
10304,36,,
10305,36,,
10306,36,,
10307,36,,
10310,36,,
10321,15,,
10374,70,,
1038,28,,
10385,60,,
1039,28,,
10392,29,,
10398,11,,
1040,28,,
1043,28,,
10443,36,,
10467,36,,
10468,36,,
10490,82,,
10493,82,,
10495,82,,
105,35,,
10500,82,,
10501,11,,
10504,45,,
10520,65,,
10522,65,,
10555,64,,
10557,64,,
10559,64,,
10566,35,,
106,35,,
10648,65,,
10660,63,,
10720,64,,
10721,64,,
10727,67,,
10736,12,,
1074,28,,
10743,67,,
10746,67,,
10748,36,,
1079,28,,
10854,29,,
10855,29,,
10866,20,,
1088,28,,
10892,67,,
109,35,,
10941,67,,
10951,63,,
10955,63,,
10978,1,,
10979,1,,
10983,1,,
10986,25,,
10993,26,,
10998,12,,
11000,81,,
11008,35,,
11014,61,,61
11015,61,,
11017,61,,
11022,58,,
11023,58,,
11024,58,,
11028,58,,
1103,28,,
11031,58,,
11043,50,,
11047,50,,
11048,50,,
11066,28,,
11067,28,,
11073,28,,
11077,67,,
11078,67,,
1108,28,,
11085,11,,
11087,32,,
11094,30,,
11100,53,,
11102,57,,
11117,63,,
11124,13,,
11127,13,,
11131,49,,
11132,49,,
11133,49,,
11134,49,,
11139,49,,
11140,49,,
11145,63,,
11157,57,,
11158,57,,
11161,57,,
11163,57,,
11169,57,,
11174,63,,
11175,63,,
11177,63,,
11181,63,,
11182,63,,
11183,63,,
11199,36,,
112,61,,
11200,36,,
1121,35,,
11222,41,,
11232,61,,
11238,63,,
11239,63,,
1124,35,,
11244,83,,
11246,83,,
11247,83,,
11249,34,,
1125,48,,
11253,83,,
11256,65,,
11276,49,,
11287,83,,
11290,59,,
113,41,,
11318,74,,
11319,74,,
11320,32,,
11337,59,,
11355,74,,
11420,58,,
11421,58,,
11433,11,,
11437,26,,
11444,26,,
11454,64,,
11473,11,,
11474,11,,
11476,11,,
11478,11,,
11495,57,,
11503,72,,
11509,72,,
11510,72,,
11513,83,,
11516,83,,
11517,83,,
11522,8,,
11523,13,,
11528,13,,
11533,28,,
11545,41,,
11546,45,,45
11547,26,,
11549,45,,
11571,81,,
11581,83,,
11582,83,,
11603,74,,
11604,74,,
11606,74,,
11620,67,,
11621,67,,
11637,83,,
11638,83,,
11639,83,,
11647,63,,
1165,61,,
11689,73,,
11690,73,,
11712,72,,
11713,63,,
11715,22,,
11716,22,,
11724,65,,
11732,23,,
11761,32,,
11762,32,,
11764,32,,
11765,32,,
11780,48,,
11790,1,,
11808,22,,
11809,22,,
11810,22,,
11830,30,,
11831,30,,
11842,83,,
11843,83,,
11847,83,,
11853,73,,
11854,73,,
11855,73,,
11856,73,,
1188,34,,
1189,34,,
11908,59,,
11909,59,,
1191,34,,
11912,59,,
11937,9,,
11939,57,,
11941,57,,
11945,57,,
11946,57,,
11949,9,,
11950,9,,
11971,63,,
11984,67,,
12,40,,
1204,62,,
12045,58,,
12047,58,,
12048,58,,
12063,74,,
12076,28,,
1210,44,,
12101,59,,
12126,67,,
12150,59,,
12163,63,,
1219,53,,
12193,70,,
12194,70,,
12220,9,,
12221,9,,
12222,9,,
12223,9,,
12225,9,,
12227,9,,
12228,9,,
12229,9,,
1223,53,,
12230,9,,9
12249,83,,
12250,83,,
12252,83,,
12256,83,,
12259,83,,
1226,53,,
12260,83,,
1227,53,,
12305,26,,
12359,57,,
12360,57,,57
12400,61,,
12407,58,,
12410,58,,
12426,61,,
12427,61,,
12428,61,,
12458,47,,
12463,47,,
1247,43,,
1249,5,,
12538,26,,
12539,26,,
12569,26,,
12622,23,,
12624,23,,
12625,23,,
1263,28,,
12635,73,,
12637,73,,
1265,34,,
12650,73,,
12651,73,,
1266,34,,
12666,25,,
1267,34,,
1268,34,,
12697,73,,
12716,15,,
12720,15,,
12724,15,,
12732,31,,
12734,33,,
12737,47,,
12740,47,,
12749,56,,
12751,56,,
12752,16,,
12758,75,,
12760,38,,
12762,38,,
12766,40,,
12775,14,,
1278,2,,
12788,76,,
12789,76,,
12790,76,,
12791,76,,
12794,60,,
12797,60,,
12798,60,,
12799,41,,
12805,34,,
12808,34,,
12817,60,,
12818,30,,
12821,30,,
12823,1,,
12824,16,,
1284,66,,
12844,67,,
12852,29,,
12857,21,,
1286,66,,
12860,21,,
12868,7,,
12869,76,,
12875,14,,
12876,14,,
12899,29,,
129,28,,
12900,29,,
12905,29,,
12907,29,,
12908,29,,
12911,29,,
12912,29,,
12923,51,,
12940,7,,
12942,7,,
12943,7,,
12945,7,,
12954,75,,
12956,7,,
12965,38,,
12976,31,,
12977,33,,
12978,33,,
12984,31,,
12985,33,,
12986,31,,
12989,51,,
12992,12,,
12994,12,,
12999,66,,
13001,66,,
13003,66,,
13009,16,,16
13038,66,,
13039,66,,
13040,66,,
13045,21,,
13047,21,,
13052,21,,
13060,60,,
13061,60,,
13066,41,,
13067,41,,
13071,33,,
13093,75,,
13098,85,,
131,28,,
13100,85,,
13107,15,,
13118,22,,
13119,22,,
13127,4,,
13129,4,,
1313,43,,
13130,4,,
13131,4,,
13133,4,,
13136,85,,
13139,85,,
13158,12,,
13165,12,,
13169,85,,
13172,28,,
13175,28,,
13192,38,,
13199,14,,
132,28,,
13208,21,,
13210,21,,
13223,49,,
13243,75,,
13249,78,,
13255,82,,
13258,7,,
1326,84,,
13273,30,,
13274,30,,
13276,30,,
13281,76,,
13293,66,,
133,28,,
1330,41,,
13300,66,,
13308,47,,
13309,60,,
1332,41,,
13326,30,,
13331,30,,
13338,44,,
13355,82,,
13358,82,,
13359,82,,
13361,82,,
13369,34,,
134,48,,
13400,85,,
13402,85,,
13403,85,,
13409,51,,
13411,51,,
13413,51,,
13414,51,,
13415,10,,
13416,10,,
13417,10,,
13428,33,,
13431,33,,
13451,75,,
13473,47,,
13479,33,,
13481,33,,
13485,29,,
13495,82,,
135,48,,
1350,79,,
13517,85,,
13522,67,,67
13532,22,,
13533,22,,
13534,22,,
13536,22,,
13537,22,,
13543,67,,
13550,58,,
