bus,cluster,foreign,medoid_idx
1000,10,,
10004,3,,
10030,1,,
10031,1,,
10039,1,,
10043,1,,
10045,1,,
10060,1,,
10078,11,,
1008,1,,
10080,11,,
10082,11,,
10083,11,,
10087,13,,
10093,1,,
10097,1,,
101,9,,
10114,6,,
10117,6,,
10119,6,,
10128,9,,
10133,6,,
10136,6,,
1014,1,,
1015,1,,
10150,6,,
10159,8,,
1018,1,,
10188,13,,
10191,13,,
10202,13,,
10208,8,,
10209,8,,
10224,6,,
10247,11,,
10258,11,,
10262,11,,
10263,11,,
10278,3,,
1029,6,,
10304,9,,
10305,9,,
1032,6,,
10347,9,,
10348,9,,
10359,8,,
10360,8,,
10381,9,,
10382,9,,
10383,9,,
10400,11,,
1042,12,,
10444,6,,
10458,11,,
10467,11,,
1047,3,,
10475,13,,
10500,13,,
10502,13,,
10505,13,,
10509,12,,
10510,13,,
10511,12,,
10526,8,,
1053,3,,
10531,1,,
10535,8,,
10537,13,,
1054,3,,
1055,3,,
10566,11,,
10571,11,,
1058,16,,
10593,11,,
10595,11,,
10621,9,,
10678,8,,
10717,6,,
10744,1,,
10745,1,,
10749,1,,
10751,1,,
10754,1,,
10760,3,,
10770,12,,
10771,12,,
10772,12,,
10773,12,,
10774,12,,
10775,12,,
10780,12,,
10782,12,,
10784,12,,
10809,11,,
10867,13,,
10868,13,,
10877,9,,
10878,9,,
10887,9,,
10888,9,,
10894,9,,
10908,1,,
10916,15,,
10919,15,,
10926,8,,
10933,11,,
10948,8,,
1101,10,,
11033,12,,
11034,12,,
11043,11043,,
11109,9,,
11110,9,,
11112,9,,
11114,11,,
11118,11,,
11122,5,,
11124,5,,
11129,2,,
1113,9,,
11131,2,,
11132,2,,
11136,13,,
1114,9,,
11140,7,,
11141,7,,
11142,7,,
11144,7,,
11147,9,,
11148,9,,
11150,9,,
11155,15,,
11158,9,,
11178,4,,
11187,3,,
11189,12,,
11194,12,,
11195,12,,
11197,12,,
11199,12,,
11204,7,,
11205,7,,
11208,12,,
11210,12,,
11218,12,,
11221,12,,
11234,13,,
11236,13,,
11245,16,,
11250,10,,
11256,1,,
1126,16,,
11269,7,,
11270,7,,
11271,7,,
11273,7,,
11282,5,,
11284,5,,
11293,0,,
11294,0,,
11295,0,,
11296,0,,
11298,0,,
11305,0,,
11306,0,,
11316,9,,
1132,3,,
11320,11,,
11323,11,,
11325,11,,
11354,9,,
11355,9,,
11359,11,,
1137,3,,
1139,3,,
1140,3,,
11403,5,,
11406,3,,
11409,3,,
1141,3,,
11411,3,,
11414,11,,
1143,3,,
11435,0,,
1144,3,,
11446,3,,
11463,4,,
1147,3,,
11485,15,,
11488,8,,
1149,3,,
11494,13,,
11496,13,,
11497,13,,
11508,12,,
11510,12,,
11518,9,,
11526,5,,
11542,4,,
11543,4,,
11548,13,,
11586,7,,
11616,9,,
1162,6,,
11622,12,,
11626,12,,
1163,6,,
11633,14,,
11637,6,,
11640,6,,
11666,14,,
11667,14,,
11668,14,,
11669,14,,
11688,11,,
11691,11,,
11692,3,,
11693,3,,
11696,3,,
117,12,,
11704,12,,
11717,0,,
11718,0,,
11719,0,,
11728,,32999,
11732,4,,
11733,0,,
11743,3,,
11744,3,,
11746,12,,
11749,11,,
1175,5,,
11751,11,,
11752,11,,
11762,13,,
11766,13,,
11767,13,,
1178,5,,
11781,8,,
1179,5,,
11790,12,,
11795,12,,
11796,12,,
11798,38695,,
11803,3,,
11804,3,,
11808,3,,
11810,9,,
11828,9,,
11830,9,,
11839,4,,
11844,12,,
11851,38695,,
11852,38695,,
11859,11,,
11866,7,,
11873,11,,
