bus,cluster,foreign,medoid_idx
1,155,,
1000,57,,
10001,76,,
10020,52,,
10025,52,,
10027,76,,
1003,57,,
1004,57,,
10058,54,,
10064,74,,
10071,276,,
10073,276,,
10086,34,,
10087,144,,
10101,242,,
10103,242,,
10135,45,,
10136,45,,
10169,275,,
1018,243,,
10181,280,,
10188,74,,
10189,74,,
1019,177,,
10209,145,,
10210,145,,
10212,145,,
10213,145,,
1023,41,,
10236,275,,
1024,41,,
10245,275,,
10246,275,,
10261,201,,
10266,201,,
10272,25,,
10276,171,,
1029,185,,
10294,20,,
1030,185,,
10304,45,,
10305,45,,
10306,45,,
10307,45,,
10310,45,,
10321,132,,
10374,115,,
1038,103,,
10385,276,,
1039,103,,
10392,146,,
10398,76,,
1040,103,,
1043,176,,
10443,45,,
10467,45,,
10468,45,,
10490,17,,
10493,17,,
10495,17,,
105,278,,
10500,17,,
10501,76,,
10504,20,,20
10520,241,,
10522,25,,
10555,52,,
10557,52,,
10559,52,,
10566,23,,
106,278,,
10648,241,,
10660,74,,
10720,52,,
10721,52,,
10727,144,,
10736,177,,
1074,103,,
10743,189,,
10746,189,,
10748,45,,
1079,103,,
10854,176,,
10855,176,,
10866,182,,
1088,103,,
10892,275,,
109,278,,
10941,189,,
10951,74,,
10955,74,,
10978,32,,
10979,32,,
10983,32,,
10986,204,,
10993,56,,
10998,243,,
11000,139,,
11008,278,,
11014,191,,
11015,191,,
11017,191,,
11022,120,,
11023,120,,
11024,120,,
11028,120,,
1103,103,,
11031,176,,
11043,143,,
11047,263,,
11048,263,,
11066,103,,103
11067,185,,
11073,103,,
11077,228,,
11078,228,,
1108,103,,
11085,76,,
11087,175,,
11094,158,,
11100,200,,
11102,44,,44
11117,74,,
11124,149,,
11127,46,,
11131,135,,
11132,135,,
11133,135,,
11134,135,,
11139,135,,
11140,135,,
11145,225,,
11157,199,,
11158,199,,
11161,199,,
11163,199,,
11169,44,,
11174,74,,
11175,74,,
11177,74,,
11181,74,,
11182,74,,
11183,74,,
11199,45,,
112,155,,
11200,45,,
1121,23,,
11222,129,,
11232,155,,
11238,74,,
11239,74,,
1124,23,,
11244,238,,
11246,238,,
11247,238,,
11249,238,,
1125,141,,
11253,238,,
11256,25,,
11276,135,,
11287,238,,
11290,30,,
113,196,,
11318,26,,
11319,26,,
11320,119,,
11337,166,,
11355,172,,
11420,176,,
11421,176,,
11433,76,,
11437,40,,
11444,40,,
11454,214,,
11473,76,,
11474,76,,
11476,76,,
11478,76,,
11495,44,,
11503,92,,
11509,92,,
11510,92,,
11513,238,,
11516,238,,
11517,238,,
11522,99,,
11523,99,,
11528,99,,
11533,185,,
11545,129,,
11546,20,,
11547,56,,
11549,20,,
11571,34,,
11581,238,,
11582,265,,
11603,26,,
11604,26,,26
11606,26,,
11620,228,,
11621,228,,
11637,238,,
11638,238,,
11639,238,,
11647,74,,
1165,28,,
11689,118,,
11690,118,,118
11712,92,,
11713,92,,
11715,129,,
11716,129,,
11724,205,,
11732,188,,
11761,175,,
11762,175,,175
11764,175,,
11765,175,,
11780,69,,
11790,32,,
11808,151,,
11809,129,,
11810,129,,
11830,106,,
11831,106,,
11842,238,,
11843,238,,
11847,238,,
11853,118,,
11854,118,,
11855,118,,
11856,118,,
1188,77,,
1189,77,,
11908,170,,
11909,170,,
1191,77,,
11912,170,,
11937,230,,
11939,199,,
11941,230,,
11945,230,,
11946,230,,
11949,230,,
11950,230,,
11971,74,,
11984,189,,
12,88,,
1204,285,,
12045,179,,
12047,179,,
12048,179,,
12063,26,,
12076,185,,
1210,233,,
12101,166,,
12126,189,,
12150,30,,
12163,74,,
1219,169,,
12193,205,,
12194,115,,
12220,31,,31
12221,31,,
12222,31,,
12223,31,,
12225,31,,
12227,31,,
12228,67,,
12229,31,,
1223,169,,
12230,31,,
12249,238,,
12250,62,,
12252,62,,
12256,62,,
12259,62,,
1226,169,,
12260,62,,
1227,169,,
12305,56,,
12359,199,,
12360,199,,
12400,191,,
12407,179,,
12410,179,,
12426,191,,
12427,191,,
12428,191,,
12458,50,,
12463,50,,50
1247,260,,
1249,40,,
12538,56,,
12539,56,,
12569,56,,
12622,251,,
12624,251,,
12625,251,,
1263,185,,
12635,285,,
12637,285,,
1265,227,,
12650,118,,
12651,118,,
1266,227,,
12666,204,,
1267,227,,
1268,227,,
12697,118,,
12716,132,,
12720,132,,
12724,132,,
12732,5,,
12734,221,,
12737,1,,
12740,1,,
12749,84,,
12751,84,,
12752,190,,
12758,207,,
12760,58,,
12762,58,,
12766,173,,
12775,79,,
1278,104,,
12788,218,,
12789,218,,
12790,218,,
12791,218,,
12794,276,,
12797,276,,
12798,276,,
12799,129,,
12805,210,,
12808,210,,
12817,83,,
12818,106,,
12821,106,,
12823,32,,
12824,152,,
1284,181,,
12844,105,,
12852,226,,
12857,197,,
1286,181,,
12860,197,,
12868,133,,
12869,11,,
12875,79,,
12876,79,,
12899,253,,
129,185,,
12900,253,,
12905,253,,
12907,219,,
12908,219,,
12911,219,,
12912,253,,
12923,272,,
12940,148,,
12942,133,,
12943,133,,
12945,133,,
12954,207,,
12956,66,,
12965,223,,
12976,194,,
12977,96,,
12978,96,,
12984,98,,
12985,96,,
12986,194,,
12989,140,,
12992,243,,
12994,243,,
12999,181,,
13001,181,,
13003,181,,
13009,35,,
13038,181,,
13039,181,,
13040,181,,
13045,197,,
13047,197,,
13052,197,,
13060,83,,
13061,83,,
13066,49,,
13067,49,,
13071,248,,
13093,207,,
13098,137,,
131,185,,
13100,137,,
13107,234,,
13118,151,,
13119,151,,
13127,136,,
13129,136,,
1313,167,,
13130,136,,
13131,136,,
13133,136,,
13136,105,,
13139,105,,
13158,243,,
13165,228,,
13169,145,,
13172,39,,
13175,39,,
13192,58,,
13199,9,,
132,185,,
13208,22,,
13210,22,,
13223,135,,
13243,271,,
13249,94,,
13255,17,,
13258,133,,
1326,111,,
13273,106,,
13274,106,,106
13276,106,,
13281,277,,
13293,181,,
133,185,,
1330,234,,
13300,181,,181
13308,1,,
13309,83,,
1332,234,,
13326,106,,
13331,106,,
13338,233,,
13355,17,,
13358,17,,
13359,17,,
13361,17,,
13369,210,,
134,69,,
13400,137,,
13402,137,,
13403,137,,
13409,272,,
13411,3,,
13413,3,,
13414,3,,
13415,212,,
13416,212,,
13417,212,,212
13428,96,,
13431,96,,
13451,65,,
13473,61,,
13479,248,,
13481,128,,
13485,226,,
13495,160,,
135,69,,
1350,250,,
13517,137,,
13522,34,,
13532,151,,
13533,151,,151
13534,151,,
13536,151,,
13537,151,,
13543,178,,
13550,120,,
13558,15,,
13559,15,,
1356,227,,
13569,118,,
13577,190,,
13591,93,,
1360,227,,
13611,39,,
13623,1,,
13624,1,,
1363,227,,
13631,218,,
1364,227,,
1365,227,,
13656,272,,
13659,272,,
1366,227,,
13660,272,,272
13661,272,,
13662,272,,
13682,58,,
13683,58,,
13684,18,,
13685,18,,
13688,258,,
13689,18,,
13690,18,,
13692,18,,
13700,224,,
1371,278,,
1372,278,,
13725,85,,
13726,233,,233
13734,83,,
13752,39,,
13758,65,,65
13765,272,,
13766,272,,
13786,145,,
13787,145,,
