bus,cluster,foreign,medoid_idx
1,6,,
1000,43,,
10001,36,,
10020,10,,
10025,10,,
10027,36,,
1003,43,,
1004,43,,
10058,40,,
10064,44,,
10071,37,,
10073,37,,
10086,20,,
10087,20,,
10101,39,,
10103,39,,
10135,31,,
10136,31,,
10169,20,,
1018,13,,
10181,27,,
10188,44,,
10189,44,,
1019,13,,
10209,11,,
10210,11,,
10212,11,,
10213,11,,
1023,14,,
10236,20,,
1024,14,,
10245,20,,
10246,20,,
10261,17,,
10266,17,,
10272,31,,
10276,21,,
1029,42,,
10294,26,,
1030,42,,
10304,10,,
10305,10,,
10306,10,,
10307,31,,
10310,10,,
10321,39,,
10374,31,,
1038,42,,
10385,37,,
1039,42,,
10392,14,,
10398,36,,
1040,42,,
1043,42,,
10443,10,,
10467,10,,
10468,10,,
10490,36,,
10493,36,,
10495,36,,
105,40,,
10500,36,,
10501,36,,
10504,26,,
10520,31,,
10522,31,,
10555,10,,
10557,10,,
10559,10,,
10566,40,,
106,40,,
10648,31,,
10660,44,,
10720,19,,
10721,19,,
10727,20,,
10736,13,,
1074,42,,
10743,10,,
10746,10,,
10748,10,,
1079,42,,
10854,14,,
10855,14,,
10866,16,,
1088,42,,
10892,20,,
109,40,,
10941,13,,
10951,44,,
10955,44,,
10978,8,,
10979,8,,
10983,8,,
10986,21,,
10993,3,,
10998,13,,
11000,20,,
11008,40,,
11014,6,,
11015,6,,
11017,6,,
11022,14,,
11023,14,,
11024,14,,
11028,14,,
1103,42,,
11031,14,,
11043,42,,
11047,42,,
11048,42,,
11066,42,,
11067,42,,
11073,42,,
11077,13,,
11078,13,,
1108,42,,
11085,36,,
11087,38,,
11094,28,,
11100,19,,
11102,35,,
11117,44,,
11124,26,,
11127,26,,
11131,39,,
11132,39,,
11133,39,,
11134,39,,
11139,39,,
11140,39,,
11145,44,,
11157,35,,
11158,35,,
11161,35,,
11163,35,,
11169,35,,
11174,44,,
11175,44,,
11177,44,,
11181,44,,
11182,44,,
11183,44,,
11199,31,,
112,6,,
11200,31,,
1121,40,,
11222,6,,
11232,39,,
11238,44,,
11239,44,,
1124,40,,
11244,15,,
11246,15,,
11247,15,,
11249,18,,
1125,40,,
11253,15,,
11256,31,,
11276,39,,
11287,15,,
11290,17,,
113,6,,
11318,38,,
11319,38,,
11320,38,,
11337,17,,
11355,38,,
11420,14,,
11421,14,,14
11433,36,,
11437,27,,
11444,27,,
11454,10,,
11473,36,,
11474,36,,
11476,36,,
11478,36,,
11495,35,,
11503,9,,
11509,9,,
11510,9,,
11513,15,,
11516,15,,
11517,15,,
11522,26,,
11523,26,,
11528,26,,
11533,42,,
11545,6,,
11546,26,,
11547,3,,
11549,26,,
11571,20,,
11581,15,,
11582,15,,
11603,38,,
11604,38,,
11606,38,,
11620,13,,
11621,13,,
11637,15,,
11638,15,,
11639,15,,
11647,44,,
1165,6,,
11689,7,,
11690,7,,
11712,44,,
11713,44,,
11715,6,,
11716,6,,
11724,13,,
11732,19,,
11761,38,,
11762,38,,
11764,38,,
11765,38,,
11780,40,,
11790,8,,
11808,6,,
11809,6,,
11810,6,,
11830,28,,
11831,28,,
11842,15,,
11843,15,,
11847,15,,
11853,7,,
11854,7,,
11855,7,,
11856,7,,
1188,18,,
1189,18,,
11908,17,,
11909,17,,
1191,18,,
11912,17,,
11937,35,,
11939,35,,
11941,35,,
11945,35,,
11946,35,,
11949,35,,
11950,35,,
11971,44,,
11984,10,,
12,33,,
1204,16,,
12045,14,,
12047,14,,
