,PV,KWK
0,0,1.35317701344129
1,0,1.35965658713273
2,0,1.35887048142729
3,0,1.39069764865924
4,0,1.39911067074801
5,0,1.41557608043468
6,0,1.87049139069396
7,0,1.85809415704957
8,0.012,1.92753880402933
9,0.057,1.7478225091151
10,0.093,1.83796008270478
11,0.095,1.81353849629151
12,0.073,1.65575835041017
13,0.045,1.651345448357
14,0.007,1.76763922572859
15,0,1.82916655011794
16,0,1.82178965221423
17,0,1.81948473536746
18,0,1.72120707340603
19,0,1.75088225643885
20,0,1.64740114021363
21,0,1.67664577679191
22,0,1.6866796763395
23,0,1.32939347364063
24,0,1.35989566256514
25,0,1.35806946540501
26,0,1.39491605339567
27,0,1.39559116502215
28,0,1.39688374784865
29,0,1.38702387964187
30,0,1.94613299716605
31,0,1.8282104579916
32,0.022,1.66631797927278
33,0.071,1.81756551627935
34,0.096,1.84389278192792
35,0.093,1.75450450661236
36,0.064,1.6004816422538
37,0.036,1.66159610056686
38,0.011,2.11298674279806
39,0,1.84852076721094
40,0,1.96706906160654
41,0,1.85727032462093
42,0,1.69559322481875
43,0,1.74243280523354
44,0,1.72862492138397
45,0,1.82878251741148
46,0,1.73571739755365
47,0,1.36300763987692
48,0,1.46944121746936
49,0,1.41267151704751
50,0,1.40547538108009
51,0,1.45001188523037
52,0,1.45194887578052
53,0,1.48686507587716
54,0,1.91283538539002
55,0,1.84167005847297
56,0.023,1.81049421611346
57,0.074,1.97384621479078
58,0.099,1.86255618945089
59,0.102,1.87344890997009
60,0.083,1.76475020502349
61,0.05,1.79950828176446
62,0.011,1.83306767629896
63,0,1.84585078456863
64,0,1.94480867157901
65,0,2.04360328279482
66,0,1.8087454857473
67,0,1.75474700729123
68,0,1.68392622427181
69,0,1.66226440683265
70,0,1.69510908135764
71,0,1.37154771044168
72,0,1.36581260008526
73,0,1.35798521580269
74,0,1.36483226829469
75,0,1.43680681822571
76,0,1.43389446738587
77,0,1.45130158572415
78,0,1.91901641911786
79,0,1.8908003233548
80,0.007,1.75553401457161
81,0.016,1.82724334102462
82,0.044,1.86864536220157
83,0.059,1.79064424056382
84,0.049,1.61913950829861
85,0.026,1.76706946246518
86,0.002,1.87482885837061
87,0,1.86711910471551
88,0,1.84839167213848
89,0,1.88853915187983
90,0,1.7585930653484
91,0,1.77999516395636
92,0,1.70590789732742
93,0,1.72954004274358
94,0,1.78722696195673
95,0,1.41556707164544
96,0,1.35314051627701
97,0,1.38170634409819
98,0,1.35275883648701
99,0,1.3730121752323
100,0,1.37343942224935
101,0,1.43227193873445
102,0,1.88268211938681
103,0,1.86865121120389
104,0.011,1.72533735458326
105,0.045,1.89975498763989
106,0.081,1.77001664109523
107,0.094,1.81850123317654
108,0.082,1.64895183683404
109,0.05,1.85758916211132
110,0.01,1.76159059938859
111,0,1.80725061802748
112,0,1.81170570377958
113,0,1.77706618504665
114,0,1.70198045784416
115,0,1.78748961919789
116,0,1.83089428954583
117,0,1.65848697974163
118,0,1.67032884867701
119,0,1.37256536530791
120,0,1.43852271224848
121,0,1.41238035260523
122,0,1.42543737492795
123,0,1.43482706544193
124,0,1.47809199051875
125,0,1.52601874489624
126,0,1.84488047879923
127,0,1.78923686353896
128,0.004,1.73624725473533
129,0.019,1.83719998580986
130,0.026,1.82445339284823
131,0.038,1.69033840813423
132,0.042,1.64862913779497
133,0.025,1.75296265688958
134,0.005,1.84304628330657
135,0,1.78385539193581
136,0,1.96036782209133
137,0,1.81934541295217
138,0,1.68702050187994
139,0,1.75022330321952
140,0,1.703760180794
141,0,1.71823319706976
142,0,1.71761157511302
143,0,1.4222586253275
144,0,1.4497796907822
145,0,1.4286405799238
146,0,1.4232955477076
147,0,1.46824639822481
148,0,1.4667758387226
149,0,1.49672654818069
150,0,1.92087004679709
151,0,1.79457527875373
152,0.015,1.73303971990606
153,0.044,1.72668643669269
154,0.056,1.82976370631063
155,0.047,1.75794025558334
156,0.014,1.71389283748212
157,0.001,1.7269136416637
158,0,1.80845437656964
159,0,1.80635153129561
160,0,1.89266627055485
161,0,1.79993353581164
162,0,1.69703779830404
163,0,1.75609237999979
164,0,1.68678929701256
165,0,1.65889837496996
166,0,1.65306011596284
167,0,1.40806929892768
168,0,1.46985054585129
169,0,1.42802472000981
170,0,1.42548239082288
171,0,1.44432924695713
172,0,1.44315778239047
173,0,1.45748628773624
174,0,1.88088012855364
175,0,1.78562487536328
176,0.005,1.80163349946765
177,0.048,1.71064655747415
178,0.098,1.74812011581912
179,0.111,1.70988033956042
180,0.093,1.59047314474113
181,0.052,1.72737936985945
182,0.011,1.79130392871436
183,0,1.82011288149917
184,0,1.77940923273012
185,0,1.90108833148104
186,0,1.81023235869273
187,0,1.70526080928991
188,0,1.92223788907161
189,0,1.63331408512482
190,0,1.63252067030977
191,0,1.34871243029227
192,0,1.38648249396244
193,0,1.38696493952575
194,0,1.37937278061355
195,0,1.42683143525197
196,0,1.40432123661885
197,0,1.44516816348361
198,0,2.02507248795463
199,0,1.86067652839321
200,0.03,1.81270240242743
201,0.082,1.86630331103623
202,0.11,1.88080484421451
203,0.107,1.75162404829496
204,0.079,1.58655991214373
205,0.043,1.75303193833532
206,0.016,1.89531384332608
207,0,1.83696127017726
208,0,1.91713455433591
209,0,2.06102283489674
210,0,1.81008584197406
211,0,1.781570321348
212,0,1.63832107830256
213,0,1.6228018072632
214,0,1.65990227038803
215,0,1.29203854178421
216,0,1.4115996255381
217,0,1.40278858197662
218,0,1.39827338094225
219,0,1.44445348336938
220,0,1.44846752105428
221,0,1.48660865999339
222,0,2.01528527155718
223,0,1.94860641611733
224,0.009,1.7979152815298
225,0.043,1.81914947371948
226,0.075,1.87567674060923
227,0.093,1.83465780736176
228,0.078,1.57293959077677
229,0.042,1.74425266791693
230,0.004,1.90503909241845
231,0,2.02662971591741
232,0,1.88682040982189
233,0,2.00164391540006
234,0,1.85463011302982
235,0,1.9321149373203
236,0,1.68661968115131
237,0,1.73881493054327
238,0,1.74648426833994
239,0,1.38640370347892
240,0,1.41920694842985
241,0,1.40272527089742
242,0,1.40685666649079
243,0,1.45212239378112
244,0,1.450794003996
245,0,1.48955445869546
246,0,1.90170449200447
247,0,1.85630819992475
248,0.007,1.73140691449451
249,0.02,1.77925408351634
250,0.024,1.78649332825619
251,0.026,1.79007964704497
252,0.032,1.58863302987591
253,0.03,1.6852330206248
254,0.014,1.87071011587692
255,0,1.82097353248038
256,0,1.90788298013419
257,0,1.82970546644757
258,0,1.69818729619044
259,0,1.84163263656956
260,0,1.69667386396131
261,0,1.73795774667779
262,0,1.68666813641708
263,0,1.41593500281466
264,0,1.36300466901506
265,0,1.35463720862591
266,0,1.35518320734521
267,0,1.38558635580628
268,0,1.38736174738043
269,0,1.38655175746324
270,0,1.91463549733714
271,0,1.8436060214575
272,0.006,1.71317750794964
273,0.007,1.82495622094732
274,0.023,1.83617282441449
275,0.049,1.75781270488272
276,0.05,1.61168572672106
277,0.032,1.73905405230268
278,0.006,1.79473384347452
279,0,2.07100247235272
280,0,1.98273612612828
281,0,1.84097899665866
282,0,1.69212147537566
283,0,1.79985626721272
284,0,1.75520225499993
285,0,1.72136642549841
286,0,1.6880885959951
287,0,1.38188172823605
288,0,1.41345458038016
289,0,1.42299935716865
