,IES,NA_Sp,KWK1_AC,KWK1_W,KWK2_AC,KWK2_W,KWK3_AC,KWK3_W,W_laden,W_entladen,TA,Abw
3827,0.0002928932246069965,0.6117278676199998,4.802183555252526e-07,8.957845656786467e-08,1.2447957426905516,0.3021683789602801,0.49791145242312457,0.1271973592693691,0.00013997759126445708,4.423001971178972e-08,0.5092244840626889,1.422712245217462e-08
3828,0.0017710939295009916,0.602411083135764,4.615403390584305e-07,8.879145654365214e-08,1.2262044361667719,0.29469178831301973,0.4978319014499728,0.1271770397535854,0.00014296224480764332,4.369954795052943e-08,0.5283526253008117,1.4220722465565429e-08
3829,1.6699784457710957e-08,0.5969892653758581,4.6917689955350284e-07,8.846012495388741e-08,1.2091486546833135,0.2877796666874222,0.4977543514843389,0.12715722701183405,0.0001447817739984917,4.334037024957734e-08,0.5436024679426735,1.4207815950716432e-08
3830,1.8579287091821908e-08,0.6075380018491341,4.6755717164614907e-07,8.90522639062545e-08,1.2341644220327752,0.29786465337479723,0.49786519108444566,0.12718554196610093,0.0001413993689079278,4.3913678476285947e-08,0.5196639007739019,1.4131875329305347e-08
3831,9.730546914276111e-08,0.61653348659918,4.688874206681959e-07,8.99568717975731e-08,1.2555023802407017,0.3062439845900319,0.49795365098304134,0.12720814075223227,0.00013762913729098848,4.4576314224221224e-08,0.49633150141224053,1.4139113759937742e-08
3832,0.004539271074929437,0.6211439070208707,4.7283679172061e-07,9.089053073874878e-08,1.2771972790240942,0.3145762604663238,0.4980529814287111,0.12723351742868788,0.00013460450775743983,4.521865067297029e-08,0.47091053974957947,1.4117847539070821e-08
3833,0.010243924878770199,0.5993253558170545,4.713506727149763e-07,8.945311884307002e-08,1.2390322377457776,0.29884158712446596,0.49783039940718854,0.12717665454260907,0.00013516448215028463,4.48003048771839e-08,0.5175900949979069,1.409434649647091e-08
3834,0.01917279765987295,0.6161414018811561,4.831103246338841e-07,9.227211144209736e-08,1.3000528823992008,0.32300180230644654,0.4981363088673718,0.1272548029556142,0.00013007111522534342,4.6310632125571184e-08,0.4436679512021144,1.4032298002121432e-08
3835,0.025156354259579114,0.6288553983049359,4.885750690686308e-07,9.494128574390104e-08,1.3442997241387498,0.34038613542403695,0.49843595977756117,0.12733135353321592,0.00012453936798170648,4.699810431132512e-08,0.37530424303948773,1.3973357703239734e-08
3836,0.025128703766549337,0.5781209155666318,4.757889751072497e-07,8.985741805799115e-08,1.2239510974352015,0.2928120645293584,0.49786832353604227,0.1271863413973963,0.00013793019039757954,4.4495315561102074e-08,0.5386479882167765,1.430032804362683e-08
3837,0.02082568297200126,0.5751943555485488,4.75288923107442e-07,8.968375401677909e-08,1.2067262417553835,0.2863217694036592,0.4978811080374025,0.12718960469913285,0.00014493879423355805,4.3567766225290424e-08,0.5557750325395134,1.4396224441726065e-08
3838,0.014070650208266,0.5710800097174499,4.741988206546921e-07,8.955995695791966e-08,1.1809157687479719,0.2760341576331564,0.4978048667080349,0.12717013366210725,0.00015075251599249066,4.270651173174921e-08,0.5763268369116515,1.441447753542007e-08
3839,0.011076914959177757,0.5687189209056813,4.664326465064761e-07,8.953003233298589e-08,1.1682100903279728,0.2708200414109691,0.49775630964395734,0.12715773088522883,0.0001540515757450294,4.214799971451323e-08,0.5859576080567118,1.4438105226348972e-08
3840,0.008355053696365055,0.5696566322063453,4.728171658641145e-07,8.952241126710563e-08,1.1640020737310663,0.269009064555812,0.4977121778398854,0.12714645564196347,0.0001553287155639778,4.199972727149413e-08,0.589342197614192,1.4391271375660386e-08
3841,0.007632847718067129,0.5698648315836128,4.6329747060980253e-07,8.943732783342367e-08,1.162834861640023,0.268245703640844,0.4976496137245042,0.12713047024591248,0.00015544556781174428,4.205769675328934e-08,0.5907963771438645,1.4422327203256544e-08
3842,0.007390413758655029,0.5704033101731587,4.7394642055387237e-07,8.914379913968234e-08,1.163619376248419,0.26821952186100306,0.49756157041634785,0.12710797885029912,0.00015473527036571877,4.2147216557059506e-08,0.590700551877051,1.4376416157187301e-08
3843,0.006565579954380759,0.5719593609029362,4.618898787889236e-07,8.873592222454333e-08,1.1654746218425,0.2681114105537565,0.49743528959133954,0.12707571822249183,0.0001538821930334555,4.2183131227848825e-08,0.5914229997425746,1.4365923685714314e-08
3844,0.0046894816501871495,0.5764586701743214,4.6827583322084365e-07,8.867056791966494e-08,1.1717190832570532,0.27057106364156097,0.4974367014596982,0.1270760782321715,0.00015147096527275893,4.264471041831801e-08,0.5873044370225186,1.4394038369133698e-08
3845,0.0019269969166223191,0.5868232254805759,4.669974713600311e-07,8.888197748479782e-08,1.1897531207613732,0.27810179885192676,0.497509768156646,0.1270947450492837,0.0001467807509674754,4.340939864152659e-08,0.574282108892545,1.4283501112107921e-08
3846,0.0017098783494937687,0.6206415118306123,4.785549683195001e-07,9.105030694788327e-08,1.2693929858203141,0.3111177163203932,0.4979108917840317,0.12719721770320358,0.0001363975164564738,4.4599641352353276e-08,0.4999773064624704,1.4192676863371871e-08
3847,0.009529490410626191,0.5934829800522846,4.7168207051306865e-07,8.914892455746387e-08,1.2235509521321486,0.2918355976215957,0.4976865228577213,0.1271399003137196,0.0001416541579678598,4.4213708360023785e-08,0.5476154960079535,1.421854634347109e-08
3848,0.013094594226423194,0.5830671338794913,4.643981081908777e-07,8.883600285055786e-08,1.2072937925971063,0.2848825388039904,0.49762670301533984,0.1271246157609478,0.0001440516472824315,4.37767998994778e-08,0.5617925496004249,1.4233691478480069e-08
3849,0.011285030941854608,0.5881291910045799,4.6826697031043807e-07,8.88612055791397e-08,1.2149963231701906,0.28823704973311987,0.4976725641762125,0.12713633215165593,0.00014326192191422107,4.387714091651336e-08,0.554469690513863,1.4225249530227868e-08
3850,0.004885322521255906,0.6005504031053998,4.662397912191807e-07,8.91889356900482e-08,1.2292706700998959,0.2944132110431304,0.4977417071226116,0.12715399628419405,0.0001408927877881433,4.4256092421929834e-08,0.5397564813122463,1.4153963794296656e-08
3851,0.004422190693005546,0.6160518712362315,4.7488501109249626e-07,9.054418953762923e-08,1.264908618743715,0.30911138711885144,0.49792698363224386,0.12720133029509265,0.00013719601182611096,4.476844093776136e-08,0.5020054438429574,1.415994730549025e-08
