name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom
5496,9106,9105,AC,39.309217800000006,11.3655074,8.740433659279779e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.8030381462731128,17.43553526890922,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613c466c20>,380.0
5558,9109,32104,AC,0.5491784699999999,0.15878512799999997,1.221104012465374e-07,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.013249379332118937,0.2876700461969714,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613c466bc0>,380.0
24632,9109,34898,AC,0.21249037599999998,0.061437723599999994,1.1811859951523547e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.002295747490171781,0.04984518670646881,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d4f16f0>,380.0
5510,9109,9106,AC,7.726843999999999,2.2340773799999996,1.7180706540166207e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.15784096231376663,3.4270372809466534,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x716137d44f10>,380.0
5560,9111,32613,AC,0.5302367999999998,0.15330803599999998,2.9474644736842107e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.0062859881639831736,0.13648114830126612,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613ecf5f00>,380.0
5559,9111,9104,AC,22.331604399999996,6.456759359999999,4.965448509695291e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.45597966360623665,9.900214010516041,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d4f0910>,380.0
5562,9116,32253,AC,29.941701,8.6570688,6.6575587645429375e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.6185586915501723,13.430124001538317,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7161357d1300>,380.0
24633,9116,32264,AC,0.12886212679999998,0.037258087999999995,7.163149806786704e-09,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.0014797432487034846,0.03212813204632661,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x716135792a40>,380.0
10859,913,912,AC,14.3906152,4.1607777,3.199768243767313e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.29426151950135754,6.388995498358084,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d60dd20>,380.0
5571,9134,35078,AC,2.438843799999999,0.8461767799999999,1.2055715742936288e-05,1040.0,True,1040.0,6218.755219495297,1.0,40.0,0.7294507041160142,5.233786192273553,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613f06f0a0>,380.0
14717,9134,8900,AC,6.011862959999999,2.0858652199999996,2.9717904343490308e-05,1040.0,True,1040.0,6218.755219495297,1.0,40.0,1.7858671558927013,12.813541489514426,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613ee64430>,380.0
14830,9135,9129,AC,0.5960594025025876,0.20680763709139818,1.1792615756232686e-05,2080.0,True,2080.0,6218.755219495297,1.0,40.0,0.35440158415611134,2.5428203814320067,4.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x716143df1d20>,380.0
28833,9146,33904,AC,0.735950484,0.255343964,9.094891863711912e-07,520.0,True,520.0,6218.755219495297,1.0,40.0,0.1422422625981777,1.0205838252583126,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613ee450c0>,380.0
14838,9146,8911,AC,2.2408665866666664,0.7774881066666666,2.4923394578393354e-05,1560.0,True,1560.0,6218.755219495296,1.0,40.0,0.9991383930754234,7.168787001426838,3.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613f06c550>,380.0
15266,9152,10001,AC,32.234845199999995,9.320105466666666,1.612673704570637e-05,780.0,True,780.0,1554.688804873824,1.0,40.0,0.9878042407653667,21.447170048613298,3.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d6d9a50>,380.0
5578,9153,32004,AC,13.685437799999997,3.9568849,3.0429554279778395e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.2801163807421865,6.081876755788084,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d4bb5e0>,380.0
15232,9153,35114,AC,14.415307599999998,4.167918279999999,3.2052636883656515e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.2947476700374192,6.399550781263186,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613cd2d8d0>,380.0
24635,9155,32003,AC,0.5586008160480812,0.1049070297920145,5.2297368102493085e-05,1120.0,True,1120.0,3109.3776097476484,1.0,40.0,0.09231499601228088,2.0043398639171577,4.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d4bb4c0>,380.0
5580,9155,9153,AC,24.492911399999997,7.0816647999999995,5.4460058753462606e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.5008614853902156,10.874686506348539,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d4bb6d0>,380.0
14848,9157,3935,AC,0.363091634,0.10498096599999998,8.0733759099723e-08,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.007410736763116389,0.1609016493196248,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d4bb250>,380.0
14851,9159,10294,AC,41.59781339999999,12.027220399999997,9.249299662049861e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.8496315491734012,18.44716955220787,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x716137dc0610>,380.0
14850,9159,9157,AC,3.9522640999999994,1.14272745,3.5151662069252076e-06,1040.0,True,1040.0,1554.6888048738242,1.0,40.0,0.16133632096294553,3.5029283818714143,4.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d4bb640>,380.0
