,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,10 battery,11 battery,11 pumped_hydro,12 battery,12 pumped_hydro,13 battery,13 pumped_hydro,14 battery,14 pumped_hydro,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,5 battery,5 pumped_hydro,6 battery,6 pumped_hydro,7 battery,9 battery,9 pumped_hydro
0,15.632257970675942,362.2308532784445,6373.0663074014365,8213.60681173878,1465.8608199283105,1573.3930849932076,1216.1666795718554,870.9089219204374,114.33158195525041,30.53921688888031,2322.327421472018,26.9720861175389,1661.0636626137398,14.461062044658888,5402.067264755367,16.16973688286589,867.9436391895372,646.8192831575689,58883.9072458829,10642.556555791407,24636.602869235874,19399.476695404785,16.67224989572704,266.52065044523306,457.4335560278086
1,5.621570351916837,360.28349055810554,6366.341246296746,8213.534941889613,2305.246509541991,2780.97850108944,2078.4507859577693,1565.841160594642,196.27229927815355,12.237971137648568,2320.1157624001125,11.394731563033973,1659.5695992777682,5.408807463314621,5399.409839268708,6.470707234304893,866.5264149723395,1084.233428824378,58884.54962380783,10642.511142095325,19585.850540921612,14776.450995597028,6.280597814296925,438.2182779183712,765.2390961935979
2,440.7981484822377,433.74268217858673,6359.765734228768,8213.472326020747,3019.3840915377255,4608.269709011272,3474.787075084355,2241.578171526483,263.5918089876921,717.2179038913938,2529.5448129235965,1056.744086493384,1812.0578392774169,390.5125356940192,5644.702263291938,372.49296839680966,954.8530505825602,1545.978748292169,58882.90095552458,10642.419486533327,14535.697349883243,11377.961201344857,817.5466113416005,633.9780878368082,1522.0983600519617
3,995.2458318259414,517.6543991626776,6353.454047296265,8213.435325589273,3768.379196941098,7034.571942377556,5416.065837614616,2910.7746844836456,322.90248113581475,2528.0937266023093,3019.478771719722,2979.7489828593875,2093.8449856157317,850.6509102927344,6224.914649308353,732.0382796210484,1082.0077884010193,2066.2387639620847,58878.46043264861,10642.329607526706,11751.355974767519,11379.022533081436,2295.9165805206517,1069.8347113054053,2570.2733147321055
4,1618.0799645267316,601.676357444875,6348.183157366483,8213.41090527788,4814.132842444776,9921.342764896035,7622.49245344587,3621.8251424913274,378.3520624125031,6270.9961159390305,3777.2275023392585,5397.734787690048,2450.9738191553606,1345.5746910768758,7274.443295253689,1088.5888056947085,1225.4753249972794,2668.606013443003,58870.467287538464,10642.22060950661,12771.139088142585,12162.687911248644,3926.62059401821,1653.7767178054248,3695.0804137558725
5,2351.7500495557174,685.8232330813458,6344.031214830953,8213.457925506265,5833.758196279873,13015.757745658235,9938.810569409547,4346.476493064882,431.88725216839134,10951.737666374938,4776.24665504829,8124.811447287633,2865.906873899097,1880.0703424924907,9099.503440355056,1488.3396757929763,1382.141806160414,3326.6135543109162,58861.37083445441,10642.178414022304,15852.86208925285,14162.017434792215,5632.976134604692,2115.4949919493506,4757.299758958135
6,2899.4376763975947,766.0047634853001,6337.889702186256,8213.563872659652,6397.0578806434905,15451.580369458905,11921.166111181703,4947.96697954391,479.58541334586613,15058.029567922064,5635.480488536213,10529.903407654932,3247.975052848935,2339.5581124087016,10552.174036386594,1830.8905641212662,1535.6027901241318,3813.041958486559,58852.53874149664,10642.186880431671,20607.40797329995,17539.557253312487,7303.109678095381,2250.2180510949784,5117.252433010252
7,3312.486803712184,843.0592840706626,6332.142944667766,8213.81663653751,6845.236264489771,17164.17648596586,13107.829297773662,5534.783493137053,524.4332425282877,17977.21953171517,6334.884197574016,12547.613528078842,3592.0878342103015,2721.074521781772,11601.74481277397,2141.4510636726345,1687.1655874356873,4163.475473877365,58846.18178932257,10642.362524110678,25347.79807128221,20901.838187684767,8908.947686810865,2351.6382275567103,5333.7034649292045
8,3447.488977455509,897.2461433805095,6328.3000295021975,8214.345213015855,7233.641844994027,17955.44009590705,13567.652322645949,6050.4611153101105,565.8117744890925,18305.65558703841,6511.24666565988,13003.495160031005,3726.531698629144,2844.7673189163756,11821.3646701892,2257.9639718781027,1773.9534168022499,4373.447100095172,58848.75619848081,10642.850765962265,29301.72504449749,23653.16961237919,9299.068343936462,2432.492850466176,5494.873785204864
9,3667.0746421719073,966.0364810227361,6325.143183102936,8214.980009945788,7597.984946050951,18668.174483857234,13991.309058398292,6529.4094685503205,605.7922829115613,18888.579313401224,6807.621207087173,13683.241227366345,3935.3046133570006,3037.52409112828,12208.412822861588,2704.859143454727,1946.097964705863,4576.259175187764,58851.33156564181,10643.426726028447,29693.62400080284,24023.365695719513,9860.274872271086,2518.8212524208075,5657.840457023256
10,4401.231939736033,1058.0217060721511,6321.594474799294,8215.669760110763,7962.903309695473,19489.653595621665,14484.59400229408,7037.694727185592,645.9733386113257,22031.18941875672,7622.379177478203,15513.58418350678,4346.505388631244,3463.1041547496125,13801.620195893698,3506.3504510207085,2199.0418296495063,4808.686413256186,58851.19840895619,10644.01702105971,28879.515510749105,23168.01178659488,8065.210026416659,2620.473020528189,5843.736260837771
11,5675.947293540113,1169.7602458877057,6317.776899427835,8216.403355206221,8322.45293518694,20433.062872821334,15071.56337295317,7594.939632800787,686.747545180261,25965.904664928083,8559.234154993455,17582.087801897935,4811.262179680647,3957.623072947097,15816.466527325978,4591.674830073884,2627.486476277717,5077.220650846529,58849.07972235862,10644.63916143569,27593.983546274943,22172.421132810054,6516.8242047599915,2737.209153141029,6056.913160959139
