,0 AC,1 AC,10 AC,11 AC,11 land_transport_EV,12 AC,12 land_transport_EV,13 AC,13 land_transport_EV,2 AC,3 AC,4 AC,48639 CH4,48640 CH4,48641 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48646 CH4,48647 CH4,48648 CH4,48649 CH4,48650 CH4,5 AC,50834 central_heat,52040 rural_heat,52043 rural_heat,52053 rural_heat,52087 CH4_for_industry,52087 rural_gas_boiler,52101 H2_for_industry,52101 H2_hgv_load,52102 central_heat,52103 central_heat,52104 central_heat,52105 central_heat,52106 central_heat,52107 central_heat,52108 central_heat,52109 central_heat,52110 central_heat,52111 central_heat,52112 central_heat,52114 central_heat,52115 central_heat,52116 central_heat,52117 central_heat,52118 central_heat,52119 central_heat,52120 central_heat,52121 central_heat,52122 central_heat,6 AC,7 AC,8 AC,9 AC
148,8630.290586865129,9352.53304920195,21055.48142447324,26415.253061930925,313.9451512983651,5845.514776828666,75.61566362786107,6550.878281830164,84.25220325221017,5901.902389580872,7901.665177940334,5392.752010166716,12694.338457141484,22158.75468158222,3245.897020713,19738.200599161628,8138.7523688944975,41956.03819195967,75732.01559280777,983.2119496546401,55594.1552995139,6656.996078035471,49832.25721605605,4116.565892184737,50700.0,30.86337410578477,2486.715600209527,739.69438007812,971.4535636093301,21263.0205286496,60686.29999545585,1806.5647899231,3019.572749592712,341.0891279599579,302.6027373785375,310.57504486321517,695.4993029652005,951.2483946432784,190.18017079878774,420.3503862179056,186.370195186395,1007.4708444829963,1583.4895428396483,350.6161920405918,531.3813567646678,1811.3269214478912,371.5147834040338,151.90459738551527,197.52509071634694,20.833459183206582,302.0018662379945,167.03152168104378,511.7463718835005,34028.860079962455,13560.22437840997,19536.55809869527,15116.901454137336
149,8236.269932883377,9122.81300520198,21195.327748271484,26914.09967744653,348.82723784598056,5966.0574199914445,91.0329051464796,6712.45568720269,110.74291525932495,5803.9253069245815,8144.069414039766,5081.262669932908,13545.611846445856,23711.73104054694,3450.8329194039934,21174.634470983703,8743.657578105585,45004.78864564438,104207.81656903708,1050.2003138106743,59735.0172794119,7149.314733847256,53616.49767803611,4417.820896572345,50806.0,34.9963092150739,2718.09326204464,815.499871995734,1068.8693818897,22421.8873216527,66626.44691582724,1840.4146223269,3019.572749592712,368.4688504135761,331.2919757096487,337.0267768584024,748.353307425919,1050.8022653959717,209.76294634555586,456.4793235917849,204.86066857152872,1126.7576625050358,1757.779958576632,387.13480729300045,591.1353222657112,2034.6771629568361,415.0752779330751,168.79037466816027,218.27129597831745,22.660858051465404,335.41073044897445,184.80742033820886,574.4793856580602,30722.518972993767,13629.979345561176,19498.898803641303,14913.585123048802
150,8520.04391622213,9544.11140909592,22048.517525816944,32993.262675785474,1367.2227885613684,7541.422937435012,355.736479165731,8736.04465563322,430.19738467782736,6014.1860336810805,8475.156316491473,5190.4873356453045,12905.320916366692,22543.649564295192,3296.6890229447226,20094.211199985242,8288.67410994855,42711.650755871706,111139.68551070827,999.8145710764879,56620.44045632463,6779.013989121,50770.15609672062,4191.2299454468,50779.0,62.84735141403702,4766.741301985559,1473.11032920947,1870.5752101432,23045.8751818678,118644.7007534848,1869.4450132289,3019.572749592712,562.0943947358403,547.2247630800923,475.47864353392885,1228.0169049070398,1900.96898795857,358.37379289861974,739.689539640934,330.7445815613037,2072.866934631312,3223.4435770498253,622.778178376621,1092.7645857730568,3806.1668028113922,733.2604754421193,314.07351215464325,379.53725374643005,31.190842006351286,595.3314753415483,316.3528053483198,1063.9340443584554,26772.494700048905,15247.800603425472,20178.828667521666,14713.52034422215
151,9115.873474944005,9934.189863688462,22636.59048305967,46010.895684411225,3442.0610776408575,10873.42956445344,864.2542345836991,13254.706367463132,1075.8102309039095,6302.694532198246,8675.164999244738,5453.553888666317,12488.087542193234,21782.491545727335,3196.244092356694,19390.17397921987,7992.1928095046505,41217.37118037223,105925.83427605797,966.9816626849521,54590.88586485402,6537.714570492693,48915.391885277466,4043.576273258134,51996.0,60.17373891574162,4562.3254182936,1403.73447657089,1779.6175537804,22438.1112177212,112978.02215789846,1834.0440056585,3019.572749592712,558.606086232168,536.9345262761867,485.8319408323554,1188.8791864437355,1822.3812513532941,347.16787090991716,720.2800927492816,328.76694091690376,1970.8335112077698,3083.7461514832166,612.3208590969402,1035.701481850214,3611.094179023782,703.6291255683027,297.97588539447975,366.3749654869272,32.62587862561255,569.8651594253625,306.9996319855853,1014.4345617391145,26934.31869566418,16472.797538632964,20717.764168707323,14635.258372860939
152,9788.579477022395,10759.547971115882,23508.298260137348,60791.61061597183,5172.533587414306,14279.289054047791,1297.8741934974678,17763.464248579337,1565.6895902561955,6368.433952001955,9194.239384508925,5999.024741675594,12029.033743296915,20945.040609123425,3085.73129587282,18615.56921181123,7665.994389878921,39573.31593885398,102528.32754766711,930.8578234647381,52357.90355099261,6272.2290613043815,46874.719661952506,3881.122875867588,53900.0,56.9218591976731,4331.67158568929,1338.26658698753,1708.0580713053,22459.459927911,107319.30477515838,1853.3791578418,3019.572749592712,544.9748689064121,513.4952120946907,487.2733400101532,1133.9858633341341,1720.4610627571967,330.2373204690956,699.2332253374086,316.722256325297,1866.355788846239,2899.224646432068,600.4885794331094,978.3619376685531,3403.1606002035355,674.7878386172157,280.42996144637243,351.49027810900793,31.879250223579444,546.145708941211,296.5108120500815,960.9586201787075,29264.668514325953,17862.76118794095,21354.294997228128,15252.981060545775
153,10127.021257340977,10984.732939668023,24117.472728927016,63099.235860498164,4679.1851972385775,14698.426905691098,1176.7845297751483,18306.666472842706,1421.076715756557,6375.017181832682,9324.079823914275,6314.598307959729,11575.708810998445,20118.04083251337,2976.5976690416833,17850.631301292156,7343.866837839864,37949.77805974687,98790.27957024136,895.184799936263,50152.78824928145,6010.0567390877495,44859.51447313523,3720.6968527069384,55663.0,59.75951896244339,4502.182752523736,1384.57259295611,1754.6105070073,21958.7568849461,111487.34938489758,1818.3164706881,3019.572749592712,547.2844361680336,526.5895977157033,472.581118311542,1176.426458105433,1790.7917190978787,341.1968795635935,708.6074648436875,320.07163771976457,1936.1329908125563,3035.5618456804937,600.4631383996028,1018.9839622404925,3551.6022894753555,692.2389059854368,293.3241257484324,357.36391953547934,30.906486311768365,559.5723099320354,301.16509154887444,1001.4653591898482,35193.3538920516,18311.58918224606,21792.170922136233,16475.594788443508
154,10342.744277768903,11328.119007284136,24430.782650908848,60125.247095790044,3527.4571463710163,13869.739746491261,901.8599307804834,17189.43422440724,1095.0649939757132,6620.378200717493,9300.719171280027,6491.930023423585,11249.051999277859,19522.121457526908,2897.958176588856,17299.432456464776,7111.748214708066,36779.889378337306,95098.88141523406,869.4795379927773,48563.826595923754,5821.140646468599,43407.39822044163,3605.0970930004337,56947.0,59.74268122739153,4521.5938247024005,1385.69688187278,1757.22038620699,21781.0557041825,111959.95551883479,1812.6230283044001,3019.572749592712,543.5822229719253,522.5537627735699,462.16445767743403,1184.882103377149,1794.4578065361775,341.54049976530183,708.6930083995559,315.0193257365175,1947.2934095565768,3052.2842482544143,593.6187486207957,1028.5048399030056,3581.7374358487154,690.1652240802051,296.296778358699,357.58969317355985,29.5494330393778,558.27885579753,298.6455826289674,1008.6750068119444,37856.24030023221,18568.130704878036,21977.444552921625,17343.72265404258
155,10521.44899168135,11162.222217476645,24495.19118696681,64951.75290781346,3254.893642349867,15114.872399382539,850.3293261327781,18791.707506399154,1028.2471890540328,6476.569417568638,9307.607096679534,6505.500918016021,11101.86682913912,19253.611843004077,2862.5247594336256,17051.073038123337,7007.160103233917,36252.76042085536,92438.93428637854,857.8972497414335,47847.87155411238,5736.018750226374,42753.10303955082,3553.0101023426264,59018.0,55.62467454959252,4166.267094963539,1273.49206335155,1622.6144818239,21739.0196530313,103063.04429135569,1845.4078316164,3019.572749592712,508.154358854026,483.8325404378681,435.534422285478,1099.663125051734,1657.5646057829042,314.7764759462355,664.7814381855856,290.8778257701113,1806.273448695711,2813.8059160229705,555.755014440435,955.2517180863445,3325.917406365132,643.2417126135539,272.74746171658603,329.27202820793144,27.63507348962903,518.5053638388158,277.387309442291,937.6149942039405,40709.54282016656,18443.807944218162,22007.877801829705,17760.66465679774
156,10415.161987000818,11007.12598795046,24502.43774651186,71835.14012500059,3263.473022709135,17062.8493684575,827.2285108980723,21403.767292134864,1012.4322066558525,6469.852732323811,9320.559959716022,6459.096891284284,10936.47340384058,18951.884944637473,2822.7078795957204,16771.989113663258,6889.633412291412,35660.42041968671,91240.41413717823,844.8821183604724,47043.34582225145,5640.366437061009,42017.86510068883,3494.4794379403143,56974.0,47.6885531616756,3518.9021106724203,1079.91264922018,1386.14516990222,21975.8837005803,87033.27080471623,1855.8787574506,3019.572749592712,446.17131942360743,417.86431697177915,398.16721504445087,941.7719938388584,1409.3274190785285,268.30344303325484,579.4246767378725,252.79587681578866,1538.8793360569084,2376.140279406885,491.88348033649225,807.39756077545,2843.4840582922534,553.8184327585277,229.39677242224914,283.69769721198617,25.046440440738998,449.6414375637811,239.53241221309798,803.0767654154929,42153.15116774344,18446.100436704073,22121.896185881662,18066.09929990021
157,10127.272699573765,10829.420663586141,24569.023551696948,58465.86473273898,3414.0645210279617,13664.32279398442,863.5444970098324,16964.40787135296,1062.072581466753,6380.670638248515,9280.909986686183,6435.701248300292,10947.36416686308,18971.75294206055,2825.329726273285,16790.36612519922,6897.372264894308,35699.42459757244,89893.62524140361,845.739133754651,47096.32192499185,5646.664914000813,42066.27876733154,3498.3335427477114,54648.0,54.52716813689889,4063.0753733591,1249.63889444701,1586.26494947336,21194.0095151084,100870.32710565672,1800.7588370567998,3019.572749592712,490.51317433037593,465.5426215961864,413.158658170257,1089.284539784329,1614.5492552797964,304.5153378581019,647.6125988958867,276.78938672974124,1769.6476236614428,2738.639207299792,531.3340143896993,930.1694704961643,3264.655399824586,625.8904861864324,266.2219447440881,319.16253313993,25.445951770645266,508.4537446715094,266.5668338849133,917.622051048156,43115.25178437078,18363.704671098883,22349.10960232598,18402.05300355666
