name,scn_name,bus,carrier,p_nom,p_nom_extendable,p_nom_min,p_max_pu,capital_cost,cyclic_state_of_charge,max_hours,efficiency_store,efficiency_dispatch,control,p_nom_opt
0 battery,eGon2035_lowflex,0,battery,1767.57494945,False,0.0,1.0,0.0,True,6.0,0.9797958971132712,0.9797958971132712,,1767.57494945
0 pumped_hydro,eGon2035_lowflex,0,pumped_hydro,300.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,,300.0
1 battery,eGon2035_lowflex,1,battery,1350.0,False,0.0,1.0,0.0,True,6.0,0.9797958971132712,0.9797958971132712,,1350.0
1 pumped_hydro,eGon2035_lowflex,1,pumped_hydro,1395.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,,1395.0
10 battery,eGon2035_lowflex,10,battery,2623.0080286700004,False,0.0,0.9999999999999998,0.0,True,5.999999999999998,0.9797958971132712,0.9797958971132712,,2623.0080286700004
11 battery,eGon2035_lowflex,11,battery,0.0,True,10684.674135520578,1.0,1242.0429193376096,True,6.0,0.9797958971132712,0.9797958971132712,,10684.80244065326
11 pumped_hydro,eGon2035_lowflex,11,pumped_hydro,3360.0,False,0.0,1.0,0.0,True,6.000000000000001,0.8660254037844386,0.8660254037844386,,3360.0
12 battery,eGon2035_lowflex,12,battery,0.0,True,2677.8100710981735,1.0,1242.0429193376096,True,6.000000000000001,0.9797958971132712,0.9797958971132712,,2678.489497077893
12 pumped_hydro,eGon2035_lowflex,12,pumped_hydro,339.1,False,0.0,0.9999999999999999,0.0,True,5.999999999999999,0.8660254037844386,0.8660254037844386,,339.1
13 battery,eGon2035_lowflex,13,battery,0.0,True,3437.515793381248,1.0,1242.0429193376096,True,6.0,0.9797958971132712,0.9797958971132712,,3440.6426100315166
13 pumped_hydro,eGon2035_lowflex,13,pumped_hydro,3076.1,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,,3076.1
2 battery,eGon2035_lowflex,2,battery,1047.2089756,False,0.0,1.0,0.0,True,6.0,0.9797958971132712,0.9797958971132712,,1047.2089756
2 pumped_hydro,eGon2035_lowflex,2,pumped_hydro,3989.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,,3989.0
3 battery,eGon2035_lowflex,3,battery,1337.0050395500002,False,0.0,1.0,0.0,True,6.0,0.9797958971132712,0.9797958971132712,,1337.0050395500002
3 pumped_hydro,eGon2035_lowflex,3,pumped_hydro,687.5999756,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,,687.5999756
4 battery,eGon2035_lowflex,4,battery,1191.17601695,False,0.0,1.0,0.0,True,6.0,0.9797958971132712,0.9797958971132712,,1191.17601695
5 battery,eGon2035_lowflex,5,battery,10432.467792820002,False,0.0,1.0,0.0,True,6.0,0.9797958971132712,0.9797958971132712,,10432.467792820002
5 pumped_hydro,eGon2035_lowflex,5,pumped_hydro,1800.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,,1800.0
6 battery,eGon2035_lowflex,6,battery,4949.000779534999,False,0.0,1.0,0.0,True,6.0,0.9797958971132712,0.9797958971132712,,4949.000779534999
6 pumped_hydro,eGon2035_lowflex,6,pumped_hydro,4004.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,,4004.0
7 battery,eGon2035_lowflex,7,battery,2025.02449595,False,0.0,1.0,0.0,True,6.0,0.9797958971132712,0.9797958971132712,,2025.02449595
9 battery,eGon2035_lowflex,9,battery,625.0,False,0.0,1.0,0.0,True,6.0,0.9797958971132712,0.9797958971132712,,625.0
9 pumped_hydro,eGon2035_lowflex,9,pumped_hydro,1323.099976,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,,1323.099976
