name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom,x_pu_eff,r_pu_eff,s_nom_opt,country
0,0,10,AC,12.424984252728876,1.5171507135518834,6.65643741132493e-05,5140.0,True,5140.0,15405.552702840621,0.6392996108949416,40.0,19.525118625579022,121.34281468760227,8.0,,380.0,8.6045597318067e-05,1.0506583888863458e-05,5291.507543540632,DE
1,0,11,AC,390.09628385244497,112.78908044273633,8.730976338957185e-05,520.0,True,520.0,1554.6888048738242,0.5,40.0,44.890888360404574,174.04809803800887,2.0,,380.0,0.0027014978106124996,0.0007810878147003901,523.5468080973058,DE
10,1,9,AC,39.87964084917138,4.442931429891907,4.589901961960745e-06,3580.0,True,3580.0,10741.486288219148,0.6999999999999998,40.0,22.559364186201737,317.94466549032364,2.0,,380.0,0.00027617479812445554,3.076822319869741e-05,3585.2888291633612,DE
11,10,11,AC,10.673121433948609,1.228872085822777,0.00014408727947191004,4100.0,True,4100.0,12296.175093092972,0.6746341463414633,40.0,59.88487400195269,160.35016604914838,4.0,,380.0,7.391358333759425e-05,8.510194500157736e-06,6423.563492331807,DE
12,10,3,AC,7.301492366750315,0.8539564836923919,0.0003833868115522017,4360.0,True,4360.0,13850.863897966796,0.6642201834862385,39.99999999999999,65.28610004511671,178.09845923070273,5.0,,380.0,5.056435157029304e-05,5.9138260643517445e-06,13069.205613778186,DE
13,10,6,AC,2.054123504854246,0.26306447625999446,0.0008737163296946481,14640.0,True,14640.0,50880.72452314333,0.6751366120218578,40.0,25.08625278923802,93.19446265787339,17.0,,380.0,1.4225232028076496e-05,1.8217761513850032e-06,22503.38542250611,DE
14,11,3,AC,22.805684776588283,2.871547114926619,0.00010933004301745105,4620.0,True,4620.0,16960.241507714447,0.7,40.0,85.29513072548292,233.40095214454024,4.0,,380.0,0.00015793410510102688,1.9886060352677417e-05,4622.2275167054095,DE
15,11,5,AC,11.637033768089278,1.3401387145746133,4.661620547185131e-06,8200.0,True,8200.0,24592.350186185948,0.6746341463414635,40.0,69.78100696690454,195.4063972175852,8.0,,380.0,8.058887651031356e-05,9.280739020599815e-06,8202.789242959514,DE
16,11,7,AC,11.32240866964248,1.7752630870442965,0.00022623791267972084,6960.0,True,6960.0,32507.129556452688,0.6775862068965517,40.0,54.39491440837514,158.4443485799463,10.0,,380.0,7.841003233824432e-05,1.2294065699752746e-05,6965.42139665404,DE
17,11,9,AC,691.9730109980998,200.07060163590108,0.0001550239636901799,520.0,True,520.0,1554.6888048738242,0.5,40.0,79.93073838842315,309.9023766156837,2.0,,380.0,0.004792056862867727,0.0013855304822430823,523.8902284878525,DE
18,12,13,AC,17.44685028680264,2.22768429265412,0.0002935467975640278,5140.0,True,5140.0,20069.619117462094,0.6595330739299611,40.0,39.58768795864031,174.53174623872667,7.0,,380.0,0.00012082306292799613,1.542717654192604e-05,5149.11570116226,DE
19,12,2,AC,6.437384215073181,0.7333812215370548,0.0015873482652162209,11780.0,True,11780.0,36888.52527927891,0.6823429541595925,39.99999999999999,79.36665867761374,159.63976681207464,10.0,,380.0,4.4580223096074665e-05,5.0788173236638145e-06,11782.98819367269,DE
2,0,13,AC,14.694144357840397,4.647929511556701,0.0007538600442621882,3380.0,True,3380.0,13992.199243864416,0.5615384615384615,40.0,42.20196278753585,105.80312475691187,11.0,,380.0,0.0001017600024781191,3.218787750385527e-05,5426.187603249405,DE
20,12,43785,AC,9.349738604744935,1.0416401762443763,8.648011855571204e-07,3580.0,True,3580.0,10741.486288219148,0.6999999999999997,40.0,3.0581697189306096,161.50325860870268,2.0,,380.0,6.474888230432781e-05,7.213574627731138e-06,7582.811464190947,NL
21,12,7,AC,0.01477410665359621,0.0,0.0012365099474148443,20480.0,True,18280.0,inf,0.6455078125,40.0,286.21102589915483,118.58527926717751,28.0,,380.0,1.0231375798889342e-07,0.0,26422.367725597953,DE
22,12,9,AC,12.271180698662008,1.3902833157761283,0.00011132325176060899,7680.0,True,7680.0,23037.661381312122,0.6864583333333333,40.0,26.291495966827707,201.23181802558244,5.0,,380.0,8.498047575250697e-05,9.628000801773742e-06,7703.686337204669,DE
23,13,43785,AC,5.300773663537737,0.5905508283977524,1.4065223032481376e-06,3580.0,True,3580.0,10741.486288219148,0.7,40.0,2.915416595593082,126.23520926590373,2.0,,380.0,3.670895888876549e-05,4.089687177269753e-06,10741.26311936365,NL
24,13,7,AC,5.599144551751194,0.6715742830461301,0.0015072472862877398,8720.0,True,8720.0,41552.591693900395,0.6761467889908257,39.99999999999999,60.56313706119067,126.74270152217233,9.0,,380.0,3.877523927805536e-05,4.650791433837466e-06,10487.763551632277,DE
25,14,4,AC,51.3625346838218,5.722220900258603,0.0009030868267120457,1790.0,True,1790.0,10741.486288219148,0.7,40.0,160.0025294331314,205.0023552337609,1.0,,380.0,0.0003556962235721731,3.9627568561347666e-05,1791.5160269229614,DE
26,14,8,AC,9.303827968328726,1.4006689207983543,0.003386631842046428,10830.0,True,10830.0,49467.371064167135,0.6471837488457987,40.0,108.86468817367415,183.697148017552,14.0,,380.0,6.44309416089247e-05,9.69992327422683e-06,10833.2968364322,DE
27,14,9,AC,11.870084747825006,1.5252489834255332,0.0013745239845551756,7450.0,True,7450.0,30811.105405681246,0.6720805369127517,40.0,67.42511290447068,177.72963308428552,6.0,,380.0,8.220280296277705e-05,1.0562666090204523e-05,7453.003704128351,DE
