,0 battery,1 battery,1 pumped_hydro,10 battery,10 pumped_hydro,11 battery,11 pumped_hydro,12 battery,12 pumped_hydro,13 battery,14 battery,14 pumped_hydro,15 battery,15 pumped_hydro,2 battery,2 pumped_hydro,3 battery,4 battery,4 pumped_hydro,43775 battery,43775 pumped_hydro,43776 battery,43776 pumped_hydro,43777 battery,43777 pumped_hydro,43778 battery,43778 pumped_hydro,43779 battery,43780 battery,43781 battery,43781 pumped_hydro,43782 battery,43783 battery,43783 pumped_hydro,43785 battery,43787 battery,43787 pumped_hydro,43788 battery,5 battery,6 battery,7 battery,7 pumped_hydro,8 battery,8 pumped_hydro,9 battery,9 pumped_hydro
0,795.9709685177976,3319.191559934265,3157.6173066348206,313.7428652003075,198.73428416882106,237.80040389246741,242.04172108104984,6828.012875412416,898.0639996006123,4297.100687647649,12.788591580121418,28.218787851919473,20.519483367875335,43.797157710092044,222.18541867106507,454.7131381108733,13258.495491958005,32.75783051068335,25.106041054314403,38.04172678517236,37.74124359107106,10.56746220028965,7.673537456538956,45.10136355504818,32.98522147775745,54.954011779345066,36.10385120383798,456.4953445213771,425.751286544654,23.46375124316001,18.432490727192857,2.339550849006779,2.13366365208509,0.33085828558584074,9785.824099698631,2066.8517183297336,4453.245026061668,2142.969787986297,7206.504201580038,340.088226184263,67.93814905478038,126.15083854149309,25.470590769463623,40.525425776738984,123.51445281209689,98.4338790534948
1,1362.0765687307562,3160.5438300270225,2702.4758894323786,1361.0373422269015,285.0094790120338,858.1996562391035,382.15633290954906,20608.695374463758,1779.9283920352968,5500.652909594315,4194.2044844598295,2207.1332467456677,5519.58400198213,3892.0966195127453,3168.413165677242,4318.300007723932,81630.29098178394,8607.095022891537,62.34208015854272,1380.1072111615867,498.7407386039229,33.876931492907175,30.366150957047246,4876.239627625599,17058.86971186725,46.8456929928776,56.141022701037315,796.607652783837,758.9558161990533,7817.085524339639,2121.576992383774,838.8121224746434,23409.75344056854,17337.572227598623,12118.336890006927,3719.5733300200664,7863.966564521349,6233.173002486147,39472.67724502225,906.4716140831367,155.6205493421529,156.2308669130962,3016.1083816397563,514.6341854629856,12061.13256232781,1414.2485800849504
2,399.7766241993736,9699.17939300606,6855.346359966074,2779.923439997615,353.30388548915784,10144.766474793858,716.073041700739,20610.469408162862,1762.1321780108303,5276.38961459271,6151.875590260884,2844.9358970585586,5878.675963680385,4385.917439705557,3439.780201135014,5019.066932802272,96447.28737567709,9849.546921892996,78.92556828031711,8794.446767952082,1133.1482921131553,158.00117035045403,50.911041798190425,5246.705134632174,19244.609288149968,6005.778702471236,2690.2833703744363,1328.865542025751,1001.6314347225778,14856.590359985745,3641.5526750957324,642.6364132991522,21981.854604762742,15983.391943691848,9838.863358073622,3667.6093921598563,7833.3941117431805,5859.852086255168,47810.91126752538,1648.01005284061,128.7017333335965,112.76084902092674,6947.316601304565,930.7770229482835,12327.638268220906,1540.0800241529757
3,457.57165869841583,9713.00552837284,6904.682067552191,3682.688437642667,409.0169208487441,11842.805879500926,815.4625717686171,20626.955805972786,1788.4061043916718,5512.052448537939,6303.951320484201,3018.214787162686,6909.209639100673,5264.138135421572,3692.1120409858377,5315.258832803989,96531.09744437013,10812.13168203263,95.68082007697461,10513.479810497136,1551.5930328032612,38.846480995052694,55.57505017392715,6175.433066835334,23497.401891282298,7965.985192196905,3992.1756383790344,2453.4629772422763,1262.2040815944958,27906.057945071,5255.3352119134925,469.78451726411004,16806.13073860466,12811.002244368894,12131.974947456107,927.7438587250264,1256.0857250739352,7888.752527262416,47820.54508560368,2667.952235059821,269.60763473535735,132.77397060080978,7595.007018310078,1183.6989337600528,14711.479176276805,1802.6254434759053
4,2976.36116679107,9295.725308908992,6394.984044614135,3441.8500767508235,433.3066426069781,11088.08573878894,850.1369321958051,3495.495742613091,833.1488976004799,1228.2587316652493,925.7769031418712,3029.927652025706,3791.2422090389223,5266.4378176883365,995.683038908152,5268.453253310158,95540.76432716072,3320.5878483665183,88.93223706669592,2651.6476917613795,1558.1403082499294,5736.935683146173,5586.09285247935,4251.749933437412,23506.09334312643,4808.609504150023,3884.537368547141,3065.7955117909337,1574.4672762023204,27236.408249944117,5390.635046468133,283.8792399143568,1412.5722226837825,6688.813898438544,7790.079720934104,1052.494728808398,2478.5681942969595,11127.166655961522,46846.67482424303,3136.9174634474407,2783.163254434615,1145.7854277017393,1666.3956416850654,1190.6149661265918,5038.658742920911,1787.3745698376374
5,5968.9973713429645,9655.368556774658,6836.260554862709,4074.423178403844,534.1449950536075,12533.914099830063,1109.2122539090615,4113.232756514719,740.8283464371914,3093.7003052368655,1114.6140838393305,3126.978036012675,5274.288315562533,5313.783600071316,1174.5490526623614,5264.391771529476,96413.93335103495,4155.962786015361,97.86532437516662,2771.797451063375,1598.6529995182495,5988.050802762686,5992.085978998103,4847.356757400308,23581.44409983233,1831.5461998465946,3840.1452150950217,4156.2304437976445,2106.157847683556,38502.89069423244,6774.004230333816,64.64819702925936,2235.0300876846754,6687.105781453856,12002.31955813334,3696.089882723872,7882.737087824011,15219.491706487393,47850.19333016062,4064.7305195402946,7454.137154526281,2508.3317585411937,1929.4773664434651,1232.0517543810558,13762.631514271689,1809.816907497167
6,6841.978788601335,9778.812862701514,6980.2226225564555,4512.601226823936,707.0038169376694,12743.665089288137,1312.8245522884465,3845.486232098796,562.3762696911058,5541.172986928319,1272.5780036642504,3246.9238108815034,6780.080782207904,5400.553708602895,828.8623819508089,5269.623684059904,96634.45397395361,10615.82422245729,119.92258431568203,10480.138195111907,1731.6078777350956,6808.9321761927795,6897.7606609007,6068.616546652763,23737.86804543877,8002.027923301006,4108.353136062758,4604.834286709356,2525.8339474380555,40158.39566350457,7662.734695320635,900.2556718383236,25642.202105307286,13817.858452939037,11958.060804664783,3740.4645883135095,7928.936102137073,15728.688949255209,47947.21629120604,4623.835348036117,9121.94048349552,3741.1198274514236,5463.17148147927,1324.0795400717175,14630.39161246901,1860.0433847131812
7,6849.853556539603,9785.401409917858,6987.58729417485,4522.663902977111,713.9714509557282,12750.883852315466,1319.4031888539403,20641.236146688865,1817.389817464968,5555.52365143143,6643.02155792728,11467.69819602713,6993.625469021753,5519.500430027117,3738.0344876232766,5459.524254740584,96640.93463074978,10885.018689211138,167.1924105033189,10604.867021914739,1799.4479946497213,8099.656246265024,8369.624799925134,6282.763226748008,23933.30810696234,8021.45434843384,4125.009956001935,4612.5156271643555,2533.143318614138,62594.473888278706,10799.48736367268,828.1096570812218,26656.118981596712,13816.06982380755,12149.869758436182,3749.411072090424,7937.992014988715,15737.292507907032,47952.691198791064,4637.068044693396,9126.382365695674,3749.0884404294893,7680.086949574076,1511.4515346530839,14773.311261103006,1931.4437640987924
8,6848.84237434429,9783.567361599256,6985.858565349993,4521.592387093922,712.7194483756808,12749.935367624172,1318.2262780671165,17921.481827585198,1811.0243094493253,5562.6114252854695,6643.346344741201,11465.902939553758,6990.834185293956,5517.41524356845,3732.4770741985913,5457.013669465471,96639.83910630716,10883.017503951138,164.83125558738445,10601.918958022698,1797.4159225495814,8073.017303842073,8367.7762257806,6279.187092862597,23930.968952100164,8019.107199374598,4123.230241426442,4611.346950540051,2530.7402435719887,62586.597001602655,10796.926593301401,570.446852527161,13442.395891206797,8673.135343155705,2102.21882440097,3747.5859014342664,7936.303392523301,15734.736662589281,47951.5850406491,4635.7946122760195,9126.063277112717,3748.354283366513,7678.390536654066,1509.3262778357162,14770.433139727675,1929.2453260961029
9,6696.0482643603855,9565.585903970694,6984.181493383518,4362.990400672497,710.2637271217657,12595.64382485766,1316.063770241218,17864.055211099523,1810.725199847286,5513.290645821342,6453.911324315117,11464.158859038673,6726.581031128558,5516.372426571398,3452.6806203687397,5456.22726615149,96496.11767157468,10651.793186913992,163.30405371428898,10395.208211888095,1795.8583036003974,1518.3151839724094,8365.191709170022,6038.234393421558,23929.95884057883,7845.435048563099,4121.774243766088,4474.2520544375975,2387.3912656311777,60594.370736665274,10796.361898631736,334.66266793117285,14234.70394952486,8671.410091903479,6.959311405261123,3579.668266645402,7934.758383973797,15592.980522778887,47809.67394706029,4475.471440020387,8960.926024554037,3745.546801630533,7467.844692616709,1507.4524490926647,14557.663276203351,1927.9537541431787
