name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom,x_pu_eff,r_pu_eff,s_nom_opt,country
0,0,10,AC,11.184207203578667,1.365645830552647,7.394903233599223e-05,5140.0,True,5140.0,15405.552702840621,0.6392996108949416,40.0,19.525118625579022,121.34281468760227,8.0,,380.0,7.745295847353648e-05,9.457381098010021e-06,5804.409316212164,DE
1,0,11,AC,385.8132912139893,111.55073283156773,8.827900701693934e-05,520.0,True,520.0,1554.6888048738242,0.5,40.0,44.890888360404574,174.04809803800887,2.0,,380.0,0.0026718371967727793,0.000772512000218613,521.2283537955226,DE
10,1,9,AC,39.86330455622889,4.441111427810228,4.591782939563146e-06,3580.0,True,3580.0,10741.486288219148,0.6999999999999998,40.0,22.559364186201737,317.94466549032364,2.0,,380.0,0.0002760616659018621,3.075561930616502e-05,3582.0734204977107,DE
11,10,11,AC,9.155202829983814,1.0541033630543601,0.0001679767296748908,4100.0,True,4100.0,12296.175093092972,0.6746341463414633,40.0,59.88487400195269,160.35016604914838,4.0,,380.0,6.340168164808735e-05,7.299884785695015e-06,7440.706582616662,DE
12,10,3,AC,7.8515035366818,0.9182838267990002,0.00035652991366341274,4360.0,True,4360.0,13850.863897966796,0.6642201834862385,39.99999999999999,65.28610004511671,178.09845923070273,5.0,,380.0,5.4373293190317174e-05,6.35930627977147e-06,12277.772980349615,DE
13,10,6,AC,2.007723829905294,0.25712223074250984,0.0008939084263822364,14640.0,True,14640.0,50880.72452314333,0.6751366120218578,40.0,25.08625278923802,93.19446265787339,17.0,,380.0,1.390390463923334e-05,1.7806248666378797e-06,22994.78234221138,DE
14,11,3,AC,22.804955744933658,2.8714553198866963,0.00010933353809383063,4620.0,True,4620.0,16960.241507714447,0.7,40.0,85.29513072548292,233.40095214454024,4.0,,380.0,0.00015792905640535775,1.988542465295496e-05,4620.533679633461,DE
15,11,5,AC,11.641233801227111,1.3406223968533346,4.659938684153386e-06,8200.0,True,8200.0,24592.350186185948,0.6746341463414635,40.0,69.78100696690454,195.4063972175852,8.0,,380.0,8.061796261237611e-05,9.284088620867968e-06,8200.677139360829,DE
16,11,7,AC,11.328318474414528,1.776189697147285,0.0002261198879350076,6960.0,True,6960.0,32507.129556452688,0.6775862068965517,40.0,54.39491440837514,158.4443485799463,10.0,,380.0,7.845095896408953e-05,1.2300482667224965e-05,6960.664182114308,DE
17,11,9,AC,692.0581075417692,200.09520565429267,0.00015500490170195636,520.0,True,520.0,1554.6888048738242,0.5,40.0,79.93073838842315,309.9023766156837,2.0,,380.0,0.004792646174111975,0.0013857008701820821,520.1207076845197,DE
18,12,13,AC,17.499233290750507,2.2343727661137085,0.0002926680811768471,5140.0,True,5140.0,20069.619117462094,0.6595330739299611,40.0,39.58768795864031,174.53174623872667,7.0,,380.0,0.00012118582611323065,1.5473495610205737e-05,5141.4254200576115,DE
19,12,2,AC,6.440142484881283,0.7336954583782329,0.0015866684146065228,11780.0,True,11780.0,36888.52527927891,0.6823429541595925,39.99999999999999,79.36665867761374,159.63976681207464,10.0,,380.0,4.459932468754351e-05,5.080993479073635e-06,11780.437863649855,DE
2,0,13,AC,13.104938295074847,4.14524506942846,0.0008452789373422441,3380.0,True,3380.0,13992.199243864416,0.5615384615384615,40.0,42.20196278753585,105.80312475691187,11.0,,380.0,9.07544203260031e-05,2.8706683306291275e-05,6209.732928460395,DE
20,12,43785,AC,9.12696969790907,1.016821830706832,8.85909047324324e-07,3580.0,True,3580.0,10741.486288219148,0.6999999999999997,40.0,3.0581697189306096,161.50325860870268,2.0,,380.0,6.32061613428606e-05,7.041702428717673e-06,7961.899496294444,NL
21,12,7,AC,0.014787763231814001,0.0,0.001235368023883257,20480.0,True,18280.0,inf,0.6455078125,40.0,286.21102589915483,118.58527926717751,28.0,,380.0,1.0240833263029086e-07,0.0,26724.397203506556,DE
22,12,9,AC,12.292231984490705,1.3926683553401258,0.00011113260309768516,7680.0,True,7680.0,23037.661381312122,0.6864583333333333,40.0,26.291495966827707,201.23181802558244,5.0,,380.0,8.512626028040655e-05,9.64451769626126e-06,7682.021267519026,DE
23,13,43785,AC,5.300127369538218,0.59047882580322,1.4066938136405108e-06,3580.0,True,3580.0,10741.486288219148,0.7,40.0,2.915416595593082,126.23520926590373,2.0,,380.0,3.670448316854721e-05,4.089188544343628e-06,10741.314490698309,NL
24,13,7,AC,5.243088628531833,0.6288681162111296,0.0016096038097152935,8720.0,True,8720.0,41552.591693900395,0.6761467889908257,39.99999999999999,60.56313706119067,126.74270152217233,9.0,,380.0,3.630947803692405e-05,4.355042356032754e-06,11016.742875466107,DE
25,14,4,AC,51.45882768620213,5.7329487553802645,0.0009013969137104416,1790.0,True,1790.0,10741.486288219148,0.7,40.0,160.0025294331314,205.0023552337609,1.0,,380.0,0.0003563630726191283,3.9701861186843935e-05,1790.4196972028349,DE
26,14,8,AC,9.31033517579838,1.4016485652301904,0.0033842648471312693,10830.0,True,10830.0,49467.371064167135,0.6471837488457987,40.0,108.86468817367415,183.697148017552,14.0,,380.0,6.447600537256497e-05,9.706707515444531e-06,10830.486491363272,DE
27,14,9,AC,11.871617234688182,1.5254459006405177,0.0013743465495934673,7450.0,True,7450.0,30811.105405681246,0.6720805369127517,40.0,67.42511290447068,177.72963308428552,6.0,,380.0,8.221341575268824e-05,1.056402978282907e-05,7450.322569087274,DE
