name,scn_name,bus,carrier,p_nom,p_max_pu,marginal_cost,efficiency,up_time_before,e_nom_max,control,weight,p_nom_opt
43781 wind_offshore ramp_down,,43781,wind_offshore,4000.0,1.0,-4.054183057873667,1.0,1,,PQ,1.0,4000.0
43781 wind_onshore ramp_down,,43781,wind_onshore,67433.11411380001,1.0,-5.3141830578736675,1.0,1,,PQ,1.0,67433.11411380001
43782 lignite ramp_down,,43782,lignite,18.0,1.0,-10.100873652143164,1.0,1,,PQ,1.0,18.0
43782 oil ramp_down,,43782,oil,194.00000001,1.0,54.16662634785683,1.0,1,,PQ,1.0,194.00000001
43782 others ramp_down,,43782,others,325.0,1.0,-47.66537365214317,1.0,1,,PQ,1.0,325.0
43782 solar ramp_down,,43782,solar,1237.9538499999999,1.0,-47.65537365214317,1.0,1,,PQ,1.0,1237.9538499999999
43782 wind_onshore ramp_down,,43782,wind_onshore,2404.5,1.0,-46.36537365214317,1.0,1,,PQ,1.0,2404.5
43783 coal ramp_down,,43783,coal,3402.0,1.0,17.954566949790255,1.0,1,,PQ,1.0,3402.0
43783 nuclear ramp_down,,43783,nuclear,5111.5,1.0,-26.17293305020975,1.0,1,,PQ,1.0,5111.5
43783 oil ramp_down,,43783,oil,371.00000003,1.0,70.45906694979024,1.0,1,,PQ,1.0,371.00000003
43783 others ramp_down,,43783,others,4700.411133,1.0,-31.37293305020975,1.0,1,,PQ,1.0,4700.411133
43783 run_of_river ramp_down,,43783,run_of_river,1969.352051,1.0,-31.37293305020975,1.0,1,,PQ,1.0,1969.352051
43783 solar ramp_down,,43783,solar,47966.680995,1.0,-31.362933050209747,1.0,1,,PQ,1.0,47966.680995
43783 wind_offshore ramp_down,,43783,wind_offshore,19335.15,1.0,-28.812933050209747,1.0,1,,PQ,1.0,19335.15
43783 wind_onshore ramp_down,,43783,wind_onshore,25168.151905,1.0,-30.07293305020975,1.0,1,,PQ,1.0,25168.151905
43785 nuclear ramp_down,,43785,nuclear,243.0,1.0,-1.359999999970837,1.0,1,,PQ,1.0,243.0
43785 others ramp_down,,43785,others,4310.0,1.0,-6.559999999970837,1.0,1,,PQ,1.0,4310.0
43785 run_of_river ramp_down,,43785,run_of_river,46.57143021,1.0,-6.559999999970837,1.0,1,,PQ,1.0,46.57143021
