name,scn_name,bus,carrier,p_nom,p_nom_extendable,p_nom_min,p_max_pu,capital_cost,cyclic_state_of_charge,max_hours,efficiency_store,efficiency_dispatch,control,p_nom_opt
43783 pumped_hydro,eGon2035,43783,pumped_hydro,4004.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,4004.0
43785 battery,eGon2035,43785,battery,2025.02449595,False,0.0,1.0,0.0,True,6.0,0.9797958971132712,0.9797958971132712,PV,2025.02449595
43787 battery,eGon2035,43787,battery,625.0,False,0.0,1.0,0.0,True,6.0,0.9797958971132712,0.9797958971132712,PV,625.0
43787 pumped_hydro,eGon2035,43787,pumped_hydro,1323.099976,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,1323.099976
43788 battery,eGon2035,43788,battery,2623.0080286700004,False,0.0,0.9999999999999998,0.0,True,5.999999999999998,0.9797958971132712,0.9797958971132712,PV,2623.0080286700004
5 battery,eGon2035,5,battery,0.0,True,716.6327569963794,0.9999999999999999,73.93112615104819,True,5.999999999999999,0.9797958971132712,0.9797958971132712,PV,716.6327569966057
5 pumped_hydro,eGon2035,5,pumped_hydro,910.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,910.0
6 battery,eGon2035,6,battery,0.0,True,428.6100030446305,1.0,73.93112615104819,True,6.000000000000001,0.9797958971132711,0.9797958971132711,PV,428.61000304485555
7 battery,eGon2035,7,battery,0.0,True,1796.6271238120733,1.0,73.93112615104819,True,6.0,0.9797958971132712,0.9797958971132712,PV,1796.6271238122984
7 pumped_hydro,eGon2035,7,pumped_hydro,252.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844387,0.8660254037844387,PV,252.0
8 battery,eGon2035,8,battery,0.0,True,524.8765622417783,1.0,73.93112615104819,True,5.999999999999999,0.9797958971132712,0.9797958971132712,PV,524.8765622420094
9 battery,eGon2035,9,battery,0.0,True,206.45337188644052,1.0,73.9311261510482,True,6.0,0.9797958971132712,0.9797958971132712,PV,206.45337188666554
