name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
246,eGon2035,70798,50920,central_gas_CHP_heat,122.22604999999996,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,122.22604999999996,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
247,eGon2035,70798,50920,central_gas_boiler,141682.8852702925,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,141682.8852702925,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
248,eGon2035,70798,51841,central_gas_CHP_heat,693.3014499999999,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,693.3014499999999,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
249,eGon2035,70798,51841,central_gas_boiler,386819.52924501366,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,386819.52924501366,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
250,eGon2035,70798,6,OCGT,436.6666666666667,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,436.6666666666667,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
251,eGon2035,70798,6,central_gas_CHP,2212.0290386578527,False,inf,0.0,0.0,,0.43,0.0,0.0,4.124368279569893,2212.0290386578527,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
252,eGon2035,70798,6,industrial_gas_CHP,187.01502310394187,False,inf,0.0,0.0,,0.43,0.0,0.0,4.15,187.01502310394187,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
253,eGon2035,70798,7,OCGT,3350.0,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,3350.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
254,eGon2035,70798,7,central_gas_CHP,6465.821393415574,False,inf,0.0,0.0,,0.43,0.0,0.0,4.117359648788483,6465.821393415574,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
255,eGon2035,70798,7,industrial_gas_CHP,975.431225835147,False,inf,0.0,0.0,,0.43,0.0,0.0,4.15,975.431225835147,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
256,eGon2035,70798,70812,CH4_to_H2,0.0,True,inf,43.78317387862049,0.0,,0.74,0.0,0.0,0.0,1.1973390741537835e-09,,0.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
257,eGon2035,70798,70813,central_gas_CHP_heat,261.13483,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,261.13483,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
258,eGon2035,70798,70813,central_gas_boiler,177554.4889963222,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,177554.4889963222,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
259,eGon2035,70798,70814,central_gas_CHP_heat,2393.7125,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,2393.7125,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
260,eGon2035,70798,70814,central_gas_boiler,454007.8547026764,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,454007.8547026764,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
261,eGon2035,70798,70815,central_gas_CHP_heat,1823.81148,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,1823.81148,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
262,eGon2035,70798,70815,central_gas_boiler,363401.9108348991,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,363401.9108348991,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
263,eGon2035,70798,70816,central_gas_CHP_heat,1059.2147,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,1059.2147,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
264,eGon2035,70798,70816,central_gas_boiler,479376.57625127834,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,479376.57625127834,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
265,eGon2035,70798,70817,central_gas_CHP_heat,2346.55422,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,2346.55422,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
266,eGon2035,70798,70817,central_gas_boiler,852933.4948958815,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,852933.4948958815,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
267,eGon2035,70798,70818,central_gas_CHP_heat,1344.11071,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,1344.11071,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
268,eGon2035,70798,70818,central_gas_boiler,242177.2468221629,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,242177.2468221629,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
269,eGon2035,70798,70819,central_gas_CHP_heat,836.29875,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,836.29875,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
270,eGon2035,70798,70819,central_gas_boiler,178988.56035199575,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,178988.56035199575,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
271,eGon2035,70798,70820,central_gas_CHP_heat,646.8663700000001,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,646.8663700000001,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
272,eGon2035,70798,70820,central_gas_boiler,492160.0765396952,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,492160.0765396952,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
273,eGon2035,70798,70821,central_gas_CHP_heat,4108.4716,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,4108.4716,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
274,eGon2035,70798,70821,central_gas_boiler,1358223.826578837,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,1358223.826578837,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
275,eGon2035,70798,70822,central_gas_CHP_heat,1168.5114,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,1168.5114,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
276,eGon2035,70798,70822,central_gas_boiler,272308.90271113743,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,272308.90271113743,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
277,eGon2035,70798,70824,central_gas_CHP_heat,4190.05866,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,4190.05866,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
278,eGon2035,70798,70824,central_gas_boiler,1505711.4228940927,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,1505711.4228940927,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
279,eGon2035,70798,70826,central_gas_CHP_heat,1991.9257,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,1991.9257,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
280,eGon2035,70798,70826,central_gas_boiler,465702.1575103166,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,465702.1575103166,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
281,eGon2035,70798,70827,central_gas_CHP_heat,154.85442,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,154.85442,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
282,eGon2035,70798,70827,central_gas_boiler,131921.25919788206,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,131921.25919788206,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
283,eGon2035,70798,70828,central_gas_CHP_heat,227.9897,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,227.9897,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
284,eGon2035,70798,70828,central_gas_boiler,137078.3311308673,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,137078.3311308673,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
285,eGon2035,70798,70829,central_gas_CHP_heat,521.73585,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,521.73585,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
286,eGon2035,70798,70829,central_gas_boiler,230519.11939729447,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,230519.11939729447,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
287,eGon2035,70798,70830,central_gas_CHP_heat,15.405000000000001,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,15.405000000000001,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
288,eGon2035,70798,70830,central_gas_boiler,12059.054634862168,False,inf,0.0,0.0,,1.04,0.0,0.0,1.0,12059.054634862168,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
289,eGon2035,70798,70831,central_gas_CHP_heat,149.74915,False,inf,0.0,0.0,,2.866666666666667,0.0,0.0,0.0,149.74915,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
