name,bus,p_nom_max,marginal_cost,p_nom,control,up_time_before,carrier,p_max_pu,e_nom_max,p_nom_opt
14 wind_onshore,14,inf,1.3088671175240918,2708.7940632382392,PV,0,wind_onshore,1.0,inf,2708.7940632382392
1420 load shedding,1420,inf,10000.005934873772,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
14657 load shedding,14657,inf,10000.003224598586,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
14660 load shedding,14660,inf,10000.008707529008,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
14760 load shedding,14760,inf,10000.00342556128,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
14761 load shedding,14761,inf,10000.000624623217,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
14780 load shedding,14780,inf,10000.01378955871,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
14860 load shedding,14860,inf,10000.007800011777,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
14863 load shedding,14863,inf,10000.008867172426,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
15 biomass,15,inf,42.109014199274554,24.70982990618811,PV,0,biomass,1.0,inf,24.70982990618811
15 central_biomass_CHP,15,inf,42.10898859836432,46.59031613219443,PV,0,central_biomass_CHP,1.0,inf,46.59031613219443
15 industrial_biomass_CHP,15,inf,42.108348733518596,543.5777933982664,PV,0,industrial_biomass_CHP,1.0,inf,543.5777933982664
15 load shedding,15,inf,10000.007512486407,47204440.14713586,PQ,1,load shedding,1.0,0.0,47204440.14713586
15 run_of_river,15,inf,0.007133751507866621,21.076215229119192,PV,0,run_of_river,0.65,inf,21.076215229119192
15 solar,15,inf,0.01791662340627009,687.4233070278605,PV,0,solar,1.0,inf,687.4233070278605
15 solar_rooftop,15,inf,0.01865171954372575,2558.4215577268565,PV,0,solar_rooftop,1.0,inf,2558.4215577268565
15 wind_onshore,15,inf,1.3085743255609372,7827.853896625594,PV,0,wind_onshore,1.0,inf,7827.853896625594
15090 load shedding,15090,inf,10000.005144743454,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
15093 load shedding,15093,inf,10000.000664178508,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
15185 load shedding,15185,inf,10000.011444501328,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
15256 load shedding,15256,inf,10000.0123843244,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
15257 load shedding,15257,inf,10000.000819555493,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
15317 load shedding,15317,inf,10000.00415079063,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
15319 load shedding,15319,inf,10000.014759087415,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
15350 load shedding,15350,inf,10000.002386137952,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
15499 load shedding,15499,inf,10000.004760672105,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
15660 load shedding,15660,inf,10000.004363480133,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
15758 load shedding,15758,inf,10000.001931417366,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
15759 load shedding,15759,inf,10000.02785888942,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
15774 load shedding,15774,inf,10000.002297456622,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
15937 load shedding,15937,inf,10000.001055854638,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
16109 load shedding,16109,inf,10000.01453486237,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
16115 load shedding,16115,inf,10000.00265096464,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
16456 load shedding,16456,inf,10000.003961230144,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
16459 load shedding,16459,inf,10000.002451377948,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
16598 load shedding,16598,inf,10000.017750501815,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
16615 load shedding,16615,inf,10000.002750643376,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
16616 load shedding,16616,inf,10000.002612204964,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
16651 load shedding,16651,inf,10000.01645346147,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
16653 load shedding,16653,inf,10000.008925778753,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
17604 load shedding,17604,inf,10000.003272275502,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
17607 load shedding,17607,inf,10000.00828845991,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
186 load shedding,186,inf,10000.010118728247,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
19 load shedding,19,inf,10000.000279080807,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
1970 load shedding,1970,inf,10000.021994260573,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
1972 load shedding,1972,inf,10000.016121303492,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
1974 load shedding,1974,inf,10000.026276616596,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
2 biomass,2,inf,42.10773457113431,106.83111959856066,PV,0,biomass,1.0,inf,106.83111959856066
2 central_biomass_CHP,2,inf,42.10925320709714,118.8296808818189,PV,0,central_biomass_CHP,1.0,inf,118.8296808818189
2 industrial_biomass_CHP,2,inf,42.10716782324598,581.2716771603982,PV,0,industrial_biomass_CHP,1.0,inf,581.2716771603982
2 load shedding,2,inf,10000.007919060125,76136193.785703,PQ,1,load shedding,1.0,0.0,76136193.785703
2 others,2,inf,0.011077249851012822,26.33919223521007,PV,0,others,1.0,inf,26.33919223521007
2 reservoir,2,inf,0.007605829011294858,162.67852088078098,PV,0,reservoir,0.65,inf,162.67852088078098
2 run_of_river,2,inf,0.008308609562381502,54.5876836873713,PV,0,run_of_river,0.65,inf,54.5876836873713
2 solar,2,inf,0.01798126555568658,1076.5870491017645,PV,0,solar,1.0,inf,1076.5870491017645
2 solar_rooftop,2,inf,0.01877779737467024,4897.684064635784,PV,0,solar_rooftop,1.0,inf,4897.684064635784
2 wind_offshore,2,inf,2.5681327177381137,4000.0,PV,0,wind_offshore,1.0,inf,4000.0
2 wind_onshore,2,inf,1.3085696314317696,7322.4031689786225,PV,0,wind_onshore,1.0,inf,7322.4031689786225
20116 load shedding,20116,inf,10000.00830536508,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
2109 load shedding,2109,inf,10000.007944258301,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
219 load shedding,219,inf,10000.00899577144,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
220 load shedding,220,inf,10000.009459199993,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
22051 load shedding,22051,inf,10000.0047154093,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
22109 load shedding,22109,inf,10000.003015034838,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
224 load shedding,224,inf,10000.009737848224,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
22983 load shedding,22983,inf,10000.00070325539,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
22988 load shedding,22988,inf,10000.000566845949,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
22989 load shedding,22989,inf,10000.007969888537,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23013 load shedding,23013,inf,10000.010683570177,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23019 load shedding,23019,inf,10000.008652186785,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23041 load shedding,23041,inf,10000.009017412383,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23123 load shedding,23123,inf,10000.006310738987,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23124 load shedding,23124,inf,10000.009875956423,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23286 load shedding,23286,inf,10000.004208679034,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23312 load shedding,23312,inf,10000.005924992922,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23329 load shedding,23329,inf,10000.001929761129,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23388 load shedding,23388,inf,10000.008333406224,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23487 load shedding,23487,inf,10000.019847349206,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23502 load shedding,23502,inf,10000.010162245391,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23507 load shedding,23507,inf,10000.014154338282,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23545 load shedding,23545,inf,10000.003480753265,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23601 load shedding,23601,inf,10000.000129288268,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23637 load shedding,23637,inf,10000.008930727849,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23638 load shedding,23638,inf,10000.012592709043,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23668 load shedding,23668,inf,10000.00483591494,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23714 load shedding,23714,inf,10000.00248610206,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23725 load shedding,23725,inf,10000.005788433278,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23773 load shedding,23773,inf,10000.005820225282,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23776 load shedding,23776,inf,10000.012343050961,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
23965 load shedding,23965,inf,10000.022221315116,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
24156 load shedding,24156,inf,10000.001271472203,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
24638 load shedding,24638,inf,10000.001388728995,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
24649 load shedding,24649,inf,10000.0096888449,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
24973 load shedding,24973,inf,10000.00822849628,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
25019 load shedding,25019,inf,10000.011874159085,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
25728 load shedding,25728,inf,10000.008688298007,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
26044 load shedding,26044,inf,10000.007553131938,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
29234 load shedding,29234,inf,10000.006998842635,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
29382 load shedding,29382,inf,10000.002097298539,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
3 biomass,3,inf,42.10771490902156,64.00886984370916,PV,0,biomass,1.0,inf,64.00886984370916
3 central_biomass_CHP,3,inf,42.10814620772234,72.84204095588393,PV,0,central_biomass_CHP,1.0,inf,72.84204095588393
3 industrial_biomass_CHP,3,inf,42.10827301654825,937.7354999525222,PV,0,industrial_biomass_CHP,1.0,inf,937.7354999525222
3 load shedding,3,inf,10000.00845269635,78800960.56820261,PQ,1,load shedding,1.0,0.0,78800960.56820261
3 others,3,inf,0.007545460210263393,71.76609549927517,PV,0,others,1.0,inf,71.76609549927517
3 reservoir,3,inf,0.007984659897501533,191.5590395171949,PV,0,reservoir,0.65,inf,191.5590395171949
3 run_of_river,3,inf,0.007926499069116525,1875.723409767571,PV,0,run_of_river,0.65,inf,1875.723409767571
3 solar,3,inf,0.017481696833128037,5534.7438388407545,PV,0,solar,1.0,inf,5534.7438388407545
3 solar_rooftop,3,inf,0.017799000767282174,8715.061203475721,PV,0,solar_rooftop,1.0,inf,8715.061203475721
3 wind_onshore,3,inf,1.3078322511967977,1108.796122481191,PV,0,wind_onshore,1.0,inf,1108.796122481191
30981 load shedding,30981,inf,10000.022407317427,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
30987 load shedding,30987,inf,10000.004856763968,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
30987 solar_rooftop,30987,inf,0.0162649190855734,1.1639952875615696,PV,0,solar_rooftop,1.0,inf,1.1639952875615696
30987 wind_onshore,30987,inf,1.3063911548526859,5.806615917516129,PV,0,wind_onshore,1.0,inf,5.806615917516129
31000 load shedding,31000,inf,10000.018583008192,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
31000 solar_rooftop,31000,inf,0.03214887158229491,24.129255349236722,PV,0,solar_rooftop,1.0,inf,24.129255349236722
31246 biomass,31246,inf,42.11725080422986,0.8447758206311008,PV,0,biomass,1.0,inf,0.8447758206311008
31246 industrial_biomass_CHP,31246,inf,42.10691758443621,1.1807540059646897,PV,0,industrial_biomass_CHP,1.0,inf,1.1807540059646897
31246 load shedding,31246,inf,10000.006893765356,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
31246 solar,31246,inf,0.021022885206488453,0.9128586287102739,PV,0,solar,1.0,inf,0.9128586287102739
31246 solar_rooftop,31246,inf,0.014182362189536887,16.59997078638784,PV,0,solar_rooftop,1.0,inf,16.59997078638784
31246 wind_onshore,31246,inf,1.303626576076425,0.6975835463429062,PV,0,wind_onshore,1.0,inf,0.6975835463429062
31247 load shedding,31247,inf,10000.003817074667,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
31271 load shedding,31271,inf,10000.001486158442,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
31271 solar_rooftop,31271,inf,0.022510057626895157,18.541956351111217,PV,0,solar_rooftop,1.0,inf,18.541956351111217
31371 central_biomass_CHP,31371,inf,42.101661291880546,2.1575595927172966,PV,0,central_biomass_CHP,1.0,inf,2.1575595927172966
31371 industrial_biomass_CHP,31371,inf,42.10122250040923,2.0373373666554375,PV,0,industrial_biomass_CHP,1.0,inf,2.0373373666554375
31371 load shedding,31371,inf,10000.000469265495,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
31371 solar,31371,inf,0.0243116550288638,0.03384,PV,0,solar,1.0,inf,0.03384
31371 solar_rooftop,31371,inf,0.036414787274741095,57.02697594054874,PV,0,solar_rooftop,1.0,inf,57.02697594054874
31371 wind_onshore,31371,inf,1.306275968279759,2.802564964233684,PV,0,wind_onshore,1.0,inf,2.802564964233684
31372 load shedding,31372,inf,10000.01455874302,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
31538 central_biomass_CHP,31538,inf,42.11355207462438,0.647267877815189,PV,0,central_biomass_CHP,1.0,inf,0.647267877815189
31538 industrial_biomass_CHP,31538,inf,42.11104337407502,0.541000017278367,PV,0,industrial_biomass_CHP,1.0,inf,0.541000017278367
31538 load shedding,31538,inf,10000.000856930568,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
31538 solar_rooftop,31538,inf,0.016705117360550182,32.91295369855341,PV,0,solar_rooftop,1.0,inf,32.91295369855341
31557 load shedding,31557,inf,10000.009136894607,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
31557 solar_rooftop,31557,inf,0.018582100134560853,21.505258138241363,PV,0,solar_rooftop,1.0,inf,21.505258138241363
31559 biomass,31559,inf,42.10580059298372,0.20609524467747314,PV,0,biomass,1.0,inf,0.20609524467747314
31559 central_biomass_CHP,31559,inf,42.1091689857901,2.9261231093270403,PV,0,central_biomass_CHP,1.0,inf,2.9261231093270403
31559 industrial_biomass_CHP,31559,inf,42.10590396699799,1.77220442167973,PV,0,industrial_biomass_CHP,1.0,inf,1.77220442167973
31559 load shedding,31559,inf,10000.000648857542,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
31559 solar,31559,inf,0.010691015430146162,2.906025669243869,PV,0,solar,1.0,inf,2.906025669243869
31559 solar_rooftop,31559,inf,0.02140608250274356,22.97220215060843,PV,0,solar_rooftop,1.0,inf,22.97220215060843
31559 wind_onshore,31559,inf,1.3108972201982725,3.221200922106142,PV,0,wind_onshore,1.0,inf,3.221200922106142
31560 biomass,31560,inf,42.11862178492201,0.48303572971282777,PV,0,biomass,1.0,inf,0.48303572971282777
31560 industrial_biomass_CHP,31560,inf,42.11709447990169,0.08050595495213796,PV,0,industrial_biomass_CHP,1.0,inf,0.08050595495213796
31560 load shedding,31560,inf,10000.003488069255,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
31560 solar,31560,inf,0.013397181172393136,14.38400451446094,PV,0,solar,1.0,inf,14.38400451446094
31560 solar_rooftop,31560,inf,0.022202140529939345,7.198647010226763,PV,0,solar_rooftop,1.0,inf,7.198647010226763
31560 wind_onshore,31560,inf,1.3097529586526266,57.427908596451886,PV,0,wind_onshore,1.0,inf,57.427908596451886
31561 load shedding,31561,inf,10000.00671823928,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
31561 solar,31561,inf,0.01012484852108373,1.6507460891845214,PV,0,solar,1.0,inf,1.6507460891845214
31561 solar_rooftop,31561,inf,0.031529989409816064,2.0701245583964885,PV,0,solar_rooftop,1.0,inf,2.0701245583964885
31561 wind_onshore,31561,inf,1.3002540081664409,98.50214321445915,PV,0,wind_onshore,1.0,inf,98.50214321445915
31562 industrial_biomass_CHP,31562,inf,42.11790966369445,0.08050595495213796,PV,0,industrial_biomass_CHP,1.0,inf,0.08050595495213796
31562 load shedding,31562,inf,10000.00169247159,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
31562 solar,31562,inf,0.026461518984900706,3.2900121696058267,PV,0,solar,1.0,inf,3.2900121696058267
31562 solar_rooftop,31562,inf,0.015496821984689936,36.35389604822187,PV,0,solar_rooftop,1.0,inf,36.35389604822187
